Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
04/01/1990,6.1,9.2,13.1,1.3,,1.3,-17.5,,,-17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/01/1990,45.900002,18.799999,13.1,1.5,,1.5,12.5,,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,47.200001,19.4,13.3,-3.5,,-3.5,18.0,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,3.4,1.4,14.0,6.5,,6.5,-18.5,,,-18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,
03/31/1991,-29.0,10.7,23.799999,-2.0,,-2.0,-61.5,,,-61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,61.799999,23.0,37.099998,-2.7,,-2.7,4.4,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/29/1991,118.300003,23.5,8.9,-6.3,,-6.3,92.199997,,,92.199997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,-0.1,9.0,23.9,-4.9,,-4.9,-28.1,,,-28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,
03/29/1992,-3.1,11.205,29.5,-4.405,,-4.405,-39.400002,,,-39.400002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/28/1992,34.0,20.0,31.4,0.3,,0.3,-17.700001,,,-17.700001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/27/1992,59.400002,22.743,19.299999,-10.543,,-10.543,27.9,,,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,26.700001,11.6,25.299999,3.7,,3.7,-13.9,,,-13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.700001,
04/04/1993,-34.900002,-23.5,26.799999,31.700001,,31.700001,-69.900002,,,-69.900002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/1993,6.3,13.3,29.299999,0.2,,0.2,-36.5,,,-36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/1993,145.0,3.8,30.4,75.599998,,75.599998,35.200001,,,35.200001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,70.300003,-58.700001,29.799999,-20.1,,-20.1,119.300003,,,119.300003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.300003,
04/03/1994,-33.700001,10.5,30.5,3.4,,3.4,-78.099998,,,-78.099998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/02/1994,66.900002,17.200001,31.6,2.5,,2.5,15.6,,,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/02/1994,114.400002,23.299999,31.9,1.3,,1.3,57.900002,,,57.900002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,93.099998,22.0,33.0,-15.7,,-15.7,53.799999,,,53.799999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.099998,
04/02/1995,-47.599998,16.299999,32.0,-15.8,,-15.8,-80.099998,,,-80.099998,,,-34.599998,,,,-34.599998,,,,,,,,,,34.599998,,,,,,,,,,,,,
07/02/1995,-22.0,21.9,32.0,-6.4,,-6.4,-69.5,,,-69.5,,,-47.0,,,,-47.0,,,,,,,,,,47.0,,,,,,,,,,,,,
