Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/2011,1015.5,1015.5,-424.0,424.0,591.5,0.0,-563.3,532.9,30.4,28.2,-24.0,16.5,17.9,-1.4,1.0,6.5,4.2,-0.5,,,3.7,0.0,0.0,0.0,3.7,-5.1,-1.4,0.0,0.0,-1.4,3.824787,5.224786,366.6,-0.003819,-0.003819,0.010433,376.3,-0.003819,-0.003819,0.010066,
09/30/2011,1244.8,1244.8,-493.5,493.5,751.3,0.0,-509.0,477.8,31.2,242.3,-76.0,19.7,20.8,-1.1,-1.6,57.9,166.3,-51.6,,,114.7,0.0,0.0,0.0,114.7,-8.8,105.9,0.0,0.0,105.9,155.834759,49.934759,366.7,0.29,0.29,0.424965,377.0,0.28,0.28,0.412453,
12/31/2011,1337.9,1337.9,-533.9,533.9,804.0,0.0,-633.3,604.3,29.0,170.7,-7.0,19.4,20.5,-1.1,-4.0,-8.4,163.7,-62.4,,,101.3,0.0,0.0,0.0,101.3,-8.9,92.4,0.0,0.0,92.4,93.456357,1.056357,370.9,0.249124,0.249124,0.251972,380.8,0.242647,0.242647,0.245421,
03/31/2012,1005.2,1005.2,-396.2,396.2,609.0,0.0,-746.1,615.3,130.8,-137.1,-20.4,18.9,20.3,-1.4,2.4,-0.9,-157.5,-0.5,,,-158.0,0.0,0.0,0.0,-158.0,-7.4,-165.4,0.0,0.0,-165.4,-61.296589,104.103411,376.9,-0.438843,-0.438843,-0.162634,387.6,-0.438843,-0.438843,-0.170259,
06/30/2012,1023.4,1023.4,-400.4,400.4,623.0,0.0,-1108.4,602.0,506.4,-485.4,-18.2,17.4,20.2,-2.8,-0.5,1.3,-503.6,152.3,,,-351.3,0.0,0.0,0.0,-351.3,-6.0,-357.3,0.0,0.0,-357.3,23.94847,381.24847,377.3,-0.95,-0.95,0.063473,377.3,-0.95,-0.95,0.060465,
09/30/2012,1213.1,1213.1,-476.4,476.4,736.7,0.0,-570.8,548.9,21.9,165.9,-16.7,19.1,20.2,-1.1,-1.8,-0.6,149.2,-54.4,,,94.8,0.0,0.0,0.0,94.8,-8.1,86.7,0.0,0.0,86.7,91.2,4.5,379.6,0.23,0.23,0.240253,395.8,0.22,0.22,0.231369,
12/31/2012,1379.5,1379.5,-562.9,562.9,816.6,0.0,-594.3,590.9,3.4,222.3,-18.2,18.4,19.3,-0.9,0.1,-0.3,204.1,-70.7,,,133.4,0.0,0.0,0.0,133.4,-10.2,123.2,0.0,0.0,123.2,138.06875,14.86875,381.3,0.32,0.32,0.3621,397.7,0.31,0.31,0.347387,
03/31/2013,997.7,997.7,-382.6,382.6,615.1,0.0,-585.0,560.1,24.9,30.1,-20.0,20.2,21.0,-0.8,0.9,-1.1,10.1,19.8,,,29.9,0.0,0.0,0.0,29.9,-9.5,20.4,0.0,0.0,20.4,32.465217,12.065217,382.8,0.05,0.05,0.08481,396.7,0.05,0.05,0.080414,
06/30/2013,1058.8,1058.8,-438.4,438.4,620.4,0.0,-644.3,594.2,50.1,-23.9,-20.8,16.4,17.5,-1.1,-1.4,5.8,-44.7,-11.5,,,-56.2,0.0,0.0,0.0,-56.2,-6.1,-62.3,0.0,0.0,-62.3,-39.94,22.36,383.0,-0.16,-0.16,-0.104282,383.0,-0.16,-0.16,-0.104282,
09/30/2013,1178.2,1178.2,-472.0,472.0,706.2,0.0,-540.6,516.4,24.2,165.6,-17.2,16.5,17.4,-0.9,0.9,-0.2,148.4,-46.2,,,102.2,0.0,0.0,0.0,102.2,-8.7,93.5,0.0,0.0,93.5,101.152683,7.652683,384.0,0.24,0.24,0.263418,393.5,0.24,0.24,0.259448,
12/31/2013,1323.2,1323.2,-549.3,549.3,773.9,0.0,-630.4,603.0,27.4,143.5,-16.7,16.5,17.5,-1.0,0.2,0.0,126.8,-33.7,,,93.1,0.0,0.0,0.0,93.1,-10.6,82.5,0.0,0.0,82.5,108.767337,26.267337,384.4,0.21,0.21,0.282954,393.3,0.21,0.21,0.276787,
03/31/2014,1008.7,1008.7,-395.6,395.6,613.1,0.0,-885.1,543.2,341.9,-272.0,-15.2,15.9,17.1,-1.2,1.4,-2.1,-287.2,40.5,,,-246.7,0.0,0.0,0.0,-246.7,-6.6,-253.3,0.0,0.0,-253.3,80.446463,333.746463,384.0,-0.66,-0.66,0.209496,384.0,-0.66,-0.66,0.209131,
06/30/2014,1041.5,1041.5,-448.8,448.8,592.7,0.0,-604.1,557.7,46.4,-11.4,-20.7,16.8,17.8,-1.0,0.3,3.6,-32.1,19.3,,,-12.8,0.0,0.0,0.0,-12.8,-7.3,-20.1,0.0,0.0,-20.1,6.12549,26.22549,374.3,-0.05,-0.05,0.016365,374.3,-0.05,-0.05,0.016365,
09/30/2014,1182.3,1182.3,-482.2,482.2,700.1,0.0,-580.0,520.6,59.4,120.1,-108.4,18.3,19.4,-1.1,1.3,88.8,11.7,5.0,,,16.7,0.0,0.0,0.0,16.7,-6.1,10.6,0.0,0.0,10.6,104.184683,93.584683,354.2,0.03,0.03,0.294141,364.3,0.03,0.03,0.286889,
12/31/2014,1259.6,1259.6,-508.9,508.9,750.7,0.0,-567.0,534.9,32.1,183.7,-19.4,16.7,17.4,-0.7,2.4,0.3,164.3,-29.4,,,134.9,0.0,0.0,0.0,134.9,-9.5,125.4,0.0,0.0,125.4,158.016279,32.616279,353.4,0.35,0.35,0.447132,362.6,0.35,0.35,0.439951,
03/31/2015,933.8,933.8,-351.8,351.8,582.0,0.0,-467.3,445.0,22.3,114.7,-17.1,17.7,18.4,-0.7,-0.1,-0.5,97.6,-15.4,,,82.2,0.0,0.0,0.0,82.2,-6.7,75.5,0.0,0.0,75.5,66.62069,-8.87931,344.7,0.22,0.22,0.193272,354.8,0.21,0.21,0.184974,
06/30/2015,1019.5,1019.5,-414.1,414.1,605.4,0.0,-628.8,558.4,70.4,-23.4,-16.9,16.2,17.1,-0.9,0.5,0.2,-40.3,65.9,,,25.6,0.0,0.0,0.0,25.6,-4.6,21.0,0.0,0.0,21.0,35.151754,14.151754,360.4,0.06,0.06,0.097535,369.4,0.05,0.05,0.08831,
09/30/2015,1112.3,1112.3,-443.7,443.7,668.6,0.0,-586.9,484.3,102.6,81.7,-15.7,14.5,15.0,-0.5,1.5,-0.3,66.0,67.1,,,133.1,0.0,0.0,0.0,133.1,-7.4,125.7,0.0,0.0,125.7,104.155005,-21.544995,360.0,0.35,0.35,0.289319,369.9,0.34,0.34,0.281755,
12/31/2015,1210.5,1210.5,-467.7,467.7,742.8,0.0,-590.4,515.4,75.0,152.4,-41.8,24.8,25.3,-0.5,-10.2,27.2,110.6,-13.0,,,97.6,0.0,0.0,0.0,97.6,-8.6,89.0,0.0,0.0,89.0,96.064474,7.064474,345.0,0.26,0.26,0.278448,354.3,0.25,0.25,0.269939,
03/31/2016,950.7,950.7,-369.0,369.0,581.7,0.0,-558.7,494.2,64.5,23.0,-31.7,31.3,33.1,-1.8,-6.2,6.6,-8.7,-11.6,,,-20.3,0.0,0.0,0.0,-20.3,-6.5,-26.8,0.0,0.0,-26.8,21.98399,48.78399,337.9,-0.08,-0.08,0.065061,337.9,-0.08,-0.08,0.064374,
06/30/2016,1075.6,1075.6,-465.6,465.6,610.0,0.0,-612.9,533.9,79.0,-2.9,-26.2,26.2,27.5,-1.3,-12.0,12.0,-29.1,-2.1,,,-31.2,0.0,0.0,0.0,-31.2,0.2,-31.0,0.0,0.0,-31.0,208.970881,239.970881,338.8,-0.09,-0.09,0.616797,338.8,-0.09,-0.09,0.616797,
09/30/2016,1080.2,1080.2,-444.8,444.8,635.4,0.0,-589.0,478.9,110.1,46.4,-41.7,39.1,39.7,-0.6,1.3,1.3,4.7,5.1,,,9.8,0.0,0.0,0.0,9.8,-9.8,0.0,0.0,0.0,0.0,63.723558,63.723558,336.3,0.0,0.0,0.189484,336.3,0.0,0.0,0.189484,
12/31/2016,2296.7,2296.7,-892.3,892.3,1404.4,0.0,-1417.1,1170.2,246.9,-12.7,-57.3,58.0,59.2,-1.2,-0.1,-0.6,-70.0,122.1,,,52.1,0.0,0.0,0.0,52.1,-5.3,46.8,0.0,0.0,46.8,170.905862,124.105862,746.6,0.06,0.06,0.228912,752.4,0.06,0.06,0.224947,
03/31/2017,2032.1,2032.1,-816.1,816.1,1216.0,0.0,-1408.5,1092.4,316.1,-192.5,-60.3,58.2,59.0,-0.8,2.6,-0.5,-252.8,93.4,,,-159.4,0.0,0.0,0.0,-159.4,-4.8,-164.2,0.0,0.0,-164.2,40.031287,204.231287,747.3,-0.22,-0.22,0.053568,747.3,-0.22,-0.22,0.053292,
06/30/2017,2241.3,2241.3,-875.1,875.1,1366.2,0.0,-1628.3,1299.2,329.1,-262.1,-77.8,59.9,61.7,-1.8,-7.2,25.1,-339.9,38.9,,,-301.0,0.0,0.0,0.0,-301.0,-3.8,-304.8,0.0,0.0,-304.8,-43.812675,260.987325,735.2,-0.411336,-0.411336,-0.059126,735.2,-0.411336,-0.411336,-0.059126,
09/30/2017,2238.3,2238.3,-874.2,874.2,1364.1,0.0,-1334.6,1191.1,143.5,29.5,-70.9,65.4,67.4,-2.0,1.0,4.5,-41.4,25.3,,,-16.1,0.0,0.0,0.0,-16.1,-3.6,-19.7,0.0,0.0,-19.7,36.909135,56.609135,748.6,-0.03,-0.03,0.049304,748.6,-0.03,-0.03,0.04562,
12/31/2017,2637.6,2637.6,-1024.9,1024.9,1612.7,0.0,-1437.5,1319.2,118.3,175.2,-64.5,60.3,62.7,-2.4,-6.9,11.1,110.7,7.9,,,118.6,0.0,0.0,0.0,118.6,-9.4,109.2,0.0,0.0,109.2,174.755459,65.555459,749.6,0.15,0.15,0.233132,752.7,0.15,0.15,0.233132,
03/31/2018,2222.7,2222.7,-812.3,812.3,1410.4,0.0,-1389.7,1251.6,138.1,20.7,-76.4,72.0,75.5,-3.5,0.6,3.8,-55.7,-4.4,,,-60.1,0.0,0.0,0.0,-60.1,-16.9,-77.0,0.0,0.0,-77.0,20.494517,97.494517,750.1,-0.1,-0.1,0.027322,750.1,-0.1,-0.1,0.027322,
06/30/2018,2299.4,2299.4,-896.4,896.4,1403.0,0.0,-1475.1,1256.2,218.9,-72.1,-94.0,68.9,74.6,-5.7,-3.2,28.3,-166.1,-4.1,,,-170.2,0.0,0.0,0.0,-170.2,-11.1,-181.3,0.0,0.0,-181.3,26.542637,207.842637,750.6,-0.24,-0.24,0.035362,750.6,-0.24,-0.24,0.035362,
09/30/2018,2031.3,2031.3,-809.1,809.1,1222.2,0.0,-1242.9,1122.3,120.6,-20.7,-66.8,67.7,72.4,-4.7,-3.6,2.7,-87.5,77.4,,,-10.1,0.0,0.0,0.0,-10.1,-2.0,-12.1,0.0,0.0,-12.1,29.086378,41.186378,750.8,-0.02,-0.02,0.038741,750.8,-0.02,-0.02,0.034857,
12/31/2018,2511.2,2511.2,-956.7,956.7,1554.5,0.0,-2359.1,1284.0,1075.1,-804.6,-73.1,68.3,73.9,-5.6,-0.2,5.0,-877.7,-78.3,,,-956.0,0.0,0.0,0.0,-956.0,-4.6,-960.6,0.0,0.0,-960.6,64.371739,1024.971739,751.1,-1.28,-1.28,0.085703,751.1,-1.28,-1.28,0.084628,
03/31/2019,1990.6,1990.6,-741.2,741.2,1249.4,0.0,-1163.9,1070.5,93.4,85.5,-89.5,72.0,76.5,-4.5,-0.3,17.8,-4.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,-4.0,-8.1,-12.1,0.0,0.0,-12.1,40.299489,52.399489,751.4,-0.02,-0.02,0.053633,751.4,-0.02,-0.02,0.049736,
06/30/2019,1506.2,1506.2,-588.4,588.4,917.8,0.0,-3662.2,819.6,2842.6,-2744.4,-62.9,57.1,61.5,-4.4,0.0,5.8,-2807.3,24.2,,,-2783.1,16.4,16.4,0.0,-2799.5,0.1,-2799.4,0.0,0.0,-2799.4,-30.397288,2752.602712,751.6,-3.72,-3.7,-0.040443,751.6,-3.72,-3.7,-0.040443,
09/30/2019,1942.8,1942.8,-738.4,738.4,1204.4,0.0,-1078.4,1072.6,5.8,126.0,-79.6,73.6,75.5,-1.9,3.8,2.2,46.4,9.9,,,56.3,0.0,0.0,0.0,56.3,-4.0,52.3,0.0,0.0,52.3,56.194163,3.894163,754.2,0.07,0.07,0.074508,758.9,0.07,0.07,0.074508,
