Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Cash from Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,85.300003,15.1,-0.2,88.199997,188.399994,,,,,
06/30/1990,,138.0,15.2,0.7,5.0,158.899994,,,,,
09/30/1990,,43.5,14.1,0.1,-127.900002,-70.199997,,,,,
12/31/1990,,-156.0,14.3,-63.099998,157.800003,-47.0,,,-47.0,,
03/31/1991,,23.299999,14.4,-23.9,145.399994,159.199997,,,,,
06/30/1991,,50.599998,15.4,-3.7,79.5,141.800003,,,,,
09/30/1991,,-169.100006,14.9,6.5,18.5,-129.199997,,,,,
12/31/1991,,9.4,15.2,-60.799999,0.3,-35.900002,,,-35.900002,,
03/31/1992,,-64.0,15.3,76.599998,224.100006,252.0,,,,,
06/30/1992,,69.0,15.7,-4.7,106.800003,186.800003,,,,,
09/30/1992,,42.700001,15.7,-13.9,-254.5,-210.0,,,,,
12/31/1992,,33.299999,20.0,124.0,-233.0,-55.700001,,,-55.700001,,
03/31/1993,,54.200001,16.200001,-19.200001,126.699997,177.899994,,,,,
06/30/1993,,107.400002,17.1,-14.2,71.699997,182.0,,,,,
09/30/1993,,118.199997,18.0,-4.5,-277.399994,-145.699997,,,,,
12/31/1993,,46.400002,19.700001,-22.6,-140.100006,-96.599998,,,-96.599998,,
03/31/1994,,69.300003,19.0,-6.7,116.900002,198.5,,,,,
06/30/1994,,109.300003,19.4,0.0,8.9,137.600006,,,,,
09/30/1994,,58.5,19.1,14.0,-58.5,33.099998,,,,,
12/31/1994,,44.5,18.700001,-11.7,23.5,75.0,,,,,
03/31/1995,,21.799999,19.700001,-1.0,-53.0,-12.5,,,,,
06/30/1995,,51.900002,20.0,16.700001,26.299999,114.900002,,,,,
09/30/1995,,33.400002,19.799999,-52.200001,-32.799999,-31.799999,,,,,
