Date,Assets,Cash & Near Cash Items,Short-Term Investments,Accounts & Notes Receivable,Inventories,Other Current Assets,Total Current Assets,LT Investments & LT Receivables,Net Fixed Assets,Gross Fixed Assets,Accumulated Depreciation,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Liabilities & Shareholders' Equity,Accounts Payable,Short-Term Borrowings,Other Short-Term Liabilities,Total Current Liabilities,Long-Term Borrowings,Other Long-Term Liabilities,Total Long-Term Liabilities,Total Liabilities,Total Preferred Equity,Minority Interest,Retained Earnings & Other Equity,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1999,,65,0.0,357.100006,162.199997,530.400024,1114.699951,0,6861.899902,7550.899902,-689.0,7720,14581.899902,15696.599609,,519,182.100006,1694.5,2395.600098,8127.100098,1182.300049,9309.400146,11705.000244,0.0,0.0,3991.600098,3991.600098,15696.600342,
06/30/1999,,40,0.0,431.0,197.0,650.0,1318.0,0,7052.0,7999.0,-947.0,9023,16075.0,17393.0,,363,184.0,1544.0,2091.0,9393.0,1331.0,10724.0,12815.0,0.0,0.0,4578.0,4578.0,17393.0,
09/30/1999,,16,0.0,545.0,307.0,465.0,1333.0,0,7351.0,8572.0,-1221.0,8776,16127.0,17460.0,,508,1114.0,1180.0,2802.0,9630.0,1062.0,10692.0,13494.0,,,3966.0,3966.0,17460.0,
12/31/1999,,16,0.0,572.0,336.0,391.0,1315.0,0,7996.0,9411.0,-1415.0,8613,16609.0,17924.0,,450,185.0,1943.0,2578.0,11304.0,722.0,12026.0,14604.0,0.0,0.0,3320.0,3320.0,17924.0,
03/31/2000,,55,0.0,573.0,320.0,570.0,1518.0,0,8284.0,9948.0,-1664.0,8510,16794.0,18312.0,,430,58.0,2965.0,3453.0,11070.0,800.0,11870.0,15323.0,0.0,0.0,2989.0,2989.0,18312.0,
06/30/2000,,85,0.0,680.0,326.0,114.0,1205.0,0,8673.0,10679.0,-2006.0,8570,17243.0,18448.0,,553,62.0,2168.0,2783.0,12473.0,535.0,13008.0,15791.0,0.0,0.0,2657.0,2657.0,18448.0,
09/30/2000,,90,,774.0,367.0,107.0,1338.0,0,8972.0,11321.0,-2349.0,8436,17408.0,18746.0,,513,170.0,2312.0,2995.0,13018.0,333.0,13351.0,16346.0,0.0,0.0,2400.0,2400.0,18746.0,
12/31/2000,,117,0.0,902.0,515.0,316.0,1850.0,0,9522.0,12117.0,-2595.0,8391,17913.0,19763.0,,687,244.0,2461.0,3392.0,14136.0,343.0,14479.0,17871.0,526.0,0.0,1366.0,1892.0,19763.0,
03/31/2001,,120,0.0,920.0,570.0,326.0,1936.0,0,9762.0,12747.0,-2985.0,8267,18029.0,19965.0,,458,678.0,2507.0,3643.0,14463.0,295.0,14758.0,18401.0,526.0,0.0,1038.0,1564.0,19965.0,
06/30/2001,,136,0.0,1098.0,541.0,264.0,2039.0,0,10388.0,13563.0,-3175.0,8158,18546.0,20585.0,,480,2996.0,2275.0,5751.0,13063.0,305.0,13368.0,19119.0,526.0,0.0,940.0,1466.0,20585.0,
09/30/2001,,141,0.0,1367.0,267.0,287.0,2062.0,0,11094.0,14161.0,-3067.0,8228,19322.0,21384.0,,625,2300.0,2610.0,5535.0,12083.0,2050.0,14133.0,19668.0,526.0,0.0,1190.0,1716.0,21384.0,
12/31/2001,,179,0.0,1391.0,442.0,299.0,2311.0,0,11516.0,,,8363,19879.0,22190.0,,681,2345.0,2393.0,5419.0,14968.0,365.0,15333.0,20752.0,526.0,0.0,912.0,1438.0,22190.0,
03/31/2002,,1732,0.0,1397.0,406.0,847.0,4382.0,0,11608.0,,,7991,19599.0,23981.0,,667,1309.0,2286.0,4262.0,16278.0,2106.0,18384.0,22646.0,526.0,0.0,809.0,1335.0,23981.0,
06/30/2002,,602,0.0,1501.0,362.0,483.0,2948.0,0,11906.0,,,7922,19828.0,22776.0,,1505,59.0,1526.0,3090.0,18010.0,405.0,18415.0,21505.0,526.0,,745.0,1271.0,22776.0,
09/30/2002,,637,0.0,1427.0,519.0,1095.0,3678.0,0,11970.0,,,7923,19893.0,23571.0,,1623,60.0,1750.0,3433.0,17989.0,872.0,18861.0,22294.0,526.0,0.0,751.0,1277.0,23571.0,
