Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
10/01/1989,157,564,206,-100,,,-100,-513,,,-513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1989,594,363,214,-55,,,-55,72,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1990,658,404,210,-30,,,-30,74,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,597,284,229,180,,,180,-96,,,-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597.0,
09/30/1990,201,555,236,-120,,,-120,-470,,,-470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,397,490,247,-9,,,-9,-331,,,-331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1991,770,424,241,-23,,,-23,128,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,701,304,232,-51,,,-51,216,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,386,536,249,-186,,,-186,-213,,,-213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,360,523,261,-128,,,-128,-296,,,-296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.0,
03/31/1992,1259,474,268,104,,,104,413,,,413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,1065,339,273,129,,,129,324,,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,246,-515,279,1211,,,1211,-729,,,-729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.0,
12/31/1992,462,576,283,-115,,,-115,-282,,,-282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1993,1470,502,257,130,,,130,581,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
