Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1999,56.977001,39.004,35.583,3.421,4.199,,,2.685,0.428,0.585,1.672,,2.324,,,,,48.212002,7.044,11.041,-3.997,0.0,,,1.721,1.545,,,,0.176,8.765,,2.224,2.224,,,,0.042,,,,,2.409,,,2.409,4.675,0.074,,,,0.0,,,,0.0,0.074,4.749,1.526,50.771,,,0.0,,-0.069,52.228,0.0,52.228,56.977,
06/30/1999,58.151,38.533,36.094,2.439,3.966,3.966,,2.823,0.544,0.573,1.706,,2.284,,,,,47.606,7.182,,,0.0,,,3.363,3.192,,,,0.171,10.545,,1.742,1.742,,,,0.438,,,,,2.328,,,2.328,4.508,0.664,0.6,0.064,0.064,0.0,,,,0.0,0.664,5.172,0.0,51.215,,,0.0,2.721,-0.957,52.979,0.0,52.979,58.151,
09/30/1999,68.273,39.025,38.216,0.809,7.923,7.923,,5.301,1.609,0.889,2.803,0.0,3.1,,,,,55.349,8.961,16.264,-7.303,0.0,,,3.963,3.577,,,,0.386,12.924,,1.67,1.67,,,,1.137,,,,,6.945,,,6.945,9.752,0.741,,,,0.0,,,,0.0,0.741,10.493,0.0,54.956,,,0.0,3.857,-1.033,57.78,0.0,57.78,68.273,
12/31/1999,135.544,102.22,102.22,0.0,7.027,,,5.344,2.002,1.082,4.472,0.0,8.556,,,,,123.147,8.4,16.142,-7.742,0.0,,,3.997,4.139,0.027,4.112,,-0.142,12.397,,2.351,2.351,,,,1.046,,,,,5.804,,,5.804,9.201,0.721,0.549,0.172,0.172,,,,,,0.721,9.922,0.0,119.687,,,0.0,,5.935,125.622,0.0,125.622,135.544,
03/31/2000,335.665009,265.411011,265.411011,0.0,13.909,,,7.536,1.563,1.948,4.025,0.0,15.877,,,,,302.733002,22.833,37.645,-14.812,0.0,,,10.099,4.124,,,,5.975,32.932,,2.456,2.456,,,,0.813,,,,,7.821,,,7.821,11.09,175.524002,,,,0.0,,,,0.0,175.524002,186.614002,0.0,141.169998,,,0.0,,7.881,149.050998,0.0,149.050998,335.665,
06/30/2000,346.431,273.841,175.781,98.06,13.95,13.95,,8.229,1.571,1.986,4.672,0.0,12.948,,,,,308.968,25.831,41.792,-15.961,0.0,,,11.632,5.403,,,,6.229,37.463,,4.038,4.038,,,,1.163,,,,,10.244,,,10.244,15.445,172.5,,,,2.782,,,,2.782,175.282,190.727,0.0,144.256,,,0.0,12.659,-1.211,155.704,0.0,155.704,346.431,
09/30/2000,2735.08,498.129,473.239,24.89,102.587,102.587,,101.934,18.198,25.068,58.668,0.0,255.331,,,,,957.981,164.075,181.863,-17.788,0.0,,,1613.024,1547.093,1547.093,0.0,,65.931,1777.099,,27.213,27.213,,,,3.34,,,,,2036.256,,,2036.256,2066.809,172.5,,,,284.886,,,,284.886,457.386,2524.195,0.0,202.568,,,0.0,7.048,-3.581,206.035,4.85,210.885,2735.08,
12/31/2000,2369.215,430.656,418.899,11.757,103.587,,,91.664,13.901,17.225,60.538,0.0,45.842,,,,,671.749,171.521,193.909,-22.388,0.0,,,1525.945,1473.903,51.046,1422.857,,52.042,1697.466,,24.728,24.728,,,,2.154,,,,,126.146,,,126.146,153.028,172.5,169.934,2.566,2.566,260.351,,,,260.351,432.851,585.879,0.0,1818.642,,,0.0,,-40.245,1778.397,4.939,1783.336,2369.215,
03/31/2001,2292.638916,424.000008,414.195007,9.805,98.856003,98.856003,,86.524002,14.623,13.044,58.856998,0.0,44.307999,,,,,653.687988,173.535004,,,0.0,,,1465.416016,1413.178955,,,,52.237061,1638.951019,,26.743,26.743,,,,0.957,,,,,92.893002,,,92.893002,120.593002,191.251007,,,,233.697998,,,,233.697998,424.949005,545.542007,0.0,1830.301025,,,0.0,-84.190002,-4.248001,1741.863022,5.234,1747.097022,2292.63903,
06/30/2001,2258.571,503.889,503.162,0.727,101.109,101.109,,88.377,14.972,15.149,58.256,0.0,47.664,,,,,741.039,131.879,,,0.0,,,1385.653,1334.087,,,,51.566,1517.532,,25.068,25.068,,,,3.569,,,,,100.969,,,100.969,129.606,190.307,,,,212.008,,,,212.008,402.315,531.921,0.0,1848.465,,,0.0,-119.288,-4.779,1724.398,2.252,1726.65,2258.571,
