Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1998,1.697,2.977,0.0,-1.143,,,,-1.143,-0.137,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
06/30/1998,3.853,3.415,0.0,0.262,,,,0.262,0.176,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
09/30/1998,2.635,4.824,0.0,-0.95,,,,-0.95,-1.239,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12/31/1998,3.526,5.699,0.0,-2.134,,,,-2.134,-0.039,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
03/31/1999,3.548,7.024,0.063,-2.285,,,,-2.285,-1.254,,,-12.278,0.0,0.0,0.0,-19.138,15.774,,,,-34.912,,,,6.86,,,,,,,,0.0,3.812,-5.777,10.0,,,,,0.188,0.188,0.0,0.0,-0.599,,-4.918,,0.794,
06/30/1999,4.093,6.161,0.0,-1.885,,,,-1.885,-0.183,,,-29.065,0.0,0.0,0.0,-36.797,6.745,,,,-43.542,,,,7.732,,,,,,,,0.0,37.459,-5.151,43.9,,,,,-0.188,0.0,-0.188,0.0,-1.102,,12.487,,,
09/30/1999,1.323,10.235,0.0,-5.696,,,,-5.696,-3.216,,,-40.187,0.0,0.0,0.0,-50.418,6.366,,,,-56.784,,,,10.231,,,,,,,,0.0,70.332,0.0,-19.06,,,,,89.372,89.372,0.0,0.0,0.02,,31.468,,,
12/31/1999,20.856,97.201,,-72.242,,,,-72.242,-4.103,,,-127.214,0.0,,0.0,-156.672,27.823,,,,-184.495,,,,30.731,,,,,,,,-1.273,102.246,-26.158,43.545,,,,,87.286,89.451,-2.165,0.0,-2.427,,-4.112,,4.385,
03/31/2000,2.754,19.314,,-14.597,,,,-14.597,-1.963,,,-30.305,0.0,0.0,0.0,-31.45,0.0,,,,-31.45,,,,1.145,,,,,,,,0.0,30.091,-8.576,38.667,,,,,0.0,0.0,0.0,0.0,0.0,,2.54,,1.548,
06/30/2000,7.907,11.229,,-2.071,,,,-2.071,-1.251,,,-62.048,0.0,0.0,0.0,-60.952,2.46,,,,-63.412,,,,-1.096,,,,,,,,0.0,52.998,-9.166,-60.173,,,,,122.337,122.337,0.0,0.0,0.0,,-1.143,,-1.152,
