Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,2977,,,-2550.0,,,427.0,,-206.0,,,,,,221.0,-88.0,,110.0,,0.0,,-22.0,133.0,-51.0,82.0,0.0,,,82.0,0.0,82.0,-6.0,,76.0,76.0,,511.187988,0.15,0.15,,511.187988,0.15,0.15,0.15,
06/30/1990,2784,,,-2256.0,,,528.0,,-261.0,,,,,,267.0,-47.0,,,,0.0,,47.0,220.0,-92.0,128.0,0.0,,,128.0,0.0,128.0,-3.0,,125.0,125.0,,510.424012,0.245,0.245,0.245,510.424012,0.245,0.245,0.245,
09/30/1990,3327,,,-2859.0,,,468.0,,-203.0,,,,,,265.0,-105.0,,119.0,,0.0,,-14.0,160.0,-78.0,82.0,0.0,,,82.0,0.0,82.0,-2.0,,80.0,80.0,,510.395996,0.155,0.155,,510.395996,0.155,0.155,0.155,
12/31/1990,4195,,,-3846.0,,,349.0,,-21.0,,,,,,328.0,-62.0,,99.0,,0.0,,-37.0,266.0,-50.0,216.0,0.0,,,216.0,0.0,216.0,-3.0,,213.0,213.0,,509.947998,0.42,0.42,0.42,509.947998,0.42,0.42,0.42,
03/31/1991,3007,,,-2410.0,,,597.0,,-359.0,,,,,,238.0,-107.0,,95.0,,0.0,,12.0,131.0,-60.0,71.0,0.0,,,71.0,0.0,71.0,-2.0,,69.0,69.0,,508.73999,0.135,0.135,,508.73999,0.135,0.135,0.135,
06/30/1991,3087,,,-2457.0,,,630.0,,-449.0,,,,,,181.0,-72.0,,92.0,,0.0,,-20.0,109.0,-45.0,64.0,0.0,,,64.0,0.0,64.0,-2.0,,62.0,62.0,,510.540009,0.125,0.125,,510.540009,0.125,0.125,0.125,
09/30/1991,3073,,,-2512.0,,,561.0,,-450.0,,,,,,111.0,-51.0,,65.0,,0.0,,-14.0,60.0,-37.0,23.0,0.0,,,23.0,0.0,23.0,-1.0,,22.0,22.0,,512.833984,0.04,0.04,,512.833984,0.04,0.04,0.04,
12/31/1991,3146,,,-2652.0,,,494.0,,-642.0,,,,,,-148.0,-87.0,,89.0,,0.0,,-2.0,-235.0,6.0,-229.0,0.0,,,-229.0,0.0,-229.0,-2.0,,-231.0,-231.0,,514.226014,-0.455,-0.455,-0.455,514.226014,-0.455,-0.455,-0.455,
03/31/1992,2561,,,-2057.0,,,504.0,,-380.0,,,,,,124.0,-88.0,,78.0,,0.0,,10.0,36.0,-12.0,24.0,331.0,,,-307.0,0.0,-307.0,-2.0,,-309.0,-309.0,,555.567993,-0.555,0.04,,555.567993,-0.555,0.04,0.04,
06/30/1992,2804,,,-2346.0,,,458.0,,-156.0,,,,,,302.0,3.0,,71.0,,0.0,,-74.0,305.0,-124.0,181.0,0.0,,,181.0,0.0,181.0,-1.0,,180.0,180.0,,569.367981,0.315,0.315,,569.367981,0.315,0.315,0.315,
09/30/1992,3382,,,-2711.0,,,671.0,,-574.0,,,,,,97.0,-56.0,,70.0,,0.0,,-14.0,41.0,-17.0,24.0,0.0,,,24.0,0.0,24.0,-2.0,,22.0,22.0,,570.367981,0.04,0.04,,570.367981,0.04,0.04,0.04,
12/31/1992,2380,,,-2242.0,,,138.0,,-372.0,,,,,,-234.0,53.0,,72.0,,0.0,,-125.0,-181.0,61.0,-120.0,0.0,,,-120.0,0.0,-120.0,-1.0,,-121.0,-121.0,,572.559998,-0.21,-0.21,-0.21,572.559998,-0.21,-0.21,-0.21,
03/31/1993,2954,,,-2265.0,,,689.0,,-583.0,,,,,,106.0,-56.0,,68.0,,0.0,,-12.0,50.0,-19.0,31.0,23.0,,,8.0,0.0,8.0,-2.0,,6.0,6.0,,573.219971,0.01,0.05,,573.219971,0.01,0.05,0.05,
06/30/1993,3103,,,-2157.0,,,946.0,,-852.0,,,,,,94.0,-62.0,,72.0,,0.0,,-10.0,32.0,-11.0,21.0,0.0,,,21.0,0.0,21.0,-1.0,,20.0,20.0,,573.223999,0.035,0.035,,573.223999,0.035,0.035,0.035,
09/30/1993,2983,,,-2180.0,,,803.0,,-719.0,,,,,,84.0,-60.0,,74.0,,0.0,,-14.0,24.0,6.0,30.0,0.0,,,30.0,0.0,30.0,-1.0,,29.0,29.0,,573.187988,0.05,0.05,,573.187988,0.05,0.05,0.05,
12/31/1993,995,,,-1110.0,,,-115.0,,,,,,,,-115.0,-46.0,,78.0,,0.0,,-32.0,-161.0,73.0,-88.0,0.0,,,-88.0,0.0,-88.0,-2.0,,-90.0,-90.0,,573.187988,-0.155,-0.155,-0.155,573.187988,-0.155,-0.155,-0.155,
03/31/1994,2747,,,-1941.0,,,806.0,,-580.0,,,,,,226.0,-48.0,,77.0,,0.0,,-29.0,178.0,-68.0,110.0,0.0,,,110.0,0.0,110.0,-1.0,,109.0,109.0,,573.164001,0.19,0.19,,573.164001,0.19,0.19,0.19,
06/30/1994,3105,,,-2279.0,,,826.0,,-670.0,,,,,,156.0,-47.0,,43.0,,0.0,,4.0,109.0,-37.0,72.0,0.0,,,72.0,0.0,72.0,-2.0,,70.0,70.0,,573.156006,0.125,0.125,,573.156006,0.125,0.125,0.125,
09/30/1994,3497,,,-2423.0,,,1074.0,,-957.0,,,,,,117.0,61.0,,89.0,,0.0,,-150.0,178.0,-76.0,102.0,0.0,,,102.0,0.0,102.0,-1.0,,101.0,101.0,,573.135986,0.175,0.175,,573.135986,0.175,0.175,0.175,
12/31/1994,3408,,,-2425.0,,,983.0,,-898.0,,,,,,85.0,-74.0,,46.0,,0.0,,28.0,11.0,26.0,37.0,0.0,,,37.0,0.0,37.0,-2.0,,35.0,35.0,,574.263978,0.06,0.06,0.06,574.263978,0.06,0.06,0.06,
03/31/1995,3338,,,-2416.0,,,922.0,,-710.0,,,,,,212.0,-84.0,,91.0,,0.0,,-7.0,128.0,-51.0,77.0,0.0,,,77.0,0.0,77.0,-2.0,,75.0,75.0,,574.374023,0.13,0.13,,574.374023,0.13,0.13,0.13,
06/30/1995,3530,,,-2439.0,,,1091.0,,-840.0,,,,,,251.0,-78.0,,94.0,,0.0,,-16.0,173.0,-65.0,108.0,0.0,,,108.0,0.0,108.0,-1.0,,107.0,107.0,,574.492004,0.185,0.185,,587.007996,0.185,0.185,0.185,
09/30/1995,3494,,,-2392.0,,,1102.0,,-929.0,,,,,,173.0,-61.0,,73.0,,0.0,,-12.0,112.0,-15.0,97.0,4.0,,,93.0,0.0,93.0,-1.0,,92.0,92.0,,574.815979,0.16,0.165,,574.815979,0.16,0.165,0.165,
12/31/1995,3517,,,-2581.0,,,936.0,,-800.0,,,,,,136.0,-739.0,,31.0,,-3.0,,711.0,-603.0,238.0,-365.0,1.0,,,-366.0,0.0,-366.0,0.0,,-366.0,-366.0,,574.799988,-0.64,-0.635,-0.635,574.799988,-0.64,-0.635,-0.635,
03/31/1996,2994,,,-2612.0,,,382.0,,-5.0,,,,,,377.0,-57.0,,86.0,,,,-29.0,320.0,-104.0,216.0,0.0,,,216.0,0.0,216.0,0.0,,216.0,216.0,,574.919983,0.375,0.375,0.195,594.502014,0.37,0.37,0.19,
06/30/1996,3371,,,-2915.0,,,456.0,,-222.0,,,,,,234.0,-69.0,,77.0,,,,-8.0,165.0,-41.0,124.0,0.0,,,124.0,0.0,124.0,0.0,,124.0,124.0,,575.208008,0.215,0.215,0.295,587.164001,0.215,0.215,0.295,
09/30/1996,3438,,,-3062.0,,,376.0,,-58.0,,,,,,318.0,-67.0,,75.0,,,,-8.0,251.0,-87.0,164.0,0.0,,,164.0,0.0,164.0,0.0,,164.0,164.0,,575.216003,0.285,0.285,0.18,593.280029,0.285,0.285,0.18,
12/31/1996,3726,,,-3292.0,,,434.0,,-164.0,,,,,,270.0,-15.0,,19.0,,,,-4.0,255.0,-88.0,167.0,7.0,,,160.0,0.0,160.0,0.0,,160.0,160.0,,575.40802,0.28,0.29,0.265,585.96399,0.275,0.285,0.26,
03/31/1997,3427,,,-2929.0,,,498.0,,-284.0,,,,,,214.0,-49.0,,67.0,,,,-18.0,165.0,-57.0,108.0,0.0,,,108.0,0.0,108.0,0.0,,108.0,108.0,,575.23999,0.185,0.185,0.315,589.242004,0.185,0.185,0.31,
06/30/1997,3104,,,-2642.0,,,462.0,,-174.0,,,,,,288.0,-113.0,,68.0,,,,45.0,175.0,-57.0,118.0,0.0,,,118.0,0.0,118.0,0.0,,118.0,118.0,,575.676025,0.205,0.205,0.275,578.791992,0.205,0.205,0.275,
