Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,241.477005,,-125.711998,,115.765007,,-52.289001,,,,63.476002,3.396,,11.009,,,-14.405,66.872002,-25.284,41.588001,0.0,,,41.588001,0.0,41.588001,0.0,,41.588001,41.588001,,114.264004,0.363333,0.363333,,114.264004,0.363333,0.363333,0.363333,
06/30/1990,253.858002,,-129.253006,,124.604996,,-53.481998,,,,71.123001,2.707,,3.88,,,-6.587,73.830001,-27.9,45.93,0.0,,,45.930001,0.0,45.93,0.0,,45.93,45.93,,114.293999,0.403333,0.403333,,114.293999,0.403333,0.403333,0.403333,
09/30/1990,248.136993,,-129.860992,,118.276001,,-55.417,,,,62.859001,2.662,,3.318,,,-5.98,65.521001,-25.202,40.319,0.0,,,40.319001,0.0,40.319,0.0,,40.319,40.319,,114.333,0.35,0.35,,114.333,0.35,0.35,0.35,
12/31/1990,219.337997,,-117.93,,101.407997,,-59.504002,,,,41.903999,3.929,,3.852,-14.489,,6.708,45.832999,-16.989,28.844,0.0,,,28.843999,0.0,28.844,0.0,,28.844,28.844,,114.3525,0.253333,0.253333,0.253333,114.3525,0.253333,0.253333,0.253333,
03/31/1991,269.77301,,-139.873993,,129.899017,,-59.752998,,,,70.146004,5.119,,2.01,,,-7.129,75.265004,-28.226,47.039001,0.0,,,47.039004,0.0,47.039001,0.0,,47.039001,47.039001,,114.579002,0.41,0.41,,114.579002,0.41,0.41,0.41,
06/30/1991,266.067993,,-135.294998,,130.772995,,-56.884998,,,,73.888,3.927,,2.639,,,-6.566,77.815001,-28.98,48.834999,0.0,,,48.835001,0.0,48.834999,0.0,,48.834999,48.834999,,114.624001,0.426667,0.426667,,114.624001,0.426667,0.426667,0.426667,
09/30/1991,255.459,,-132.934006,,122.524994,,-57.078999,,,,65.445999,2.429,,2.334,0.0,,-4.763,67.874999,-25.434999,42.439999,0.0,,,42.44,0.0,42.439999,0.0,,42.439999,42.439999,,114.660004,0.37,0.37,,114.660004,0.37,0.37,0.37,
12/31/1991,225.667999,,-119.811996,,105.856003,,-61.126999,,,,44.729,3.8,,2.545,-3.534,,-2.811,48.529,-18.169001,30.360001,0.0,,,30.359999,0.0,30.360001,0.0,,30.360001,30.360001,,114.618003,0.263333,0.263333,0.263333,114.618003,0.263333,0.263333,0.263333,
04/01/1992,284.100006,,-146.220993,,137.879013,,-63.506001,,,,74.373001,5.601,,2.365,0.0,,-7.966,79.974001,-29.742001,50.231998,6.089,,,44.143,0.0,44.143002,0.0,,44.143002,44.143002,,115.418999,0.436667,0.49,,115.418999,0.436667,0.49,0.49,
07/01/1992,295.575989,,-149.067993,,146.507996,,-63.52,,,,82.987999,4.564,,2.994,0.0,,-7.558,87.551999,-32.481998,55.07,0.0,,,55.070001,0.0,55.07,0.0,,55.07,55.07,,115.455002,0.476667,0.476667,,115.455002,0.476667,0.476667,0.476667,
