Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1995,42.921001,8.091,8.091,0.0,7.666,,,,0.0,,,,,2.292,,,,,18.049,3.163,4.074,-0.911,0.0,21.709,,,,21.709,24.872,,0.639,0.639,,,,5.0,,,,,,9.214,,,,9.214,14.853,33.203999,,,,,0.0,,,,,0.0,33.203999,48.056998,4.892,1.467,,,-0.01,,-11.485,-5.136,0.0,-5.136,42.920999,
03/31/1996,41.998001,5.577,5.577,0.0,11.411,,,,0.0,,,,,2.374,,,,,19.362,2.985,4.185,-1.2,0.0,19.650999,,,,19.650999,22.635999,,0.11,0.11,,,,5.25,,,,,,9.808,,,,9.808,15.168,31.704,,,,,0.0,,,,,0.0,31.704,46.872001,4.994,1.899,,,-0.011,,-11.756,-4.874,0.0,-4.874,41.998001,
06/30/1996,41.34,8.661,8.661,0.0,10.58,,,,0.0,,,,,1.566,,,,,20.806999,3.149,,,0.0,17.384001,,,,17.384001,20.533001,,0.08,0.08,,,,0.0,,,,,,10.581,,,,10.581,10.661,0.0,,,,,0.0,,,,,0.0,0.0,10.661,0.0,35.955002,,,-0.011,,-5.265,30.679002,0.0,30.679002,41.340002,
09/30/1996,42.0,9.31,9.31,0.0,11.755,,,,0.0,,,,,0.853,,,,,21.917999,3.72,,,0.915,15.447,,,,15.447,20.082,,0.06,0.06,,,,0.0,,,,,,9.635,,,,9.635,9.695,0.0,,,,,0.0,,,,,0.0,0.0,9.695,0.0,35.911999,,,-0.012,,-3.595,32.304999,0.0,32.304999,41.999998,
12/31/1996,43.431,17.069,17.069,0.0,7.307,,,,0.0,,,,,0.772,,,,,25.148001,4.334,6.582,-2.248,0.673,13.276,,,,13.276,18.283,,0.486,0.486,,,,0.0,,,,,,9.971,,,,9.971,10.457,0.0,,,,,0.0,,,,,0.0,0.0,10.457,0.0,35.917,,,-0.012,,-2.931,32.974,0.0,32.974,43.431,
03/31/1997,44.612,19.933001,19.933001,0.0,6.783,,,,0.0,,,,,0.974,,,,,27.690001,5.115,,,0.643,11.164,,,,11.164,16.921999,,0.146,0.146,,,,0.0,,,,,,10.658,,,,10.658,10.804,0.0,,,,,0.0,,,,,0.0,0.0,10.804,0.0,36.083,,,-0.012,,-2.263,33.808,0.0,33.808,44.612,
06/30/1997,47.737,22.027999,17.959999,4.068,6.948,,,,0.0,,,,,2.06,,,,,31.035999,5.186,,,0.37,11.145,,,,11.145,16.701,,0.412,0.412,,,,0.0,,,,,,11.422,,,,11.422,11.834,0.0,,,,,0.0,,,,,0.0,0.0,11.834,0.0,36.084999,,,-0.012,,-0.17,35.902999,0.0,35.902999,47.736999,
09/30/1997,50.124001,24.952,14.511,10.441,6.573,,,,0.0,,,,,2.106,,,,,33.631001,5.088,,,0.37,11.035,,,,11.035,16.493,,0.155,0.155,,,,0.0,,,,,,12.183,,,,12.183,12.338,0.0,,,,,0.0,,,,,0.0,0.0,12.338,0.0,36.248001,,,-0.012,,1.55,37.786001,0.0,37.786001,50.124001,
12/31/1997,53.581001,27.842999,13.99,13.853,8.034,,,,0.0,,,,,1.051,,,,,36.928001,4.771,7.839,-3.068,0.182,11.7,,,,11.7,16.653,,0.235,0.235,,,,0.0,,,,,,12.932,,,,12.932,13.167,0.0,,,,,0.0,,,,,0.0,0.0,13.167,0.0,36.252998,,,-0.012,,4.173,40.413998,0.0,40.413998,53.580998,
03/31/1998,57.181,33.266001,14.024,19.242001,6.929,,,,0.0,,,,,0.94,,,,,41.134998,4.44,,,0.287,11.319,,,,11.319,16.046,,0.272,0.272,,,,0.0,,,,,,13.559,,,,13.559,13.831,0.0,,,,,0.0,,,,,0.0,0.0,13.831,0.0,36.349998,,,-0.01,,7.01,43.349998,0.0,43.349998,57.180999,
