Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2006,578.51,308.415,308.092,0.323,27.966,27.966,,16.51,8.212,1.123,7.175,0.0,35.631,,,,,,388.522,178.868,197.748,-18.88,0.0,,,,11.12,0.0,0.0,0.0,,11.12,189.988,,32.083,32.083,,,,19.65,19.644,0.006,0.006,,,0.34,,,0.34,52.073,61.047,61.038,0.009,0.009,,53.95,,,,,53.95,114.997,167.07,0.0,555.821,,,0.0,-145.403,1.022,411.44,0.0,411.44,578.51,
03/31/2007,618.763,325.338,325.012,0.326,7.844,7.844,,15.023,10.759,,4.264,0.0,39.284,,,,,,387.489,220.918,244.94,-24.022,0.0,,,,10.356,,0.0,,,10.356,231.274,,44.319,44.319,,,,23.875,,,,,,0.0,,,0.0,68.194,71.955,,,,,96.396,,,,,96.396,168.351,236.545,0.0,521.447,,,0.0,-140.431,1.202,382.218,0.0,382.218,618.763,
06/30/2007,723.212,315.007,107.799,207.208,13.736,13.736,,26.848,14.679,6.555,5.614,0.0,68.496,,,,,,424.087,245.559,275.551,-29.992,0.0,,,,53.566,,0.0,,,53.566,299.125,,51.394,51.394,,,,25.734,,,,,,0.015,,,0.015,77.143,96.477,,,,,68.288,,,,,68.288,164.765,241.908,0.0,575.12,,,0.0,-96.013,2.197,481.304,0.0,481.304,723.212,
09/29/2007,1177.156,681.794,117.153,564.641,19.66,19.66,,31.887,18.065,3.02,10.802,0.0,62.444,,,,,,795.785,317.552,353.91,-36.358,,,,,63.819,,0.0,,,63.819,381.371,,69.465,69.465,,,,33.613,,,,,,9.111,,,9.111,112.189,72.484,,,,,11.664,,,,,11.664,84.148,196.337,0.0,1026.934,,,0.0,-49.979,3.864,980.819,0.0,980.819,1177.156,
12/29/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/29/2008,1477.159,680.664,590.534,90.13,18.027,18.027,,58.559,38.983,3.165,16.411,0.0,41.001,,,,,,798.251,529.39,583.411,-54.021,28.34,,28.34,,121.178,33.829,33.829,0.0,,87.349,678.908,,167.063,167.063,,,,17.673,,,,,,43.008,,,43.008,227.744,70.21,,,,,28.028,,,,,28.028,98.238,325.982,,1100.713,,,0.0,59.514,-9.05,1151.177,,1151.177,1477.159,
06/28/2008,1675.13,633.004,511.244,121.76,49.994,49.994,,106.902,75.843,2.842,28.217,0.0,48.673,,,,,,838.573,674.268,741.12,-66.852,28.208,,28.208,,134.081,33.829,33.829,0.0,,100.252,836.557,,42.483,42.483,,,,24.629,,,,,,212.137,,,212.137,279.249,108.547,,,,,36.733,,,,,36.733,145.28,424.529,0.0,1127.327,,,0.0,129.185,-5.911,1250.601,0.0,1250.601,1675.13,
09/27/2008,1859.85,715.15,581.779,133.371,41.474,41.474,,126.469,94.42,7.1,24.949,0.0,79.283,,,,,,962.376,750.477,832.48,-82.003,14.272,,14.272,,132.725,33.829,33.829,0.0,,98.896,897.474,,36.691,36.691,,,,26.691,,,,,,234.249,,,234.249,297.631,140.808,,,,,36.241,,,,,36.241,177.049,474.68,0.0,1144.759,,,0.0,228.454,11.957,1385.17,0.0,1385.17,1859.85,
12/27/2008,2114.502,792.26,716.218,76.042,61.703,61.703,,121.554,103.725,4.038,13.791,0.0,101.884,,,,,,1077.401,842.622,943.561,-100.939,29.559,,29.559,,164.92,34.102,33.829,0.273,25.0,105.818,1037.101,,46.251,46.251,,,,34.951,34.948,0.003,0.003,,,300.575,,,300.575,381.777,163.519,163.517,0.002,0.002,,56.164,,,,,56.164,219.683,601.46,0.0,1176.238,,,0.0,361.225,-24.421,1513.042,0.0,1513.042,2114.502,
03/28/2009,2288.432,797.108,624.932,172.176,184.79,184.79,0.0,131.468,104.763,7.562,19.143,0.0,126.338,6.193,0.171,61.987,,78.797,1239.704,867.66,992.945,-125.285,28.21,,14.46,13.75,152.858,33.829,33.829,0.0,25.0,31.871,1048.728,,230.345,41.853,102.242,,86.25,32.952,0.0,,,,32.952,52.542,,1.894,4.774,315.839,195.216,195.216,,,,71.705,45.366,,,,24.445,266.921,582.76,0.0,1194.406,0.082,1194.324,0.0,525.82,-14.554,1705.672,0.0,1705.672,2288.432,
