Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,105.899002,-41.423,64.476002,-50.41,14.066,-2.148,,,11.918,-3.635,8.283,,,8.283,,8.283,,,8.283,,0.1675,0.1675,49.452,,,,,
06/30/1990,119.197998,-45.549999,73.647999,-55.625999,18.021999,-2.52,,,15.501999,-4.728,10.774,,,10.774,,10.774,,,10.773999,,0.21,0.21,51.276001,,,,,
09/30/1990,134.901001,-54.875,80.026001,-59.560001,20.466,-2.669,,,17.797,-5.428,12.369,,,12.369,,12.369,,,12.369,,0.235,0.235,52.646,,,,,
12/31/1990,154.139008,-56.566002,97.573006,-74.081001,23.492001,-2.457,,,21.035001,-6.416,14.619,,,14.619,,14.619,,,14.619001,0.3,0.3,0.3,48.508,0.3,0.3,0.3,68.508,
03/31/1991,190.126007,-77.299004,112.827003,-86.980003,25.847,-2.752,,,23.095,-6.928,16.167,,,16.167,,16.167,,,16.167,,0.29,0.29,55.792,,,,,
06/30/1991,203.179001,-85.328003,117.850998,-84.821999,33.028999,-2.688,,,30.340999,-9.103,21.238001,,,21.238001,,21.238001,,,21.238,,0.37,0.37,57.299,,,,,
09/30/1991,207.509995,-83.987,123.522995,-84.531998,38.991001,-3.055,,,35.936001,-10.781,25.155001,,,25.155001,,25.155001,,,25.155001,,0.43,0.43,58.502998,,,,,
12/31/1991,242.735992,-99.390999,143.344993,-98.940002,44.404999,-3.513,,,40.891999,-12.267,28.625,,,28.625,,28.625,,,28.624999,0.55,0.55,0.55,52.147499,0.55,0.55,0.55,52.147499,
03/31/1992,277.088013,-116.575996,160.512016,-115.023003,45.488998,-4.194,,,41.294999,-11.563,29.732,,,29.732,,29.732,,,29.731999,,0.49,0.49,60.685001,,,,,
06/30/1992,304.819,-123.504997,181.314003,-128.832001,52.481998,-4.166,,,48.315999,-13.528,34.787998,,,34.787998,,34.787998,,,34.787999,,0.58,0.58,60.125999,,,,,
09/30/1992,293.325012,-115.532997,177.792015,-123.959999,53.832001,-3.14,,,50.692001,-14.19,36.501999,,,36.501999,,36.501999,,,36.502001,,0.61,0.61,59.818001,,,,,
01/01/1993,321.967987,-127.486,194.481987,-138.684998,55.797001,-3.2,,,52.597001,-14.719,37.877998,0.0,0.0,37.877998,0.0,37.877998,,,37.878001,0.68,0.68,0.68,55.563866,0.68,0.68,0.68,55.563866,
03/31/1993,326.299988,-138.800003,187.499985,-134.699997,52.799999,-3.5,,0.0,49.299999,-13.3,36.0,0.0,0.0,36.0,0.0,36.0,,,35.999999,,0.61,0.61,59.099998,,,,,
06/30/1993,228.800003,-119.800003,109.0,-134.899994,-25.9,-4.2,,0.0,-30.099999,8.1,-22.0,0.0,0.0,-22.0,0.0,-22.0,,,-21.999999,,-0.39,-0.39,55.900002,,,,,
09/30/1993,237.699997,-120.900002,116.799995,-117.199997,-0.4,-4.8,,-8.0,-13.2,-1.1,-14.3,0.0,0.0,-14.3,0.0,-14.3,,,-14.3,,-0.26,-0.26,56.0,,,,,
12/31/1993,244.399994,-138.899994,105.5,-113.300003,-7.8,-6.0,,-129.600006,-143.400006,5.0,-138.399994,0.0,0.0,-138.399994,0.0,-138.399994,,,-138.400006,-2.46,-2.46,-2.46,56.200001,-2.46,-2.46,-2.46,56.200001,
03/31/1994,226.0,-117.599998,108.400002,-107.300003,1.1,-6.5,,0.0,-5.4,-2.5,-7.9,0.0,0.0,-7.9,-0.2,-8.1,,,-8.1,,-0.14,-0.14,56.299999,,,,,
06/30/1994,232.0,-117.199997,114.800003,-99.199997,15.6,-3.8,,0.0,11.8,-3.8,8.0,0.0,0.0,8.0,-4.9,3.1,,,3.1,,0.05,0.05,56.5,,,,,
09/30/1994,234.199997,-115.199997,119.0,-97.300003,21.700001,-4.3,,0.0,17.400001,-4.2,13.2,0.0,0.0,13.2,-4.9,8.3,,,8.300001,,0.15,0.15,56.700001,,,,,
12/31/1994,226.5,-113.599998,112.900002,-100.400002,12.5,-3.6,0.0,0.0,8.9,-3.0,5.9,0.0,0.0,5.9,-4.9,1.0,,,1.0,0.02,0.02,0.02,56.799999,0.02,0.02,0.02,56.799999,
03/31/1995,240.600006,-112.900002,127.700005,-104.099998,23.6,-4.9,,0.0,18.7,-4.3,14.4,0.0,0.0,14.4,-4.9,9.5,,,9.5,,0.17,0.17,56.900002,,,,,
06/30/1995,263.600006,-117.800003,145.800003,-115.199997,30.6,-5.8,,0.0,24.8,-5.7,19.1,0.0,0.0,19.1,-4.9,14.2,,,14.2,,0.25,0.25,56.900002,,,,,
09/30/1995,254.800003,-106.5,148.300003,-122.599998,25.700001,-5.1,,0.0,20.600001,5.3,25.9,0.0,0.0,25.9,-4.9,21.0,,,21.000001,,0.37,0.37,57.0,,,,,
12/31/1995,263.299988,-114.5,148.799988,-118.199997,30.6,-4.9,0.0,0.0,25.7,-5.9,19.799999,0.0,0.0,19.799999,-4.8,14.999999,,,15.0,0.26,0.26,0.26,57.099998,0.26,0.26,0.26,57.099998,
03/31/1996,266.0,-112.199997,153.800003,-122.699997,31.1,-4.0,,0.0,27.1,-6.2,20.9,0.0,0.0,20.9,-4.9,16.0,,,16.0,0.28,0.28,0.28,57.299999,,,,,
06/30/1996,283.600006,-116.800003,166.800003,-128.300003,38.5,-3.2,,0.0,35.3,-8.1,27.200001,0.0,0.0,27.200001,-4.9,22.300001,,,22.299999,0.38,0.38,0.38,59.0,,,,,
09/30/1996,280.0,-116.099998,163.900002,-124.800003,39.099998,-1.1,,0.0,37.999998,-8.8,29.200001,0.0,0.0,29.200001,-4.9,24.300001,,,24.299998,0.39,0.39,0.39,62.5,,,,,
12/31/1996,283.100006,-115.5,167.600006,-125.599998,42.0,-0.7,,0.0,41.3,-9.5,31.799999,0.0,0.0,31.799999,-4.8,26.999999,,,27.0,0.43,0.43,0.43,63.099998,0.43,0.43,0.43,63.099998,
03/31/1997,284.600006,-113.900002,170.700005,-129.300003,41.400002,-0.1,,0.0,41.300002,-11.6,29.700001,0.0,0.0,29.700001,-4.7,25.000001,,,25.000001,0.39,0.39,0.39,64.699997,0.38,0.38,0.38,66.599998,
06/30/1997,290.0,-116.5,173.5,-128.399994,45.099998,,,-30.0,15.099998,2.8,17.9,0.0,0.0,17.9,0.0,17.9,30.1,-7.0,40.999999,0.44,0.24,0.24,73.599998,0.44,0.24,0.24,75.400002,
09/30/1997,295.0,-122.199997,172.800003,-128.699997,44.099998,-0.3,,0.0,43.799998,-12.3,31.5,0.0,0.0,31.5,0.0,31.5,,,31.499998,0.43,0.43,0.43,74.0,0.43,0.43,0.43,74.0,
12/31/1997,302.5,-118.599998,183.900002,-150.199997,33.700001,-0.8,,-12.1,20.8,-5.8,15.0,0.0,0.0,15.0,0.0,15.0,,,15.0,0.4,0.2,0.2,72.099998,0.4,0.2,0.2,72.099998,
03/31/1998,317.299988,-128.600006,188.699982,-147.399994,41.299999,-6.6,,0.0,34.699999,-9.7,25.0,0.0,0.0,25.0,0.0,25.0,1.0,,26.0,0.34,0.33,0.33,76.400002,0.33,0.32,0.32,77.800003,
06/30/1998,363.899994,-151.600006,212.299988,-163.800003,48.5,-9.1,,0.0,39.4,-10.3,29.1,0.0,0.0,29.1,0.0,29.1,2.3,,31.4,0.41,0.38,0.38,77.0,0.4,0.37,0.37,79.699997,
