Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Compensation,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Other Share Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1989,23652,1279,1095,184.0,4245.0,,,2507,,,,,560,,,,,8591,8628,16774.0,-8146.0,532.0,5901,,,,,5901,15061,,784,784.0,,,,2862.0,,,,,,2927,,,,2927,6573,7376,,,,,3061,,,,3061,10437,17010,0.0,940.0,,,,-2059,,7761.0,6642,,6642,23652,
03/31/1990,23023,977,811,166.0,3780.0,,,2732,,,,,558,,,,,8047,8469,16733.0,-8264.0,,6507,,,,,6507,14976,,5452,5452.0,,,,,,,,,,555,,,,555,6007,7304,,,,,3017,,,,3017,10321,16328,0.0,940.0,,,,-2059,,7814.0,6695,,6695,23023,
06/30/1990,23319,889,724,165.0,4378.0,,,2606,,,,,558,,,,,8431,8491,16841.0,-8350.0,,6397,,,,,6397,14888,,5423,5423.0,,,,,,,,,,696,,,,696,6119,7249,,,,,3036,,,,3036,10285,16404,0.0,941.0,,,,-2059,,8033.0,6915,,6915,23319,
09/30/1990,23838,1090,900,190.0,4201.0,,,2572,,,,,870,,,,,8733,8672,17234.0,-8562.0,,6433,,,,,6433,15105,,6090,6090.0,,,,,,,,,,812,,,,812,6902,7259,,,,,3107,,,,3107,10366,17268,0.0,941.0,,,,-2059,,7688.0,6570,,6570,23838,
12/31/1990,24136,916,735,181.0,4333.0,,,2425,,,,,934,,,,,8608,8978,17648.0,-8670.0,647.0,5903,,,,,5903,15528,,942,942.0,,,,2956.0,,,,,,3265,,,,3265,7163,6989,,,,,3236,,,,3236,10225,17388,0.0,941.0,,,,-2059,,7866.0,6748,,6748,24136,
03/31/1991,24040,719,564,155.0,4003.0,,,2620,,,,,1067,,,,,8409,9132,17985.0,-8853.0,,6499,,,,,6499,15631,,3207,3207.0,,,,3276.0,,,,,,631,,,,631,7114,6983,,,,,3192,,,,3192,10175,17289,0.0,942.0,,,,-2059,,7868.0,6751,,6751,24040,
06/30/1991,24200,720,579,141.0,4305.0,,,2536,,,,,883,,,,,8444,9313,18344.0,-9031.0,,6443,,,,,6443,15756,,3037,3037.0,,,,3724.0,,,,,,511,,,,511,7272,6809,,,,,3213,,,,3213,10022,17294,0.0,942.0,,,,-2059,,8023.0,6906,,6906,24200,
09/30/1991,24790,1064,920,144.0,4294.0,,,2493,,,,,964,,,,,8815,9457,18770.0,-9313.0,,6518,,,,,6518,15975,,3404,3404.0,,,,3172.0,,,,,,503,,,,503,7079,7429,,,,,3663,,,,3663,11092,18171,0.0,941.0,,,,-2052,,7730.0,6619,,6619,24790,
12/31/1991,24170,924,783,141.0,4348.0,,,2311,,,,,675,,,,,8258,9602,19034.0,-9432.0,778.0,5532,,,,,5532,15912,,935,935.0,,,,5220.0,,,,,,744,,,,744,6899,7597,,,,,3570,,,,3570,11167,18066,0.0,943.0,,,,-2052,,7213.0,6104,,6104,24170,
03/31/1992,24523,1200,1046,154.0,3975.0,,,2513,,,,,683,,,,,8371,9664,19353.0,-9689.0,,6488,,,,,6488,16152,,3401,3401.0,,,,3252.0,,,,,,443,,,,443,7096,7572,,,,,3697,,,,3697,11269,18365,0.0,945.0,,,,-2052,,7265.0,6158,,6158,24523,
