Date,Net Revenue,Net Interest Income,Total Interest Income,Interest Income,Investment Income,Total Interest Expense,Total Non-Interest Income,Trading Securities G/L,Trading Account Profits/Losses,Investments & Loans Income (Loss),Other Income (Loss),Commissions & Fees Earned,Other Operating Income (Losses),Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Commissions & Fees Paid,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Other Non-Operating (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,Extraordinary & Accounting Items,Income (Loss) incl. Minority Interest,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1997,5275,915,1568,1568,0.0,-653,4360,264,,,,1253,2843.0,-72,5203,-4135,0.0,4135,1068,0.0,0.0,1068,-377,691,0.0,,,691,-49,642,0.0,0.0,642.0,642.0,,193.949952,3.200001,3.200001,3.200001,193.949952,3.200001,3.200001,3.200001,
06/30/1997,11703,4439,10509,5140,5369.0,-6070,7264,1228,,,,3012,3024.0,-588,11115,-8038,0.0,8038,3077,0.0,0.0,3077,-1120,1957,0.0,,,1957,-49,1908,-70.75,,1837.25,1837.25,,449.479978,4.100001,4.100001,4.100001,471.259965,3.900001,3.900001,3.900001,
09/30/1997,12422,4442,10841,5284,5557.0,-6399,7980,1652,,,,3315,3013.0,-559,11863,-8478,0.0,8478,3385,-880.0,880.0,2505,-906,1599,0.0,,,1599,-55,1544,-70.75,,1473.25,1473.25,,449.139805,3.300001,3.300001,4.533335,471.419889,3.150001,3.150001,4.326668,
12/31/1997,12139,4466,11090,5386,5704.0,-6624,7673,966,,,,3377,3330.0,-557,11582,-8534,0.0,8534,3048,-838.0,838.0,2210,-713,1497,0.0,,,1497,-59,1438,-70.75,,1367.25,1367.25,,448.278501,3.050001,3.050001,4.155001,463.474494,2.950001,2.950001,4.000001,
03/31/1998,12796,4490,11131,5344,5787.0,-6641,8306,1743,,,,3373,3190.0,-595,12201,-8733,0.0,8733,3468,0.0,0.0,3468,-1249,2219,0.0,,,2219,-58,2161,-60.0,,2101.0,2101.0,,448.659898,4.650001,4.650001,4.650001,465.719903,4.500001,4.500001,4.500001,
06/30/1998,12965,4639,11635,5625,6010.0,-6996,8326,1210,,,,3538,3578.0,-656,12309,-9051,0.0,9051,3258,324.0,-324.0,3582,-1290,2292,0.0,,,2292,-52,2240,-60.0,,2180.0,2180.0,,448.799888,4.850001,4.850001,4.450001,466.179864,4.700001,4.700001,4.300001,
09/30/1998,10421,4637,11810,5884,5926.0,-7173,5784,-1032,,,,3470,3346.0,-826,9595,-8438,0.0,8438,1157,0.0,0.0,1157,-375,782,0.0,,,782,-53,729,-51.0,,678.0,678.0,,449.666489,1.5,1.5,1.5,464.146466,1.5,1.5,1.5,
12/31/1998,12754,4978,11663,5690,5973.0,-6685,7776,699,,,,3500,3577.0,-674,12080,-10223,0.0,10223,1857,-795.0,795.0,1062,-320,742,0.0,,,742,-65,677,-45.0,,632.0,632.0,,449.029868,1.4,1.4,3.050001,449.029868,1.4,1.4,3.000001,
03/31/1999,14070,4851,11302,11302,0.0,-6451,9219,1823,,,,3735,3661.0,-729,13341,-9464,0.0,9464,3877,95.0,-95.0,3972,-1423,2549,127.0,,,2422,-60,2362,-40.0,,2322.0,2322.0,,501.155164,4.665501,4.865451,4.765451,516.128903,4.532201,4.732151,4.632151,
06/30/1999,14380,5007,11063,11063,0.0,-6056,9373,1460,,,,4055,3858.0,-790,13590,-9628,0.0,9628,3962,-47.0,47.0,3915,-1402,2513,0.0,,,2513,-65,2448,-38.0,,2410.0,2410.0,,502.799874,5.475001,5.475001,5.550001,509.866539,5.400001,5.400001,5.475001,
09/30/1999,14021,5125,11201,11201,0.0,-6076,8896,989,,,,4205,3702.0,-632,13389,-9497,0.0,9497,3892,-22.0,22.0,3870,-1379,2491,0.0,,,2491,-56,2435,-38.0,,2397.0,2397.0,,502.399874,5.475001,5.475001,5.475001,509.466539,5.400001,5.400001,5.400001,
12/31/1999,23251,11332,21423,21423,0.0,-10091,11919,1429,,,,5398,5092.0,-2609,20642,-14275,0.0,14275,6367,27.0,-27.0,6394,-2326,4068,0.0,,,4068,-70,3998,-33.0,0.0,3965.0,3965.0,,497.066542,7.950002,7.950002,7.950002,514.399871,7.725002,7.725002,7.725002,
03/31/2000,19130,6758,14443,14443,,-7685,12372,1550,,,,5408,5414.0,-1309,17821,-11660,0.0,11660,6161,-83.0,83.0,6078,-2167,3911,0.0,,,3911,-55,3856,-30.0,0.0,3826.0,3826.0,,497.674294,7.698077,7.698077,7.773077,511.667789,7.498127,7.498127,7.573127,
06/30/2000,18220,6954,15793,15793,,-8839,11266,1715,,,,5367,4184.0,-1302,16918,-11738,0.0,11738,5180,-3.0,3.0,5177,-1818,3359,0.0,,,3359,-20,3339,-29.0,0.0,3310.0,3310.0,,497.834334,6.698327,6.698327,6.698327,512.287944,6.498377,6.498377,6.498377,
09/30/2000,18835,7100,16889,16889,,-9789,11735,2055,,,,5408,4272.0,-1221,17614,-12089,0.0,12089,5525,-70.0,70.0,5455,-1958,3497,0.0,,,3497,-13,3484,-29.0,0.0,3455.0,3455.0,,497.87,6.9,6.9,6.9,513.48,6.7,6.7,6.7,
12/31/2000,19003,7489,17814,10084,7730.0,-10325,11514,1467,,,,5518,4529.0,-1507,17496,-12509,0.0,12509,4987,-554.0,554.0,4433,-1582,2851,0.0,,,2851,-11,2840,-29.0,0.0,2811.0,2811.0,,493.2,5.7,5.7,6.7,511.1,5.5,5.5,6.5,
03/31/2001,20281,7650,17173,10004,7169.0,-9523,12631,2776,,,,5521,4334.0,-1474,18807,-13096,0.0,13096,5711,-132.0,132.0,5579,-1990,3589,42.0,,,3547,-9,3538,-29.0,0.0,3509.0,3509.0,,498.47,7.0,7.1,7.2,511.0,6.9,7.0,7.1,
06/30/2001,19385,8297,16766,9753,7013.0,-8469,11088,1477,,,,5083,4528.0,-1485,17900,-12060,0.0,12060,5840,-213.0,213.0,5627,-1960,3667,116.0,,,3551,-15,3536,-28.0,0.0,3508.0,3508.0,,497.96,7.0,7.2,7.5,510.0,6.9,7.1,7.4,
09/30/2001,16198,8314,16598,10282,6316.0,-8284,7884,1127,,,,5117,1640.0,-1580,14618,-9453,0.0,9453,5165,-133.0,133.0,5032,-1771,3261,58.0,,,3203,-26,3177,-27.0,0.0,3150.0,3150.0,,506.08,6.2,6.3,6.4,516.9,6.1,6.2,6.2,
12/31/2001,17867,9399,15006,9563,5443.0,-5607,8468,658,,,,5423,2387.0,-2261,15606,-10168,0.0,10168,5384,-33.0,33.0,5351,-1797,3608,-304.0,,,3858,-37,3875,-26.0,0.0,3849.0,3849.0,,510.18,7.5,6.9,7.0,520.91,7.4,6.8,6.9,
