Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,455.513977,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.900999,,,20.900999,20.900999,,135.721466,0.1525,0.1525,,135.721466,0.1525,0.1525,0.1525,
03/31/1990,449.093994,,,-368.847992,,,80.246002,,-31.862,,,,48.383999,1.724999,,8.826,,,,-10.551,50.108998,-27.489,22.620001,-4.065,,,26.684998,-4.687,21.997999,,,21.997999,21.997999,,135.804001,0.1625,0.1325,,135.804001,0.1625,0.1325,0.1325,
06/30/1990,397.237,,,-330.079987,,,67.157013,,-29.632,,,,37.525002,31.221001,,8.437,,,,-39.658001,68.746002,-34.910999,33.834999,-6.942,,,40.777003,-5.292,35.485001,,,35.485001,35.485001,,136.479996,0.26,0.21,,136.479996,0.26,0.21,0.21,
09/30/1990,513.789978,,,-459.38501,,,54.404968,,-41.476002,,,,12.929,55.769002,,7.957,,,,-63.726002,68.698002,-25.966999,42.730999,,,,42.731003,-5.164,37.567001,,,37.567001,37.567001,,135.376007,0.2775,0.2775,,135.376007,0.2775,0.2775,0.2775,
12/31/1990,507.26001,,,-387.355988,,,119.904022,,-33.703999,,,,86.199997,-21.024,,7.59,,0.292,,13.142,65.175997,-27.591,37.584999,10.522,,,27.062997,-8.104,18.959,,,18.959,18.959,,135.567992,0.14,0.2175,,135.567992,0.14,0.2175,0.2175,
03/31/1991,456.25,,,-382.208008,,,74.041992,,-34.351002,,,,39.691002,8.476,,6.218,,,,-14.694,48.167002,-24.062,24.105,-1.142,,,25.247002,0.39,25.636999,,,25.636999,25.636999,,135.727997,0.19,0.1825,,135.727997,0.19,0.1825,0.1825,
06/30/1991,470.291992,,,-410.324005,,,59.967987,,-40.240002,,,,19.728001,-128.448999,,6.17,,,,122.278999,-108.720999,1.852,-106.869003,,,,-106.868999,1.725,-105.143997,,,-105.143997,-105.143997,,135.667999,-0.775,-0.775,,135.667999,-0.775,-0.775,-0.775,
09/30/1991,428.846008,,,-378.273987,,,50.572021,,-32.759998,,,,17.812,34.309,,6.44,,,,-40.749001,52.121001,-8.531,43.59,,,,43.590001,,43.59,,,43.59,43.59,,179.880005,0.2425,0.2425,,179.880005,0.2425,0.2425,0.2425,
12/31/1991,245.546997,,,-207.959,,,37.587997,,-16.83,,,,20.757999,17.69,,9.182,,-0.42,,-26.452,38.447999,-6.416,32.032001,2.692,,,29.339999,-4.58,24.76,0.0,,24.76,24.76,,179.789992,0.1375,0.1525,0.1525,179.789992,0.1375,0.1525,0.1525,
03/31/1992,359.177002,,,-323.049011,,,36.127991,,-33.123001,,,,3.005,2.289,,4.568,,0.0,,-6.857,5.294,-6.358,-1.064,-24.356001,,,23.292001,0.0,23.292,0.0,,23.292,23.292,,179.983994,0.13,-0.005,,179.983994,0.13,-0.005,-0.005,
06/30/1992,409.920013,,,-364.578003,,,45.34201,,-37.160999,,,,8.181,27.897001,,1.501,,0.0,,-29.398001,36.078,-8.624,27.454,-6.435,,,33.889001,0.0,33.889,0.0,,33.889,33.889,,180.031998,0.1875,0.1525,,180.031998,0.1875,0.1525,0.1525,
09/30/1992,415.307007,,,-382.102997,,,33.20401,,-36.231998,,,,-3.028,2.058001,,8.186,,0.0,,-10.244,-0.97,15.665,14.695,-2.447,,,17.142,0.0,17.142,0.0,,17.142,17.142,,179.572006,0.095,0.0825,,179.572006,0.095,0.0825,0.0825,
12/31/1992,447.036987,,,-396.576996,,,50.459991,,-28.441999,,,,22.018,6.905,,0.57,,0.0,,-7.475,28.923,-7.247,21.676001,-9.566,,,31.242,0.0,31.242001,0.0,,31.242001,31.242001,,179.378004,0.175,0.1225,0.1225,179.378004,0.175,0.1225,0.1225,
03/31/1993,394.299988,,,-346.059998,,,48.23999,,-27.993,,,,20.247,3.097,,1.134,,0.0,,-4.231,23.344,0.497,23.841,-15.338,,,39.179,0.0,39.179001,0.0,,39.179001,39.179001,,179.479996,0.2175,0.1325,,179.479996,0.2175,0.1325,0.1325,
06/30/1993,423.5,,,-358.460999,,,65.039001,,-29.141001,,,,35.897999,6.241,,0.574,,0.0,,-6.815,42.138999,-19.450001,22.688999,0.0,,,22.688998,0.0,22.688999,0.0,,22.688999,22.688999,,179.451996,0.1275,0.1275,,179.451996,0.1275,0.1275,0.1275,
