Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2010,640.311,,,-632.894,,7.417,0.0,-5.076,,,,,,2.341,,,,,,,,,2.341,0.0,,,,0.0,1.447,0.0,0.0,1.447,1.447,,,,,,,,,,
06/30/2010,689.406,,,-679.893,,9.513,0.0,-5.393,,,,,,4.12,,,,,,,,,4.12,0.0,,,,0.0,2.588,0.0,0.0,2.588,2.588,,,,,,,,,,
09/30/2010,642.226,,,-632.46,,9.766,0.0,-5.376,,,,,,4.39,,,,,,,,,4.39,0.0,,,,0.0,2.761,0.0,0.0,2.761,2.761,,,,,,,,,,
12/31/2010,711.849,,,-702.446,,9.403,0.0,-5.518,,,,,,3.885,,,,,,0.0,,,3.885,0.0,,,,0.0,2.42,0.0,0.0,2.42,2.42,,,,,,,,,,
03/31/2011,851.73,848.719,3.011,-842.895,842.895,8.835,0.0,-5.828,2.315,2.315,,1.189,2.324,3.007,-0.077,0.077,0.103,-0.026,,0.0,2.93,-1.069,1.861,0.0,0.0,0.0,1.861,0.0,1.861,0.0,0.0,1.861,1.92015,0.05915,,,,,,,,,
06/30/2011,1011.345,1008.379,2.966,-999.156,999.156,12.189,0.0,-6.59,2.811,2.811,,1.294,2.485,5.599,-0.082,0.082,0.103,-0.021,,0.0,5.517,-1.991,3.526,0.0,0.0,0.0,3.526,0.0,3.526,0.0,0.0,3.526,3.37325,-0.15275,,,,,,,,,
09/30/2011,991.863,987.738,4.125,-980.327,980.327,11.536,0.0,-6.534,2.573,2.573,,1.48,2.481,5.002,-0.087,0.087,0.107,-0.02,,0.0,4.915,-1.778,3.137,0.0,0.0,0.0,3.137,0.0,3.137,0.0,0.0,3.137,3.18185,0.04485,,,,,,,,,
12/31/2011,965.439,962.094,3.345,-954.975,954.975,10.464,0.0,-7.111,2.86,2.86,,2.127,2.124,3.353,-0.078,0.078,0.098,-0.02,,0.0,3.275,-1.201,2.074,0.0,0.0,0.0,2.074,0.0,2.074,0.0,0.0,2.074,2.0792,0.0052,,,,,,,,,
03/31/2012,1072.654,1069.245,3.409,-1062.771,1062.771,9.883,0.0,-7.15,2.649,2.649,,1.884,2.617,2.733,-0.087,0.087,0.107,-0.02,,0.0,2.646,-0.972,1.674,0.0,0.0,0.0,1.674,0.0,1.674,0.0,0.0,1.674,1.74615,0.07215,,,,,,,,,
06/30/2012,1086.511,1083.47,3.041,-1072.331,1072.331,14.18,0.0,-8.283,3.153,3.153,,1.892,3.238,5.897,-0.092,0.092,0.111,-0.019,,0.0,5.805,-2.102,3.703,0.0,0.0,0.0,3.703,0.0,3.703,0.0,0.0,3.703,3.65425,-0.04875,,,,,,,,,
