Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,1770,1280,1286,127,,,127,-923,,-923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,2751,1100,1323,54,,,54,274,,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,1961,1075,1185,-481,,,-481,182,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,4164,1555,1751,302,,,302,556,,556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4164.0,,,
03/31/1991,2750,2240,1205,185,,,185,-880,,-880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750.0,,,
06/30/1991,2593,1125,1188,396,,,396,-116,,-116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,2799,1115,1194,275,,,275,215,,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2799.0,,,
12/31/1991,2800,1120,1237,-203,,,-203,646,,646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1992,2480,1295,1313,-84,,,-84,-44,,-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2480.0,,,
06/30/1992,1756,930,1234,-48,,,-48,-360,,-360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,2591,1145,1053,229,,,229,164,,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2591.0,,,
12/31/1992,2784,1400,1444,23,,,23,-83,,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2784.0,,,
03/31/1993,2612,1185,1194,-35,,,-35,268,,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,2688,1235,1236,340,,,340,-123,,-123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,3177,1360,1210,-299,,,-299,906,,906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3177.0,,,
12/31/1993,3026,1500,1244,309,,,309,-27,,-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3026.0,,,
03/31/1994,2363,1160,1289,59,,,59,-145,,-145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2363.0,,,
06/30/1994,2055,885,1233,-144,,,-144,81,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2055.0,,,
09/30/1994,2683,1155,1187,589,,,589,-248,,-248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2683.0,,,
12/31/1994,2750,1900,1306,-479,,,-479,23,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750.0,,,
03/31/1995,3282,1660,1336,74,,,74,212,,212,,,-1399.0,,,,-1399.0,,,,,,,,,,1399.0,,,,,,,,,,,,,,,
06/30/1995,3048,1630,1328,310,,,310,-220,,-220,,,-1647.0,,,,-1647.0,,,,,,,,,,1647.0,,,,,,,,,,,,,,,
09/30/1995,3944,1500,1340,987,,,987,117,,117,,-1779.0,-1779.0,,,,-1779.0,,,,,,,,,,0.0,,,,,,,,,,,,2165.0,,,
12/31/1995,3573,1680,1382,630,,,630,-119,,-119,,-2303.0,-2303.0,,,,-2303.0,,,,,,,,,,0.0,,,,,,,,,,,,1270.0,,,
03/31/1996,4077,1885,1372,292,,,292,528,,528,,-1413.0,-1413.0,,,,-1413.0,,,,,,,,,,0.0,,,,,,,,,,,,2664.0,,,
06/30/1996,2983,1570,1306,472,,,472,-365,,-365,,,-1846.0,,,,-1846.0,,,,,,,,,,1846.0,,,,,,,,,,,,,,,
09/30/1996,3140,1560,1307,-198,,,-198,471,,471,,-1842.0,-1842.0,,,,-1842.0,,,,,,,,,,0.0,,,,,,,,,,,,1298.0,,,
12/31/1996,2962,2495,1344,1178,,,1178,-2055,,-2055,,-2108.0,-2108.0,,,,-2108.0,,,,,,,,,,0.0,,,,,,,,,,,,854.0,,,
03/31/1997,4566,2175,1395,1206,,,1206,-210,,-210,,-1105.0,-1437.0,55.0,,,-1492.0,,,0.0,0.0,0.0,,,,,332.0,-899.0,-1061.0,293.0,,,,-166.0,0.0,-166.0,35.0,,2562.0,,,
06/30/1997,3553,1965,1374,-1365,,,-1365,1579,,1579,,-2018.0,-1790.0,110.0,,,-1900.0,,,0.0,0.0,0.0,,,,,-228.0,-2105.0,-1131.0,-142.0,,,,-748.0,0.0,-748.0,-84.0,,-570.0,,,
