Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Compensation,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2009,5036,0,0,0,537,537,,,298,86,1009,0,-797,336,,,,,,1171,1977,2847.0,-870.0,0,1888,1744,1134,610,,144,3865,,314,314,,,,537,537.0,0.0,0.0,,,1103,,,1103,1954,283,283,0.0,0.0,,1362,,,,,,,1362,1645,3599,0,,,,0,0,1437,1437,0,1437,5036,
12/31/2010,5203,0,0,0,728,728,,,293,86,681,0,-474,292,,,,,,1313,1997,3007.0,-1010.0,0,1893,1721,1134,587,,172,3890,,274,274,,,,715,715.0,0.0,0.0,,,1237,,,1237,2226,105,105,0.0,0.0,,1454,,,,,,,1454,1559,3785,0,,,,0,0,1418,1418,0,1418,5203,
03/31/2011,5805,225,225,0,896,896,0.0,,372,88,628,0,-344,339,,,,,46.0,1832,2006,,,0,1967,1716,1134,582,144.0,107,3973,,678,252,,,426.0,29,0.0,,,,29.0,417,,,417,1124,1851,1851,,,,1468,,1315.0,,,,102.0,51,3319,4443,0,1862.0,,,0,-2,-498,1362,0,1362,5805,
06/30/2011,5937,381,381,0,898,898,0.0,,389,93,537,0,-241,326,,,,,40.0,1994,1985,,,0,1958,1711,1134,577,144.0,103,3943,,721,255,,83.0,383.0,29,0.0,,,,29.0,434,,,434,1184,1844,1844,,,,1498,,1331.0,,,,113.0,54,3342,4526,0,1864.0,,,0,38,-491,1411,0,1411,5937,
09/30/2011,5715,536,536,0,781,781,0.0,,463,82,497,0,-116,302,,,,,34.0,2082,1979,,,0,1654,1406,834,572,143.0,105,3633,,477,287,,,190.0,29,0.0,,,,29.0,701,,,701,1207,1837,1837,,,,1516,,1352.0,,,,113.0,51,3353,4560,0,1848.0,,,0,-210,-483,1155,0,1155,5715,
12/31/2011,6069,915,915,0,711,711,0.0,,380,81,402,0,-103,262,0.0,,159.0,,30.0,2268,2033,3193.0,-1160.0,0,1768,1448,881,567,64.0,97,3801,,802,380,0.0,0.0,422.0,29,0.0,0.0,0.0,,29.0,541,0.0,0.0,541,1372,1830,1830,0.0,0.0,,2008,0.0,1598.0,936.0,662.0,361.0,,49,3838,5210,0,1867.0,,1867.0,0,-146,-862,859,0,859,6069,
03/31/2012,5824,551,551,0,954,954,0.0,,384,83,287,0,14,267,,,99.0,,32.0,2156,2005,,,0,1663,1406,844,562,64.0,94,3668,,683,293,,,390.0,29,0.0,,,,29.0,540,,,540,1252,1822,1822,,,,1832,,1419.0,,,362.0,,51,3654,4906,0,1860.0,,,0,-108,-834,918,0,918,5824,
06/30/2012,5812,669,669,0,878,878,0.0,,357,87,260,0,10,263,,,92.0,,41.0,2167,1992,,,0,1653,1401,844,557,64.0,96,3645,,704,314,,,390.0,36,0.0,,,,36.0,477,,,477,1217,1808,1808,,,,1793,,1380.0,,,364.0,,49,3601,4818,0,1873.0,,,0,-58,-821,994,0,994,5812,
09/30/2012,5863,766,766,0,883,883,0.0,,332,90,236,0,6,245,,,67.0,,31.0,2226,1988,,,0,1649,1396,844,552,64.0,122,3637,,702,292,,,410.0,43,0.0,,,,43.0,494,,,494,1239,1794,1794,,,,1792,,1356.0,,,383.0,,53,3586,4825,0,1887.0,,,0,-45,-804,1038,0,1038,5863,
12/31/2012,6392,1057,1057,0,905,905,0.0,,288,88,197,0,3,234,0.0,,329.0,,21.0,2484,2034,3347.0,-1313.0,0,1874,1429,881,548,,116,3908,,828,377,0.0,0.0,451.0,51,0.0,0.0,0.0,,51.0,505,0.0,0.0,505,1384,1779,1779,0.0,0.0,,2562,0.0,2100.0,,,403.0,,59,4341,5725,0,1894.0,,1894.0,-1,0,-1226,667,0,667,6392,
