Date,Revenue,Revenue From Electric,Regulated Electric Revenue,Unregulated Electric Revenue,Other Electric Revenue,Revenue from Gas,Regulated Gas Revenue,Unregulated Gas Revenue,Other Gas Revenue,Revenue from Water,Other Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Purchased Gas Cost,Other Cost of Revenue,Gross Profit,Operating Expenses,Maintenance Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Total Interest Income,AFUDC - Equity,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,236.470993,236.470993,,,,0.0,,,,0.0,0.0,-121.112,121.112,121.112,,0.0,,,115.358994,-64.836998,16.944,29.660999,18.232,,50.521999,-11.321,,,0.0,13.63,13.74,-0.11,0.0,-2.309,39.200999,-10.828,28.372999,0.0,,,28.372999,0.0,28.372999,-0.965,,27.407999,27.407999,,113.625999,0.24,0.24,0.24,113.625999,0.24,0.24,0.24,
06/30/1990,278.056,278.056,,,,0.0,,,,0.0,0.0,-142.192001,142.192001,142.192001,,0.0,,,135.863998,-67.017998,18.893,29.59,18.535,,68.846001,-12.261,,,0.0,14.916,15.127,-0.211,0.0,-2.655,56.585,-17.313,39.271999,0.0,,,39.272001,0.0,39.271999,-0.892,,38.379999,38.379999,,113.657997,0.34,0.34,0.34,113.657997,0.34,0.34,0.34,
09/30/1990,309.14801,309.14801,,,,0.0,,,,0.0,0.0,-152.757004,152.757004,152.757004,,0.0,,,156.391006,-72.848,21.079,30.631001,21.138,,83.542999,-14.585,,,0.0,15.396,15.599,-0.203,0.0,-0.811,68.957999,-22.735001,46.223,0.0,,,46.222999,0.0,46.223,-0.892,,45.331,45.331,,113.683998,0.4,0.4,0.4,113.683998,0.4,0.4,0.4,
12/31/1990,273.388,273.388,,,,0.0,,,,0.0,0.0,-144.205994,144.205994,144.205994,,0.0,,,129.182007,-74.046997,22.308001,31.202,20.537001,,55.134998,-13.811,,,0.0,15.607,15.831,-0.224,0.0,-1.796,41.323998,-12.193,29.131001,0.0,,,29.130998,0.0,29.131001,-0.892,,28.239,28.239,,115.262001,0.245,0.245,0.245,115.262001,0.245,0.245,0.245,
03/31/1991,252.565994,252.565994,,,,0.0,,,,0.0,0.0,-131.466003,131.466003,131.466003,,0.0,,,121.099991,-72.283997,19.774,32.189999,20.32,,48.816002,-14.454,,,0.0,16.048,16.233999,-0.186,0.0,-1.594,34.362002,-7.079,27.283001,0.0,,,27.283002,0.0,27.283001,-0.892,,26.391001,26.391001,,113.713997,0.23,0.23,0.23,113.713997,0.23,0.23,0.23,
06/30/1991,290.855988,290.855988,,,,0.0,,,,0.0,0.0,-145.035004,145.035004,145.035004,,0.0,,,145.820984,-77.153,22.677,33.307999,21.167999,,68.667999,-15.786,,,0.0,16.406,16.67,-0.264,0.0,-0.62,52.881999,-14.28,38.602001,0.0,,,38.601999,0.0,38.602001,-0.892,,37.710001,37.710001,,113.811996,0.335,0.335,0.335,113.811996,0.335,0.335,0.335,
09/30/1991,324.247009,324.247009,,,,0.0,,,,0.0,0.0,-156.792999,156.792999,156.792999,,0.0,,,167.45401,-79.521004,21.844,34.174999,23.502001,,87.932999,-14.915,,,0.0,16.285,16.575001,-0.29,0.0,-1.37,73.017999,-22.85,50.167999,0.0,,,50.167998,0.0,50.167999,-0.892,,49.275999,49.275999,,113.966003,0.43,0.43,0.43,113.966003,0.43,0.43,0.43,
12/31/1991,286.403992,286.403992,,,,0.0,,,,0.0,0.0,-149.490997,149.490997,149.490997,,0.0,,,136.912994,-80.052002,25.059999,33.013,21.979,,56.861,-14.969,,,0.0,16.288,16.646,-0.358,0.0,-1.319,41.892,-9.077,32.814999,0.0,,,32.815,0.0,32.814999,-0.892,,31.922999,31.922999,,114.010002,0.28,0.28,0.28,114.010002,0.28,0.28,0.28,
03/31/1992,262.605011,262.605011,,,,0.0,,,,0.0,0.0,-130.255997,130.255997,130.255997,,0.0,,,132.349014,-80.805,23.115,35.206001,22.483999,,51.543999,-15.183,,,0.0,16.003,16.212,-0.209,0.0,-0.82,36.360998,-9.041,27.32,0.0,,,27.319998,0.0,27.32,-0.892,,26.428,26.428,,114.297997,0.23,0.23,0.23,114.297997,0.23,0.23,0.23,
06/30/1992,283.632996,283.632996,,,,0.0,,,,0.0,0.0,-137.677994,137.677994,137.677994,,0.0,,,145.955002,-82.306999,23.745001,35.335999,23.226,,63.647999,-14.305,,,0.0,15.915,16.136999,-0.222,0.0,-1.61,49.342999,-13.803,35.540001,0.0,,,35.539998,0.0,35.540001,-0.892,,34.648001,34.648001,,114.522003,0.305,0.305,0.305,114.522003,0.305,0.305,0.305,
09/30/1992,341.157013,341.157013,,,,0.0,,,,0.0,0.0,-167.130997,167.130997,167.130997,,0.0,,,174.026016,-83.502998,22.576,35.831001,25.096001,,90.523003,-13.8,,,0.0,15.272,15.583,-0.311,0.0,-1.472,76.723002,-22.413,54.310001,0.0,,,54.310002,0.0,54.310001,-0.892,,53.418001,53.418001,,114.716003,0.465,0.465,0.465,114.716003,0.465,0.465,0.465,
12/31/1992,295.755005,295.755005,,,,0.0,,,,0.0,0.0,-148.699997,148.699997,148.699997,,0.0,,,147.055008,-83.746002,24.875999,36.106998,22.763,,63.308998,-16.636,,,0.0,17.333,17.695,-0.362,0.0,-0.697,46.672998,-11.248,35.424999,0.0,,,35.424998,0.0,35.424999,-0.891,,34.533999,34.533999,,115.134002,0.3,0.3,0.3,115.134002,0.3,0.3,0.3,
03/31/1993,282.300995,282.300995,,,,0.0,,,,0.0,0.0,-133.932007,133.932007,133.932007,,0.0,,,148.368988,-87.917999,22.982,40.303001,24.632999,,60.451,-28.627,,,0.0,19.591,20.162001,-0.571,0.0,9.036,31.824,-6.115,25.709,-11.228,,,36.937,0.0,36.937,-0.892,,36.045,36.045,,115.057999,0.315,0.215,0.215,115.057999,0.315,0.215,0.215,
