Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Fed Funds Sold & Repos,Other Interbank Assets,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Other Investments,Total Commercial Loans,Commercial RE Loans,Other Commercial Loans,Total Consumer Loans,Credit Card Loans,1-4 Family Residential Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,Secs Sold Under Repo,Trading Account Liabilities,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,6581.169922,520.304993,591.986023,,,1488.174942,,,,,2269.673096,,,1335.165039,,,,67.494003,3672.332031,-79.248001,3593.083984,73.796997,,,,,,,1.74,312.082983,,1090.491943,4047.163086,1729.687012,2317.476074,0.0,5137.654785,672.203979,,,,,,,127.887001,,,,,,,,,,265.80601,6203.551775,0.0,108.400002,,,0.0,,270.958221,379.358223,0.0,379.358223,6582.909998,
06/30/1990,6430.333984,424.934998,491.390015,,,1397.949013,,,,,2266.011963,,,1368.504028,,,,65.903,3700.418945,-77.167,3623.251953,74.103996,,,,,,,1.974,416.73001,,1045.488037,4047.950928,1711.146973,2336.803955,0.0,5093.438965,610.127991,,,,,,,127.742996,,,,,,,,,,209.668,6040.977952,0.0,108.5,,,0.0,,280.855988,389.355988,0.0,389.355988,6430.33394,
09/30/1990,6480.509766,409.807007,532.161011,,,1500.544975,,,,,2209.12793,,,1410.197998,,,,67.349998,3686.676025,-76.985001,3609.690918,75.433998,,,,,,,2.924,349.947857,,985.963013,4066.050903,1740.463013,2325.587891,0.0,5052.01416,621.963989,,,,,,,127.396004,,,,,,,,,,284.00301,6085.377163,0.0,107.329002,,,0.0,,287.803986,395.132988,0.0,395.132988,6480.510151,
12/31/1990,6707.671875,509.024994,621.741028,,,1505.778961,,,,,2269.782959,,,1477.977051,,,,83.373001,3831.133057,-83.235001,3747.898056,82.995003,,,,,,,3.271,236.962833,,1116.625,4226.613892,1833.391968,2393.221924,0.0,5343.23877,635.632996,,,,,,,127.267998,,,,,,,,,,203.756001,6309.895765,0.0,103.195999,,,0.0,,294.579987,397.775986,0.0,397.775986,6707.671751,
03/31/1991,6710.73877,367.957001,751.530029,,,1519.131981,,,,,2213.180908,,,1461.468994,,,,85.296997,3759.947021,-85.419998,3674.5271,83.272003,,,,,,,3.309,311.011656,,1052.407959,4242.014038,1854.233032,2387.781006,0.0,5294.421875,629.630005,,,,,,,127.441002,,,,,,,,,,253.370996,6304.863878,0.0,103.633003,,,0.0,,302.242004,405.875008,0.0,405.875008,6710.738886,
06/30/1991,6870.038086,406.540985,710.737,,,1709.862061,,,,,2155.126953,,,1463.735962,,,,73.667,3692.530029,-85.393997,3607.135986,84.088997,,,,,,,4.801,346.872057,,1082.866943,4314.1521,1871.677002,2442.475098,0.0,5397.019043,561.174988,,,,,,,127.313004,,,,,,,,,,368.716009,6454.223043,0.0,103.818001,,,0.0,,311.997009,415.81501,0.0,415.81501,6870.038053,
09/30/1991,7409.39209,447.466003,351.179993,,,2202.724991,,,,,2328.541016,,,1546.557007,,,,70.053001,3945.150879,-91.907997,3853.24292,89.004997,,,,,,,4.491,461.282186,,1127.324951,4618.685059,2092.863037,2525.822021,0.0,5746.009766,671.377991,,,,,,,127.335999,,,,,,,,,,437.463992,6982.187747,0.0,106.108002,,,0.0,,321.096008,427.20401,0.0,427.20401,7409.391757,
12/31/1991,8760.714844,554.018982,511.110992,,,2719.480103,,,,,2338.832031,,,2061.7771,,,,43.479,4444.087891,-90.047997,4354.039894,104.973999,,,,,,,2.998,514.092874,,1414.852051,5376.458008,2333.468994,3042.989014,0.0,6791.310059,748.953003,,,,,,,127.828003,,,,,,,,,,554.162001,8222.253066,0.0,149.039993,,,0.0,,389.421997,538.46199,0.0,538.46199,8760.715056,
03/31/1992,8606.99707,465.375,347.980011,,,2894.018112,,,,,2268.396973,,,2109.613037,,,,44.341999,4422.352051,-93.209999,4329.14209,106.428001,,,,,,,3.996,460.057856,,1389.380005,5360.062988,2428.574951,2931.488037,0.0,6749.442871,803.684998,,,,,,,127.700996,,,,,,,,,,369.786009,8050.614874,0.0,150.457993,,,0.0,,405.924011,556.382004,0.0,556.382004,8606.996877,
06/30/1992,8320.632812,382.501007,158.494995,,,2864.850037,,,,,2315.425049,,,2142.938965,,,,38.328999,4496.692871,-94.485001,4402.208008,107.427002,,,,,,,4.0,401.151764,,1319.619019,5307.628906,2402.700928,2904.927979,0.0,6627.248047,672.453003,,,,,,,127.723,,,,,,,,,,316.338989,7743.763039,0.0,153.440002,,,0.0,,423.429993,576.869995,0.0,576.869995,8320.633034,
