Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Acq of Fixed & Intang,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,314.800995,314.488007,44.421001,30.598,,,30.598,-74.706001,,,-74.706001,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,259.695007,270.350006,48.370998,-204.720993,,,-204.720993,145.695007,,,145.695007,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,272.76001,317.550995,40.338001,-25.466999,,,-25.466999,-59.661999,,,-59.661999,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,467.052002,328.208008,46.631001,-9.836,,,-9.836,102.049004,,,102.049004,,,,,,,,,,,,,,,,,,,,,,467.052002,,,
03/31/1991,452.860992,352.490997,40.846001,15.897,,,15.897,43.626999,,,43.626999,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,335.165009,265.243988,40.345001,-13.298,,,-13.298,42.874001,,,42.874001,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,438.217987,384.933014,41.498001,41.233002,,,41.233002,-29.445999,,,-29.445999,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,671.815002,372.605011,44.477001,83.997002,,,83.997002,170.735992,,,170.735992,,,,,,,,,,,,,,,,,,,,,,671.815002,,,
03/31/1992,460.973999,453.368011,47.914001,-29.429001,,,-29.429001,-10.879,,,-10.879,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,194.414993,263.493011,48.738998,-0.424,,,-0.424,-117.392998,,,-117.392998,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,367.013,382.428009,54.171001,64.925003,,,64.925003,-134.511002,,,-134.511002,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,490.743011,361.553009,59.389,-64.586998,,,-64.586998,134.388,,,134.388,,,,,,,,,,,,,,,,,,,,,,490.743011,,,
03/31/1993,387.247986,401.509003,59.441002,58.187,,,58.187,-131.889008,,,-131.889008,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,262.44101,287.48999,60.573002,-20.57,,,-20.57,-65.052002,,,-65.052002,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,373.362,397.553009,61.625999,-45.042,,,-45.042,-40.775002,,,-40.775002,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,658.336975,382.747986,59.428001,44.834,,,44.834,171.326996,,,171.326996,,,,,,,,,,,,,,,,,,,,,,658.336975,,,
03/31/1994,322.035004,415.799988,64.842003,-63.964001,,,-63.964001,-94.642998,,,-94.642998,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,86.935997,299.980988,63.175999,16.184999,,,16.184999,-292.406006,,,-292.406006,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,522.098022,412.984985,65.663002,-11.477,,,-11.477,54.926998,,,54.926998,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,970.440002,399.488007,112.487999,-15.486,,,-15.486,473.950012,,,473.950012,,,,,,,,,,,,,,,,,,,,,,970.440002,,,
03/31/1995,-56.98,1022.619995,169.587997,-768.554016,,,-768.554016,-480.634003,,,-480.634003,,,-163.048996,,-163.048996,,,,,,,,163.048996,,,,,,,,,,,,
06/30/1995,378.432007,299.608002,152.145996,41.300999,,,41.300999,-114.623001,,,-114.623001,,,-143.343994,,-143.343994,,,,,,,,143.343994,,,,,,,,,,,,
09/30/1995,579.718994,276.526001,109.370003,55.088001,,,55.088001,138.735001,,,138.735001,,,-172.080994,,-172.080994,,,,,,,,172.080994,,,,,,,,,,,,
12/31/1995,611.893005,81.664001,248.117004,503.306,,,503.306,-221.194,,,-221.194,,-159.026993,-159.026993,,-159.026993,,,,,,,,0.0,,,,,,,,,452.866012,,,
03/31/1996,230.046005,489.363007,166.139008,-54.443001,,,-54.443001,-371.013,,,-371.013,,,-171.710007,,-171.710007,,,,,,,,171.710007,,,,,,,,,,,,
06/30/1996,712.432007,391.277008,170.264008,78.641998,,,78.641998,72.249001,,,72.249001,,,-197.054993,,-197.054993,,,,,,,,197.054993,,,,,,,,,,,,
09/30/1996,779.986023,491.125,173.912994,-76.552002,,,-76.552002,191.5,,,191.5,,,-154.257004,,-154.257004,,,,,,,,154.257004,,,,,,,,,,,,
12/31/1996,675.791016,511.638,147.75,237.460999,,,237.460999,-221.057999,,,-221.057999,,-129.203995,-129.203995,,-129.203995,,,,,,,,0.0,,,,,,,,,546.587021,,,
03/31/1997,112.903,576.677002,177.776993,-198.985001,,,-198.985001,-442.56601,,,-442.56601,,-325.380005,-156.681,0.0,-156.681,0.0,0.0,0.0,,,,,-168.699005,-85.196005,-263.687012,75.938004,105.299003,107.967003,-2.668,-2.746,,-297.673004,,,
06/30/1997,271.790985,459.09201,203.753998,-220.570999,,,-220.570999,-170.483994,,,-170.483994,,-59.370998,-186.632996,0.0,-186.632996,0.0,0.0,0.0,,,,,127.261997,-274.848001,-265.210999,-77.582001,147.255995,151.647995,-4.392,-79.310997,,-62.428001,,,
09/30/1997,795.737976,435.532013,172.770004,-92.283997,,,-92.283997,279.720001,,,279.720001,,-226.343002,-235.753006,0.0,-235.753006,0.0,0.0,0.0,,,,,9.410004,-442.332986,-266.65799,-218.054993,61.694997,64.824997,-3.13,-19.315001,,127.061996,,,
12/31/1997,515.021973,571.822021,147.723999,67.005997,,,67.005997,-271.529999,,,-271.529999,,348.13501,-251.283997,0.0,-251.283997,0.0,0.0,0.0,,,,,599.419006,-825.105018,-277.644012,-681.289001,43.975998,45.120998,-1.145,89.851997,,-37.886002,,,
03/31/1998,273.837006,982.210022,176.927994,-674.281982,,,-674.281982,-211.018997,,,-211.018997,,1627.156982,-182.923004,0.0,-182.923004,0.0,0.0,0.0,,,,,1810.079987,-1494.303038,-281.22699,-1315.779053,203.902002,225.302002,-21.4,-101.198997,,406.69101,,,
06/30/1998,240.354004,523.510986,167.852005,-22.299,,,-22.299,-428.709991,,,-428.709991,,-181.910995,-190.522003,0.0,-190.522003,0.0,0.0,0.0,,,,,8.611008,-82.668019,-282.515015,165.330994,34.947002,79.414001,-44.466999,-0.431,,-24.225,,,
09/30/1998,735.877014,618.994995,180.160004,-228.113998,,,-228.113998,164.835999,,,164.835999,,-302.338013,-208.740997,0.0,-208.740997,0.0,0.0,0.0,,,,,-93.597015,-206.602014,-283.062012,9.432,69.753998,69.753998,0.0,-2.726,,226.936996,,,
