Date,Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1999,13.716,-9.001,4.714999,,-7.209,,,-2.493,-5.499,,0.815,-0.506943,0.0,5.190943,-7.992,0.786,-7.207,1.15,-8.356,0.0,-8.357,-0.712,,-9.069,-9.069,,,,,,,,,
06/30/1999,19.405001,-12.787,6.618001,,-8.394,,,-1.776,-6.749,,1.651,-0.339722,0.0,5.437722,-8.525,-0.209,-8.734,0.0,-8.734,0.0,-8.734,-1.446,,-10.18,-10.18,,,,,,,,,
09/30/1999,24.611,-16.927999,7.683001,,-9.095,,,-1.411,-6.402,,1.013,-0.160242,0.0,5.549242,-7.813,-0.172,-7.986,0.0,-7.985,0.0,-7.986,0.0,,-7.986,-7.986,28.451,-0.28,-0.28,-0.28,28.451,-0.28,-0.28,-0.28,
12/31/1999,29.261,-19.697001,9.563999,,-11.168,,,-1.605,-7.728,,1.765,,0.0,5.963,-9.333,-0.182,-9.514,0.0,-9.515,0.0,-9.514,0.0,,-9.514,-9.514,28.287001,-0.33,-0.33,-0.33,28.287001,-0.33,-0.33,-0.33,
03/31/2000,30.429001,-19.577999,10.851002,,-12.805,,,-1.954,-7.545,,2.907,-1.527784,0.0,6.165784,-9.499,-0.224,-9.723,0.0,-9.723,0.0,-9.723,0.0,0.0,-9.723,-9.723,35.382,-0.27,-0.27,-0.27,35.382,-0.27,-0.27,-0.27,
06/30/2000,38.501999,-25.108,13.393999,,-14.27,,,-0.876,-6.679,,1.619,-1.293312,0.0,6.353312,-7.555,-0.353,-7.908,0.0,-7.908,0.0,-7.908,0.0,0.0,-7.908,-7.908,39.234001,-0.2,-0.2,-0.2,39.234001,-0.2,-0.2,-0.2,
09/30/2000,45.395,-28.834999,16.560001,,-16.554001,,,0.006,-5.576,,1.06,-2.055598,0.0,6.571598,-5.57,-0.335,-5.905,0.0,-5.905,0.0,-5.905,0.0,0.0,-5.905,-5.905,43.369999,-0.14,-0.14,-0.14,43.369999,-0.14,-0.14,-0.14,
12/31/2000,53.580002,-34.874001,18.706001,,-19.000999,,,-0.294,-4.763,,,,0.0,4.763,-5.057,-0.321,-5.379,0.0,-5.378,0.0,-5.379,0.0,0.0,-5.379,-5.379,46.106998,-0.12,-0.12,-0.12,46.106998,-0.12,-0.12,-0.12,
03/31/2001,52.956001,-32.146,20.810001,,-25.648001,,,-4.838,-12.735,,8.683,-3.0,0.0,7.052,-17.572999,-0.354,-17.927,5.069,-22.995999,0.0,-22.996,0.0,0.0,-22.996,-22.996,46.800999,-0.49,-0.38,-0.38,46.800999,-0.49,-0.38,-0.38,
06/30/2001,57.755001,-34.324001,23.431,,-29.127001,,,-5.696,-17.147,,11.954,-2.207,0.0,7.4,-22.843,-0.478,-23.320999,0.0,-23.321,0.0,-23.320999,0.0,0.0,-23.320999,-23.320999,47.105,-0.5,-0.5,-0.5,47.105,-0.5,-0.5,-0.5,
09/30/2001,63.033001,-37.109001,25.924,,-30.153999,,,-4.23,-44.480001,,14.099,-1.578,0.0,31.959001,-48.710001,-0.408,-49.118,0.0,-49.118001,0.0,-49.118,0.0,0.0,-49.118,-49.118,47.599998,-1.03,-1.03,-0.52,47.599998,-1.03,-1.03,-0.52,
12/31/2001,69.150002,-41.075001,28.075001,,-36.877998,,,-8.803,-20.493,,12.973,-0.274,0.0,7.794,-29.296,-0.414,-29.709999,0.0,-29.71,0.0,-29.709999,0.0,0.0,-29.709999,-29.709999,48.222,-0.62,-0.62,-0.62,48.222,-0.62,-0.62,-0.62,
03/31/2002,63.944,-35.919998,28.024002,,-35.426998,,,-7.403,-75.246998,,13.216,-0.009,0.0,62.039998,-82.649998,-0.579,-83.228996,80.592003,-163.821001,0.0,-163.820999,0.0,0.0,-163.820999,-163.820999,49.009998,-3.34,-1.7,-0.98,49.009998,-3.34,-1.7,-0.98,
06/30/2002,63.605,-38.057999,25.547001,,-28.733999,,,-3.187,-42.837001,,13.432,-0.083,0.0,29.488001,-46.024001,-0.479,-46.502998,0.833,-47.336001,0.0,-47.335999,0.0,0.0,-47.335999,-47.335999,50.391998,-0.94,-0.92,-0.5,50.391998,-0.94,-0.92,-0.5,
09/30/2002,60.792,-36.91,23.882,,-30.847,,,-6.965,-23.014,20.666,21.004,-0.338,0.0,2.348,-29.979,-0.541,-30.52,1.153,-31.673,0.0,-31.673,0.0,0.0,-31.673,-31.673,50.745,-0.62,-0.6,-0.58,50.745,-0.62,-0.6,-0.58,
12/31/2002,51.780994,-32.235004,19.54599,,-25.072005,,,-5.525999,-20.117005,,43.535001,-0.171,0.0,-23.246996,-25.643004,1.29,-24.353002,-18.187004,-6.166,0.0,-6.166004,0.0,0.0,-6.166004,-6.166004,51.817009,-0.03,-0.44,-0.64,51.817009,-0.03,-0.44,-0.64,
03/31/2003,51.695999,-29.419001,22.276998,,-29.915001,,,-7.638,-24.617001,,22.207001,-0.129,0.0,2.539,-32.255001,-0.5,-32.755001,1.0,-33.755001,0.0,-33.755001,0.0,0.0,-33.755001,-33.755001,51.130001,-0.66,-0.64,-0.61,51.130001,-0.66,-0.64,-0.61,
06/30/2003,45.977,-23.578,22.399,,-27.489,,,-5.09,-39.875,23.113,23.236,-0.123,,16.762,-44.965,-0.435,-45.4,22.182,-67.582,,-67.582,0.0,0.0,-67.582,-67.582,51.133,-1.32,-0.89,-0.69,51.133,-1.32,-0.89,-0.69,
09/30/2003,47.594,-25.132,22.462,0.0,-29.784,7.777,22.007,-7.322,-24.6,22.824,22.944,-0.12,0.0,1.776,-31.922,-0.433,-32.355,-12.689,-19.666,0.0,-19.666,0.0,0.0,-19.666,-19.666,52.394,-0.38,-0.62,-0.609745,52.394,-0.38,-0.62,-0.609745,
12/31/2003,57.588,-33.081,24.507,,-28.807,,,-4.3,-48.397,,20.323,-0.319,0.0,28.393,-52.697,-0.452,-53.149,-1.981,-51.168,0.0,-51.168,0.0,0.0,-51.168,-51.168,51.124,-0.95,-0.98,-0.49,54.124,-0.95,-0.98,-0.52,
03/31/2004,50.859001,-28.014,22.845001,,-29.996,,,-7.151,-44.115999,,21.084999,-0.142,0.0,23.173,-51.266999,-0.233,-51.5,-0.075,-51.424999,0.0,-51.424999,0.0,0.0,-51.424999,-51.424999,55.683998,-0.92,-0.92,-0.66,55.683998,-0.92,-0.92,-0.66,
