Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/01/1990,636.72998,37.165001,37.165001,0.0,228.046997,,,113.652,,,,,24.834999,,,,403.699005,70.303001,211.445999,-141.143005,39.780998,,,122.946999,,,,,122.946999,233.030998,,54.806,54.806,,,,84.518997,,,,,,104.709,,,104.709,244.033997,8.381,,,,,29.709,,,29.709,38.089999,282.123996,0.0,35.532001,,,-36.483002,,355.557007,354.606007,0.0,354.606007,636.730002,
07/01/1990,643.083984,51.771,51.771,0.0,217.658997,,,113.475998,,,,,24.077999,,,,406.984009,69.946999,216.912994,-146.966003,40.346001,,,125.806999,,,,,125.806999,236.099998,,63.215,63.215,,,,89.488998,,,,,,94.865002,,,94.865002,247.569,7.811,,,,,32.514,,,32.514,40.325,287.894,0.0,34.880001,,,-51.724998,,372.034996,355.189999,0.0,355.189999,643.083999,
09/30/1990,658.697998,41.903,41.903,0.0,236.990997,,,116.964996,,,,,21.326,,,,417.184998,70.135002,224.419998,-154.285004,40.351002,,,131.026993,,,,,131.026993,241.512997,,71.296997,71.296997,,,,100.674004,,,,,,95.449989,,,95.449989,267.42099,7.55,,,,,37.640999,,,37.640999,45.190999,312.611989,0.0,34.993,,,-80.675003,,391.76799,346.085987,0.0,346.085987,658.697976,
12/30/1990,675.223999,34.158001,34.158001,0.0,235.199005,,,113.93,,,,,24.334999,,,,407.622009,70.526001,230.289993,-159.764008,41.173,,,155.903,,,,,155.903,267.602001,,61.859001,61.859001,,,,88.565002,,,,,,107.523995,,,107.523995,257.947998,6.986,,,,,40.659,,,40.659,47.645,305.592998,0.0,35.061001,,,-69.435997,,404.006004,369.631008,0.0,369.631008,675.224006,
03/31/1991,677.424988,32.230999,32.230999,0.0,255.544998,,,115.543999,,,,,26.028,,,,429.347992,84.989998,249.335007,-164.345001,38.145,,,124.942001,,,,,124.942001,248.077,,72.279999,72.279999,,,,90.683998,,,,,,107.19799,,,107.19799,270.161987,6.782,,,,,32.062,,,32.062,38.844,309.005988,0.0,34.518002,,,-74.039001,,407.940002,368.419003,0.0,368.419003,677.42499,
06/30/1991,653.96698,39.654999,39.654999,0.0,239.578995,,,112.209999,,,,,27.412001,,,,418.855988,84.167,253.214005,-169.046997,32.320999,,,118.623001,,,,,118.623001,235.111,,67.733002,67.733002,,,,85.367996,,,,,,101.671005,,,101.671005,254.772003,1.97,,,,,24.839001,,,24.839001,26.809001,281.581004,0.0,34.34,,,-78.591003,,416.636993,372.38599,0.0,372.38599,653.966994,
09/29/1991,672.51001,34.325001,34.325001,0.0,253.438995,,,115.883003,,,,,29.841,,,,433.488007,85.794998,260.39801,-174.602997,32.416,,,120.810997,,,,,120.810997,239.021996,,77.196999,77.196999,,,,56.986,,,,,,117.063004,,,117.063004,251.246002,1.915,,,,,30.277,,,30.277,32.192,283.438003,0.0,34.485001,,,-82.956001,,437.543007,389.072006,0.0,389.072006,672.510009,
12/29/1991,697.896973,63.025002,63.025002,0.0,249.716995,,,115.704002,,,,,27.458,,,,455.903992,85.828003,267.463013,-181.634995,29.787001,,,126.377998,,,,,126.377998,241.993002,,63.174999,63.174999,,,,57.337002,,,,,,120.896996,,,120.896996,241.408997,2.3,,,,,33.477001,,,33.477001,35.777001,277.185998,0.0,34.130001,,,-63.608002,,450.188996,420.710995,0.0,420.710995,697.896993,
03/29/1992,722.062988,92.975998,92.975998,0.0,244.960999,,,119.25,,,,,29.892,,,,487.07901,81.664001,269.141998,-187.477997,29.618999,,,123.700996,,,,,123.700996,234.983997,,65.744003,65.744003,,,,73.209999,,,,,,122.568001,,,122.568001,261.522003,0.0,,,,,32.990002,,,32.990002,32.990002,294.512005,0.0,60.102001,,,-64.561996,,432.011002,427.551006,0.0,427.551006,722.063011,
06/29/1992,753.585999,53.842999,53.842999,0.0,256.105988,,,129.311005,,,,,31.573,,,,470.833008,99.845001,296.807007,-196.962006,27.954,,,154.953995,,,,,154.953995,282.752996,,84.999001,84.999001,,,,65.728996,,,,,,121.472015,,,121.472015,272.200012,0.0,,,,,41.497002,,,41.497002,41.497002,313.697014,0.0,60.216,,,-72.722,,452.395004,439.889004,0.0,439.889004,753.586018,
