Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1996,-10.97,2.116,3.939,3.798,,3.798,-20.823,,,-20.823,,,-2.415,,,,-2.415,,,,,,,,,,2.415,,,,,,,,,,,,,,,
06/30/1996,1.197,8.069,4.418,-2.966,,-2.966,-8.324,,,-8.324,,,-3.997,,,,-3.997,,,,,,,,,,3.997,,,,,,,,,,,,,,,
09/30/1996,0.32,13.288,4.223,-2.337,,-2.337,-14.854,,,-14.854,,,-4.041,,,,-4.041,,,,,,,,,,4.041,,,,,,,,,,,,,,,
12/31/1996,11.195,24.171,6.394,-9.012,,-9.012,-10.358,,,-10.358,,,-11.226,,,,-11.226,,,,,,,,,,11.226,,,,,,,,,,,,,,,
03/31/1997,4.773,15.777,6.961,0.167,,0.167,-18.132,,,-18.132,,-10.58,-10.134,0.0,,,-10.134,,,0.0,0.0,0.0,,,,,-0.446,-2.388,0.0,-1.352,,,,0.0,0.0,0.0,-1.036,,-8.195,,,
06/30/1997,30.545,20.309999,7.404,2.413,,2.413,0.418,,,0.418,,-22.868,-19.607,0.0,,,-19.607,,,0.0,0.0,0.0,,,,,-3.261,-2.186,0.0,-2.293,,,,0.0,0.0,0.0,0.107,,5.491,,,
09/30/1997,9.759,21.336,6.947,2.571,,2.571,-21.094999,,,-21.094999,,-19.468,-11.118,0.0,,,-11.118,,,0.0,0.0,0.0,,,,,-8.35,-5.67,0.0,0.992,,,,0.0,0.0,0.0,-6.662,,-15.379,,,
12/31/1997,27.493,25.587,7.072,4.713,,4.713,-9.879,,,-9.879,,-26.875,-25.436001,0.0,,,-25.436001,,,0.0,0.0,0.0,,,,,-1.438999,0.421,0.0,-3.11,,,,0.0,0.0,0.0,3.531,,1.039,,,
03/31/1998,34.794998,18.285999,7.473,1.629,,1.629,7.407,,,7.407,,-25.167,-25.167,0.0,,,-25.167,,,0.0,0.0,0.0,,,,,0.0,38.935,0.0,38.201,,,,0.0,0.0,0.0,0.734,,48.563,,,
06/30/1998,15.846,13.82,7.959,3.671,,3.671,-9.604,,,-9.604,,-42.138,-22.160645,0.0,,,-22.160645,,,0.0,0.0,0.0,,,,,-19.977356,-11.947,-1.259,-10.688,,,,0.0,0.0,0.0,0.0,,-38.238998,,,
