Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,2063.271973,266.522003,266.522003,0.0,251.287003,,,87.579002,,,,,0.0,,,,,,605.388,1423.046021,4011.523926,-2588.478027,6.403,28.434999,,,,28.434999,1457.88402,,345.179993,345.179993,,,,33.798,,,,,,65.920017,,,,65.920017,444.89801,326.419006,,,,,343.010986,,,343.010986,669.429993,1114.328003,,188.550995,,,-99.042,,694.471992,783.980988,164.962997,948.943985,2063.271988,
06/30/1990,2027.029053,253.682007,253.682007,0.0,219.686005,,,87.319,,,,,0.0,,,,,,560.687012,1422.14502,4014.251953,-2592.106934,6.98,37.216999,,,,37.216999,1466.342019,,346.601013,346.601013,,,,28.021,,,,,,60.729,,,,60.729,435.351013,300.529999,,,,,293.451996,,,293.451996,593.981995,1029.333008,,188.578995,,,-99.000999,,732.428001,822.005997,175.690002,997.695999,2027.029007,
09/30/1990,2183.413086,305.533997,305.533997,0.0,308.648987,,,148.720993,,,,,0.0,,,,,,762.903992,1369.597046,3935.814941,-2566.218018,12.712,38.200001,,,,38.200001,1420.509047,,497.460999,497.460999,,,,60.694,,,,,,60.97403,,,,60.97403,619.129028,239.199997,,,,,284.579987,,,284.579987,523.779984,1142.909012,,188.647003,,,-98.903,,770.501022,860.245026,180.259003,1040.504028,2183.41304,
12/31/1990,2126.718994,270.097992,270.097992,0.0,321.782013,,,127.875999,,,,,13.843,,,,,,733.598999,1040.824951,3144.407959,-2103.583008,,352.295013,,,,352.295013,1393.119964,,372.790985,372.790985,,,,36.521,,,,,,217.769009,,,,217.769009,627.080994,207.867004,,,,,238.091995,,,238.091995,445.958999,1073.039993,,188.718994,,,-98.902,,783.34597,873.162964,180.516006,1053.67897,2126.718963,
03/31/1991,2007.118042,261.526001,261.526001,0.0,239.802002,,,116.170998,,,,,0.0,,,,,,617.499023,1343.525024,3955.062012,-2611.537109,,46.094002,,,,46.094002,1389.619026,,398.270996,398.270996,,,,62.138,,,,,,48.071991,,,,48.071991,508.480988,197.699005,,,,,246.171997,,,246.171997,443.871002,952.35199,,188.725006,,,-98.889999,,787.433029,877.268036,177.498001,1054.766037,2007.118027,
06/30/1991,2130.539062,257.171997,257.171997,0.0,288.837006,,,102.967003,,,,,0.0,,,,,,648.976013,1423.702026,4085.77002,-2662.068115,,57.861,,,,57.861,1481.563026,,440.272003,440.272003,,,,87.813004,,,,,,38.584976,,,,38.584976,566.669983,189.830994,,,,,235.345001,,,235.345001,425.175995,991.845978,,573.367981,,,-98.876999,,664.202011,1138.692993,,1138.692993,2130.538971,
09/30/1991,2168.318115,279.881989,279.881989,0.0,304.013,,,86.654999,,,,,0.0,,,,,,670.549988,1434.215942,4174.452148,-2740.236084,,63.551998,,,,63.551998,1497.767941,,368.97699,368.97699,,,,120.369003,,,,,,68.114029,,,,68.114029,557.460022,189.738007,,,,,237.766006,,,237.766006,427.504013,984.964035,,573.666016,,,-98.004997,,707.692986,1183.354004,,1183.354004,2168.318039,
12/31/1991,2174.625977,242.065002,242.065002,0.0,290.261993,,,119.75,,,,,18.695999,,,,,,670.77301,1128.640991,3232.224121,-2103.583008,,375.212006,,,,375.212006,1503.852997,,293.402008,293.402008,,,,55.237999,,,,,,165.928963,,,,165.928963,514.56897,193.151993,,,,,266.085999,,,266.085999,459.237992,973.806962,,555.333984,,,-97.974998,,743.459983,1200.818969,,1200.818969,2174.625931,
03/31/1992,1951.238037,419.817993,419.817993,0.0,225.748001,,,142.481995,,,,,16.181999,,,,,,804.22998,1104.891968,3201.358887,-2096.467041,,42.116001,,,,42.116001,1147.007969,,382.511993,382.511993,,,,48.465,,,,,,37.860012,,,,37.860012,468.837006,28.329,,,,,261.213013,,,261.213013,289.542013,758.379019,,555.353027,,,-97.929001,,735.434982,1192.859009,,1192.859009,1951.238028,
06/30/1992,1990.67395,457.018005,457.018005,0.0,215.248993,,,138.298004,,,,,18.613001,,,,,,829.177979,1113.087036,3290.974121,-2177.886963,17.700001,30.709,,,,30.709,1161.496037,,376.417999,376.417999,,,,29.423,,,,,,43.026005,,,,43.026005,448.867004,28.389999,,,,,301.468994,,,301.468994,329.858994,778.725998,0.0,555.655029,,,-99.323997,,755.617027,1211.948059,0.0,1211.948059,1990.674057,
