Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Change in Loans,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Change in Deposits,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1997,,43.161999,37.341,9.406,-0.61,89.299004,,,-8.032,,,,,,,,,,,,,,,,
06/30/1997,,45.723999,42.599998,-62.324001,-8.582,17.417999,,,-4.451,,,,,,,,,,,,,,,,
09/30/1997,,48.563999,46.851002,63.720001,-6.12,153.014999,,,-6.766,,,,,,,,,,,,,,,,
12/31/1997,,54.011002,37.459999,-23.191999,23.462999,91.741997,,,-7.626,,,,,,,,,,,,,,,,
03/31/1998,,56.108002,61.786999,66.832001,-5.221,179.505997,,,-8.195,,,,,,,,,,,,,,,,
06/30/1998,,62.862999,121.022003,28.042,-1.166,210.761002,,,-9.881,,,,,,,,,,,,,,,,
09/30/1998,,82.560997,173.934998,85.378998,-12.264,329.610992,,,-9.315,,,,,,,,,,,,,,,,
12/31/1998,,94.914017,208.619995,-188.272003,212.307007,327.569,,,-13.277,,,,,,,,,,,,,,,,
03/31/1999,,113.545998,189.490997,9.108,-9.433,302.712006,,,-16.033001,,,,,,,,,,,,,,,,
06/30/1999,,126.486,262.35199,38.499001,-10.829,416.507996,,,-24.948999,,,,,,,,,,,,,,,,
09/30/1999,,150.872,297.039,-75.526,152.726,525.111,,,-27.384,,,,,,,,,,,,,,,,
12/31/1999,,159.368,384.908,-109.524,98.878,533.63,,,-32.629,,,,,,,,,,,,,,,,
03/31/2000,,174.317993,372.701996,105.654999,-11.833,640.84198,,,-33.298,,,,,,,,,,,,,,,,
06/30/2000,,62.771999,386.869995,-437.158997,434.230011,446.713013,,,-21.507999,,,,,,,,,,,,,,,,
09/30/2000,,200.666,344.054993,550.288025,-414.787994,680.221008,,,-18.423,,,,,,,,,,,,,,,,
12/31/2000,,214.006,463.966,-422.449,430.207,685.73,-23.871,,-23.871,,,,,,,,,,,,,,661.859,,
03/31/2001,,230.464005,449.372986,-142.501007,12.978,550.314026,,,-31.223,,,,,,,,,,,,,,,,
06/30/2001,,232.36,386.544,44.03,1.97,664.904,-2833.874,,-14.981,-13463.713,14153.106,-5589.181,2080.895,2416.821,-17.153,62.945,409.154,-237.641,35.753,-110.558,2274.321,,247.851,,
09/30/2001,,57.243,589.895996,-108.174004,-14.521,524.44397,,,-17.412001,,,,,,,,,,,,,,,,
12/31/2001,,-481.17,658.725,-836.228,-88.298,-746.971,-13.065,,-13.065,,,,,,,,,,,,,,-760.036,,
03/31/2002,,10.019,896.120972,-393.194,51.714001,564.659973,,,-0.667,,,,,,,,,,,,,,,,
06/30/2002,,153.901993,89.295998,382.622986,-446.88501,178.936005,,,-0.03,,,,,,,,,,,,,,,,
09/30/2002,,42.125,205.668,-103.664,7.398,151.527,769.399,,0.0,-4506.909,4109.078,2580.684,-1413.454,-1706.529,,-117.182,12.321,-6.997,1.088,-3.402,-2220.545,628.188,-785.603,,
12/31/2002,,12.12,192.646,818.424,63.649,1086.839,,0.0,,,,,,,,,,,,,,,,,
03/31/2003,,4.7,271.707001,379.843994,142.634003,798.88501,,,-4.052,,,,,,,,,,,,,,,,
06/30/2003,,39.048,144.046997,51.014999,-233.660004,0.45,,,-3.329,,,,,,,,,,,,,,,,
09/30/2003,,85.319,117.091003,-314.373993,21.940001,-90.024002,,,-3.014,,,,,,,,,,,,,,,,
12/31/2003,,67.117996,142.423004,390.178986,-37.900002,561.820007,,,-11.075,,,,,,,,,,,,,,,,
03/31/2004,,101.734001,101.942001,69.667999,83.943001,357.286987,833.133972,0.0,-1.044,-2508.685059,3280.205078,86.897003,-24.239,-963.575989,0.0,-108.828003,278.759003,0.0,0.807,-0.661,-1133.652954,0.0,226.845001,,
06/30/2004,,69.704002,192.050003,37.398998,-26.641001,272.511993,-504.085999,0.0,-0.707,-3544.148926,3787.2229,-723.478027,-22.975,50.091999,0.0,0.0,6.085,0.0,5.34,-0.002,38.668999,0.0,-181.481995,,
09/30/2004,,109.082001,170.703995,127.718002,131.087997,538.59198,-894.661987,0.0,-1.406,-3045.035889,2895.299072,-739.161987,-4.357,59.213001,0.0,0.0,6.13,0.0,2.028,-1.576,52.631001,0.0,-296.856995,,
12/31/2004,,144.587006,96.481003,96.346001,-201.347,136.067001,-566.380981,0.0,-0.579,-3688.149902,619.713013,2386.10498,116.529999,409.645996,0.0,0.0,0.0,-2.318,5.654,-0.001,406.311005,0.0,-20.667999,,
03/31/2005,,133.020996,68.607002,-69.136002,-5.007,127.485001,203.251999,0.0,-1.15,-2678.875977,2609.156982,253.492004,20.629,-386.121002,0.0,0.0,4.495,0.0,3.4,-5.607,-388.408997,0.0,-55.383999,,
06/30/2005,,225.311005,103.892998,172.337006,-51.667,449.873993,-184.789001,0.0,-1.7,-2155.231934,2889.895996,-753.70697,-164.046005,-273.691986,0.0,0.0,4.626,0.0,6.559,-3.02,-281.856995,0.0,-8.607,,
