Date,Revenue,Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,Real Estate Tax,Maintenance Expense,Other Property Expense,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Uncon Real Estate,D&A of Non-Real Estate Assets,D&A from Disc Ops,Income from Uncon JVs,Disposal of Con Assets,Disposal of Uncon Assets,Disposal of Assets from Disc Ops,Abnormal Losses/(Gains),Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Recurring Capital Expenditure,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
03/31/1994,7.694,7.452,,0.0,0.0,0.242,-4.71,2.609,,,,0.532,1.255,0.0,,0.314,2.984,-1.359,1.359,,0.0,1.625,0.0,,,,,-0.485,,,2.11,,1.697,,,1.697,1.697,,,,,,,,,,,,,,,,,,,,,2.165,,2.165,,2.165,,,0.0,,,0.0,
06/30/1994,10.544,10.284,,0.0,0.0,0.26,-6.714,3.475,,,,0.955,1.885,0.0,,0.399,3.83,-1.875,1.875,,0.0,1.955,0.0,,,,,0.0,,,1.955,,1.326,,,1.326,1.326,,5.184,0.26,0.38,0.38,5.184,0.26,0.38,0.38,,,,,,,,,,,,3.84,,3.84,,3.84,0.740741,0.740741,0.26,35.1,35.1,35.104169,
09/30/1994,14.484,14.062,,0.0,0.0,0.422,-9.104,4.715,,,,1.156,2.519,0.0,,0.714,5.38,-3.16,3.16,,0.0,2.22,0.0,,,,,0.0,,,2.22,,1.607,,,1.607,1.607,,6.493,0.25,0.34,0.34,6.493,0.25,0.34,0.34,,,,,,,,,,,,4.838,,4.838,,4.838,0.74511,0.74511,0.45,60.393759,60.393759,48.222407,
12/31/1994,18.586,18.382999,,0.0,0.0,0.203,-11.473,6.536,,,,1.071,3.144,0.0,,0.722,7.113,-4.135,4.135,,0.0,2.978,0.0,,,,,0.0,,,2.978,,2.314,,,2.314,2.314,,6.534,0.35,0.46,0.46,6.534,0.35,0.46,0.46,,,,,,,,,,,,6.32,,6.32,,6.32,0.967248,0.967248,0.5,51.693036,51.693036,67.863923,
03/31/1995,20.284,19.968,,0.0,0.0,0.316,-12.725,7.183,,,,1.126,3.553,0.0,,0.863,7.559,-5.236,5.236,,0.0,2.323,0.0,,,,,0.0,,,2.323,,1.798,,,1.798,1.798,,8.561,0.21,0.21,0.21,8.561,0.21,0.21,0.21,,,,,,,,,,,,5.85,,5.85,,5.85,0.683331,0.683331,0.5,73.17094,73.17094,73.316241,
06/30/1995,21.122,20.780001,,0.0,0.0,0.342,-12.806,7.439,,,,1.007,3.578,0.0,,0.782,8.316,-5.467,5.467,,0.0,2.849,0.0,,,,,0.0,,,2.849,,2.199,,,2.199,2.199,,8.796,0.25,0.25,0.25,8.796,0.25,0.25,0.25,,,,,,,,,,,,6.401,,6.401,,6.401,0.727717,0.727717,0.5,68.70801,68.70801,67.098892,
09/30/1995,26.448999,26.094,,0.0,0.0,0.355,-16.828999,9.808,,,,1.268,4.582,0.0,,1.171,9.62,-6.282,6.282,,0.0,3.338,0.0,,,,,0.0,,,3.338,,2.722,,,2.722,2.722,,10.888,0.25,0.25,0.25,10.888,0.25,0.25,0.25,,,,,,,,,,,,8.059,,8.059,,8.059,0.740173,0.740173,0.5,67.551802,67.551802,64.896389,
12/31/1995,26.964001,26.667,,0.0,0.0,0.297,-16.875,9.327,,,,1.45,4.861,0.0,,1.237,10.089,-6.292,6.292,,0.0,3.797,0.0,,,,,0.0,,,3.797,,3.091,,,3.091,3.091,,10.659,0.29,0.29,0.29,10.659,0.29,0.29,0.29,,,,,,,,,,,,8.845,,8.845,,8.845,0.829815,0.829815,0.5,60.254381,60.254381,51.124926,
03/31/1996,27.112,26.837,,0.0,0.0,0.275,-17.029,9.151,,,,1.706,5.084,0.0,,1.088,10.083,-6.445,6.445,,0.0,3.638,0.0,,,,,0.0,,,3.638,,2.968,,,1.72,1.72,,10.94,0.27,0.27,0.27,10.94,0.27,0.27,0.27,,,,,,,,,,,,8.722,,8.722,,8.722,0.797258,0.797258,0.51,63.969269,63.969269,63.953222,
06/30/1996,27.313999,26.950001,,0.0,0.0,0.364,-16.955,10.385,,,,1.373,5.197,0.0,,0.0,10.359,-4.764,6.73,,-1.966,5.595,0.0,,,,,0.0,,,5.595,,4.568,,,3.322,3.322,,10.941,0.41,0.41,0.41,10.941,0.41,0.41,0.41,,,,,,,,,,,,8.823,,8.823,,8.823,0.806416,0.806416,0.51,63.242774,63.242774,63.277799,
