Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/01/1990,1095.797974,178.046005,178.046005,0.0,262.397003,,,163.630005,,,,,58.584,,,662.656982,168.395004,,,0.0,264.746002,,,,,,264.746002,433.141006,,53.689999,53.689999,,,,14.627,,,,,,164.550006,,,164.550006,232.867004,57.563999,,,,,2.377,,,,2.377,59.940999,292.808004,0.0,314.891998,,,0.0,,488.097992,802.98999,0.0,802.98999,1095.797994,
07/01/1990,1150.94397,70.921997,70.921997,0.0,390.291992,,,193.160995,,,,,59.398998,,,713.773987,169.380005,,,0.0,267.790009,,,,,,267.790009,437.170013,,48.513,48.513,,,,67.642998,,,,,,160.55201,,,160.55201,276.708008,57.493999,,,,,2.036,,,,2.036,59.529999,336.238007,0.0,315.29599,,,0.0,,499.410004,814.705994,0.0,814.705994,1150.944001,
09/30/1990,1338.126953,47.672001,47.672001,0.0,617.192993,,,188.001999,,,,,56.001999,,,908.869019,167.940994,,,0.0,261.316986,,,,,,261.316986,429.25798,,62.570999,62.570999,,,,116.347,,,,,,250.661987,,,250.661987,429.579987,57.419998,,,,,1.965,,,,1.965,59.384998,488.964985,0.0,315.328003,,,-6.69,,540.523984,849.161987,0.0,849.161987,1338.126972,
12/30/1990,1284.765015,289.296997,289.296997,0.0,352.954987,,,137.362,,,,,81.956001,,,861.570007,169.188995,252.835007,-83.646004,0.0,254.005997,,,,,,254.005997,423.194992,,83.836998,83.836998,,,,29.726,,,,,,244.006002,,,244.006002,357.569,56.911999,,,,,2.457,,,,2.457,59.368999,416.937999,0.0,315.364014,,,-18.061001,,570.524014,867.827027,0.0,867.827027,1284.765026,
03/31/1991,1164.387939,279.054993,279.054993,0.0,244.891998,,,141.903,,,,,81.873001,,,747.723022,165.097,,,0.0,251.567993,,,,,,251.567993,416.664993,,50.495998,50.495998,,,,3.347,,,,,,182.199009,,,182.199009,236.042007,56.452999,,,,,2.394,,,,2.394,58.846999,294.889007,0.0,315.737,,,-15.396,,569.158024,869.499023,0.0,869.499023,1164.38803,
06/30/1991,1809.041992,18.459999,18.459999,0.0,492.968994,,,273.752991,,,,,101.301003,,,886.482971,222.513,,,0.0,700.046021,,,,,,700.046021,922.559021,,97.636002,97.636002,,,,30.245001,,,,,,317.358011,,,317.358011,445.239014,524.776978,,,,,10.53,,,,10.53,535.306977,980.545991,0.0,316.959015,,,-11.039,,522.575987,828.496002,0.0,828.496002,1809.041993,
09/29/1991,2209.056885,22.549,22.549,0.0,899.497986,,,260.877991,,,,,109.911003,,,1292.83606,224.248993,,,0.0,691.971985,,,,,,691.971985,916.220978,,111.738998,111.738998,,,,354.376007,,,,,,460.713974,,,460.713974,926.828979,380.95401,,,,,11.133,,,,11.133,392.08701,1318.91599,0.0,317.446991,,,-9.769,,582.46297,890.140961,0.0,890.140961,2209.056951,
12/29/1991,1950.126953,120.613998,120.613998,0.0,551.38501,,,208.442993,,,,,144.807007,,,1025.249023,225.192001,325.045013,-99.852997,0.0,699.685974,,,,,,699.685974,924.877975,,150.835007,150.835007,,,,37.678001,,,,,,405.294975,,,405.294975,593.807983,380.303986,,,,,20.746,,,,20.746,401.049986,994.857969,0.0,320.122009,,,-5.361,,640.507973,955.268982,0.0,955.268982,1950.126951,
03/29/1992,1887.652954,138.141998,83.141998,55.0,380.800995,,,242.613998,,,,,158.610992,,,920.16803,236.957001,,,0.0,730.528015,,,,,,730.528015,967.485016,,96.918999,96.918999,,,,35.050999,,,,,,336.143009,,,336.143009,468.113007,382.80899,,,,,70.960999,,,,70.960999,453.769989,921.882996,0.0,322.351013,,,-2.395,,645.814006,965.77002,0.0,965.77002,1887.653015,
06/28/1992,2054.268066,24.497999,24.497999,0.0,613.835022,,,310.141998,,,,,142.244003,,,1090.718994,242.268005,,,0.0,721.281006,,,,,,721.281006,963.549011,,96.182999,96.182999,,,,172.100006,,,,,,335.69899,,,335.69899,603.981995,382.506012,,,,,71.335999,,,,71.335999,453.84201,1057.824005,0.0,323.367004,,,-1.316,,674.393026,996.444031,0.0,996.444031,2054.268036,
09/27/1992,2447.106934,37.34,37.34,0.0,1029.907959,,,282.040009,,,,,137.899002,,,1487.187012,240.787003,,,0.0,719.132996,,,,,,719.132996,959.919998,,123.375999,123.375999,,,,359.648987,,,,,,465.281044,,,465.281044,948.30603,367.806,,,,,71.483002,,,,71.483002,439.289001,1387.595032,0.0,325.429993,,,0.0,,734.08197,1059.511963,0.0,1059.511963,2447.106995,
12/27/1992,2082.766113,125.953003,125.953003,0.0,638.281982,,,217.917999,,,,,134.776001,,,1116.928955,251.339996,363.140991,-111.801003,0.0,714.497009,,,,,,714.497009,965.837005,,171.723999,171.723999,,,,75.995003,,,,,,453.624016,,,453.624016,701.343018,206.188995,,,,,69.612999,,,,69.612999,275.801994,977.145012,0.0,331.06601,,,0.0,,774.554993,1105.621003,0.0,1105.621003,2082.766015,
03/28/1993,1921.803955,150.25,100.25,50.0,420.057007,,,237.548004,,,,,147.763,,,955.617981,252.520996,,,0.0,713.664978,,,,,,713.664978,966.185974,,107.089996,107.089996,,,,52.541,,,,,,363.317001,,,363.317001,522.947998,206.151993,,,,,70.822998,,,,70.822998,276.974991,799.922989,0.0,333.244995,,,0.0,,788.635986,1121.880981,0.0,1121.880981,1921.80397,
06/27/1993,2077.51709,16.611,16.611,0.0,647.898987,,,315.024994,,,,,141.261993,,,1120.796997,253.899002,,,0.0,702.820984,,,,,,702.820984,956.719986,,100.472,100.472,,,,207.725006,,,,,,356.058975,,,356.058975,664.255981,205.735992,,,,,69.877998,,,,69.877998,275.613991,939.869972,0.0,336.273987,,,0.0,,801.372986,1137.646973,0.0,1137.646973,2077.516945,
09/26/1993,2595.041992,48.466,48.466,0.0,1087.652954,,,333.531006,,,,,145.891998,,,1615.541992,258.919006,,,0.0,720.580994,,,,,,720.580994,979.5,,134.307007,134.307007,,,,469.496002,,,,,,506.598969,,,506.598969,1110.401978,203.641998,,,,,69.169998,,,,69.169998,272.811996,1383.213974,0.0,338.488007,,,0.0,,873.340027,1211.828033,0.0,1211.828033,2595.042007,
12/26/1993,2293.018066,186.253998,186.253998,0.0,720.442017,,,250.067001,,,,,144.371994,,,1301.13501,279.803009,412.984985,-133.182007,0.0,712.080017,,,,,,712.080017,991.883026,,170.309006,170.309006,,,,65.477997,,,,,,512.527023,,,512.527023,748.314026,200.509995,,,,,67.511002,,,,67.511002,268.020997,1016.335023,0.0,340.721008,,,0.0,,935.961975,1276.682983,0.0,1276.682983,2293.018006,
03/27/1994,2113.350098,250.261993,250.261993,0.0,449.980988,,,271.319,,,,,150.503998,,,1122.06604,282.977997,,,0.0,708.30603,,,,,,708.30603,991.284027,,102.050003,102.050003,,,,56.320999,,,,,,386.462982,,,386.462982,544.833984,200.479004,,,,,73.170998,,,,73.170998,273.650002,818.483986,0.0,343.054993,,,0.0,,951.810974,1294.865967,0.0,1294.865967,2113.349953,
