Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,135.869003,-65.061996,70.807007,-57.882999,12.924,-1.98,0,3.419,14.363,-4.885,9.478,0,0,9.478,0,9.478,9.477999,,0.33,0.33,28.355,,,,,
06/30/1990,227.014999,-96.355003,130.659996,-68.428001,62.231998,-1.956,0,4.273,64.548998,-21.969,42.580002,0,0,42.580002,0,42.580002,42.579998,,1.49,1.49,29.273001,,,,,
09/30/1990,186.641006,-79.095001,107.546005,-70.873001,36.673,-1.955,0,5.299,40.017,-12.464,27.552999,0,0,27.552999,0,27.552999,27.553,,0.99,0.99,28.874001,,,,,
12/31/1990,254.854996,-115.859001,138.995995,-92.362999,46.632999,-2.187,0,4.711,49.156999,-15.774,33.382999,0,0,33.382999,0,33.382999,33.382999,,1.21,1.21,26.2815,,,,,
03/31/1991,143.001007,-68.889,74.112007,-67.241997,6.87,-2.003,0,3.054,7.921,-2.693,5.228,0,0,5.228,0,5.228,5.228,,0.2,0.2,26.67,,,,,
06/30/1991,197.332993,-98.495003,98.83799,-69.710999,29.127001,-1.892,0,2.765,30.000001,-9.939,20.061001,0,0,20.061001,0,20.061001,20.061001,,0.75,0.75,26.572001,,,,,
09/30/1991,205.587006,-94.917,110.670006,-69.848999,40.820999,-1.902,0,1.889,40.807999,-12.679,28.129,0,0,28.129,0,28.129,28.128999,,1.05,1.05,26.830999,,,,,
12/31/1991,316.536011,-137.481995,179.054016,-93.132004,85.921997,-2.031,0,4.001,87.891997,-28.263,59.629002,0,0,59.629002,0,59.629002,59.628997,,2.15,2.15,26.551001,,,,,
03/31/1992,165.093994,-81.553001,83.540993,-76.735001,6.806,-2.282,0,1.447,5.971,-2.086,3.885,0,0,3.885,0,3.885,3.885,,0.14,0.14,27.142,,,,,
06/30/1992,184.996994,-106.501999,78.494995,-76.623001,1.872,-2.073,0,2.035,1.834,-0.581,1.253,0,0,1.253,0,1.253,1.253,,0.05,0.05,26.607,,,,,
