Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
01/01/1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/02/1994,152.332993,14.104,14.104,0.0,3.841,,,92.390999,,,,,3.57,,,,,113.905998,35.243,46.841999,-11.599,0.0,3.184,,,,3.184,38.427,,50.609001,50.609001,,,,3.079,,,,,,20.655001,,,,20.655001,74.343002,13.279,,,,,2.326,,,,,2.326,15.605,89.948003,5.875,41.755001,,,0.0,,14.755,62.385001,0.0,62.385001,152.333004,
07/02/1994,161.279007,23.396999,23.396999,0.0,2.915,,,93.667999,,,,,1.605,,,,,121.584999,36.396,48.509998,-12.114,0.0,3.298,,,,3.298,39.694,,50.257999,50.257999,,,,1.345,,,,,,25.677999,,,,25.677999,77.280998,12.999,,,,,2.323,,,,,2.323,15.322,92.602998,5.875,41.755001,,,0.0,,21.046,68.676001,0.0,68.676001,161.278998,
10/01/1994,154.863998,6.623,6.623,0.0,2.609,,,103.577003,,,,,1.909,,,,,114.718002,37.175999,49.792999,-12.617,0.0,2.97,,,,2.97,40.145999,,43.757,43.757,,,,1.341,,,,,,23.705001,,,,23.705001,68.803001,5.334,,,,,9.68,,,,,9.68,15.014,83.817002,5.875,41.755001,,,0.0,,23.417,71.047001,0.0,71.047001,154.864003,
12/31/1994,146.248001,13.999,13.999,0.0,2.164,,,86.316002,,,,,1.715,,,,,104.194,39.351002,52.396999,-13.046,0.0,2.703,,,,2.703,42.054002,,31.952999,31.952999,,,,1.456,,,,,,24.600999,,,,24.600999,58.009998,12.266,,,,,2.28,,,,,2.28,14.546,72.555998,5.875,41.755001,,,0.0,,26.062,73.692001,0.0,73.692001,146.247999,
04/01/1995,172.565002,10.561,10.561,0.0,4.2,,,113.013,,,,,2.658,,,,,130.432007,39.566002,53.167999,-13.602,0.0,2.567,,,,2.567,42.133002,,62.668999,62.668999,,,,1.449,,,,,,20.773,,,,20.773,84.890999,11.942,,,,,2.286,,,,,2.286,14.228,99.118999,5.875,41.755001,,,0.0,,25.816,73.446001,0.0,73.446001,172.565,
07/01/1995,166.811005,7.262,7.262,0.0,3.671,,,108.644997,,,,,3.424,,,,,123.001999,41.153,55.421001,-14.268,0.0,2.656,,,,2.656,43.809,,50.217999,50.217999,,,,1.442,,,,,,23.420003,,,,23.420003,75.080002,11.614,,,,,2.291,,,,,2.291,13.905,88.985002,3.525,41.755001,,,0.0,,32.546001,77.826003,0.0,77.826003,166.811005,
09/30/1995,184.951996,9.845,9.845,0.0,3.193,,,124.944,,,,,2.039,,,,,140.020996,42.222,57.193001,-14.971,0.0,2.709,,,,2.709,44.931,,57.495998,57.495998,,,,1.439,,,,,,22.316001,,,,22.316001,81.250999,21.452,,,,,2.187,,,,,2.187,23.639,104.889999,3.525,41.755001,,,0.0,,34.782001,80.062003,0.0,80.062003,184.952002,
12/31/1995,174.128998,5.087,5.087,0.0,3.73,,,112.699997,,,,,5.017,,,,,126.533997,45.07,60.833,-15.763,0.0,2.525,,,,2.525,47.595,,36.525002,36.525002,,,,1.566,,,,,,24.592997,,,,24.592997,62.683998,25.858,,,,,2.111,,,,,2.111,27.969,90.652998,3.525,41.755001,,,0.0,,38.195999,83.476,0.0,83.476,174.128998,
03/30/1996,207.783997,6.561,6.561,0.0,3.888,,,144.119995,,,,,5.27,,,,,159.839005,45.414001,61.747002,-16.333,0.0,2.531,,,,2.531,47.945001,,67.916,67.916,,,,1.566,,,,,,21.779001,,,,21.779001,91.261002,31.895,,,,,2.116,,,,,2.116,34.011,125.272002,3.525,41.755001,,,0.0,,37.231998,82.512,0.0,82.512,207.784002,
