Date,Level 1 Assets,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 1 Liabilities,Level 2 Liabilities,Total FV Liabilities,Level 3 Total Gains,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
12/31/2008,274.0,387.0,,661.0,,48.0,48.0,,9.5637,13.507853,,23.071553,0.819402,1.157331,,1.976734,
03/29/2009,272.0,335.0,,607.0,,41.0,41.0,,9.648812,11.883647,,21.532458,0.787652,0.970087,,1.757739,
06/28/2009,329.0,277.0,,606.0,0.0,21.0,21.0,,11.666667,9.822695,,21.489362,0.945728,0.796252,,1.74198,
09/27/2009,313.0,726.0,,1039.0,0.0,21.0,21.0,,9.968153,23.121019,,33.089172,0.87572,2.031224,,2.906944,
12/31/2009,517.0,607.0,,1124.0,0.0,23.0,23.0,280.0,12.521192,14.700896,,27.222088,1.472473,1.728803,,3.201276,
03/28/2010,463.0,573.0,,1036.0,0.0,34.0,34.0,,11.494538,14.225422,,25.71996,1.275939,1.579078,,2.855017,
06/27/2010,440.0,1197.0,,1637.0,0.0,36.0,36.0,,11.78361,32.056776,,43.840386,1.214162,3.303071,,4.517233,
09/26/2010,403.0,1125.0,,1528.0,0.0,24.0,24.0,,10.28586,28.713629,,38.99949,1.133583,3.164468,,4.298051,
12/31/2010,536.0,849.0,,1385.0,0.0,33.0,33.0,,15.327424,24.277953,,39.605376,1.5265,2.417908,,3.944408,
03/27/2011,453.0,889.0,,1342.0,0.0,38.0,38.0,,11.949354,23.450277,,35.399631,1.235106,2.423862,,3.658969,
06/26/2011,436.0,652.0,,1088.0,0.0,28.0,28.0,,13.260341,19.829684,,33.090024,1.220673,1.82541,,3.046083,
09/25/2011,392.0,372.0,,764.0,0.0,25.0,25.0,,13.319742,12.640163,,25.959905,1.083262,1.027993,,2.111255,
12/31/2011,471.0,356.0,,827.0,0.0,26.0,26.0,,47.052947,35.564436,,82.617383,1.242482,0.939116,,2.181598,
03/25/2012,420.0,412.0,,832.0,0.0,24.0,24.0,,26.700572,26.19199,,52.892562,1.095462,1.074596,,2.170057,
06/24/2012,413.0,426.0,,839.0,0.0,25.0,25.0,,18.738657,19.328494,,38.067151,1.075913,1.10978,,2.185693,
09/30/2012,439.0,425.0,,864.0,0.0,29.0,29.0,,17.977068,17.403767,,35.380835,1.116452,1.080847,,2.197299,
12/31/2012,493.0,393.0,,886.0,0.0,25.0,25.0,,1264.102564,1007.692308,,2271.794872,1.275319,1.016633,,2.291952,
03/31/2013,510.0,418.0,,928.0,0.0,21.0,21.0,,167.763158,137.5,,305.263158,1.28853,1.056089,,2.344618,
06/30/2013,506.0,403.0,,909.0,0.0,32.0,32.0,,72.910663,58.069164,,130.979827,1.299201,1.03474,,2.333941,
09/29/2013,554.0,385.0,,939.0,0.0,21.0,21.0,,43.382929,30.148786,,73.531715,1.423908,0.989539,,2.413447,
12/31/2013,13730.0,17323.0,3823.0,34876.0,0.0,23.0,23.0,,279.178528,352.236682,77.734852,709.150061,37.940754,47.869459,10.564275,96.374489,
03/31/2014,665.0,378.0,,1043.0,0.0,14.0,14.0,,13.854167,7.875,,21.729167,1.801241,1.023863,,2.825104,
06/29/2014,744.0,329.0,,1073.0,0.0,15.0,15.0,,17.22621,7.617504,,24.843714,1.997315,0.883221,,2.880537,
09/28/2014,675.0,312.0,,987.0,0.0,18.0,18.0,,14.757324,6.821163,,21.578487,1.827634,0.844773,,2.672407,
12/31/2014,788.0,316.0,,1104.0,0.0,18.0,18.0,,23.176471,9.294118,0.0,32.470588,2.127085,0.852994,0.0,2.980079,
03/29/2015,733.0,332.0,,1065.0,0.0,29.0,29.0,,20.823864,9.431818,,30.255682,1.843932,0.835178,,2.67911,
06/28/2015,755.0,293.0,,1048.0,0.0,28.0,28.0,,25.318578,9.82562,,35.144199,1.8947,0.735294,,2.629994,
09/27/2015,677.0,302.0,,979.0,0.0,34.0,34.0,,24.066833,10.735869,0.0,34.802702,1.708862,0.762299,0.0,2.471161,
12/31/2015,834.0,281.0,,1115.0,0.0,35.0,35.0,,26.929286,9.073297,0.0,36.002583,1.691546,0.569933,0.0,2.26148,
03/27/2016,789.0,308.0,,1097.0,0.0,31.0,31.0,,24.83475,9.694681,,34.52943,1.573029,0.61406,,2.187089,
06/26/2016,786.0,359.0,,1145.0,0.0,58.0,58.0,,26.226226,11.978645,,38.204872,1.559276,0.712189,,2.271465,
09/25/2016,825.0,367.0,,1192.0,0.0,87.0,87.0,,33.950617,15.102881,,49.053498,1.69269,0.75299,,2.44568,
12/31/2016,,,,,,,,,58.219178,18.119552,0.0,76.33873,1.955821,0.60871,0.0,2.564532,
03/26/2017,913.0,293.0,,1206.0,0.0,106.0,106.0,,57.602524,18.485804,,76.088328,1.869522,0.599967,,2.46949,
06/25/2017,910.0,319.0,,1229.0,0.0,87.0,87.0,,67.457376,23.647146,,91.104522,1.868161,0.654883,,2.523044,
09/24/2017,905.0,314.0,,1219.0,105.0,0.0,105.0,,41.609195,14.436782,0.0,56.045977,1.848976,0.641523,0.0,2.4905,
12/31/2017,,,,,,,,,-123.195876,-39.819588,0.0,-163.015464,2.050622,0.662806,0.0,2.713428,
03/25/2018,1040.0,248.0,,1288.0,0.0,91.0,91.0,,-936.936937,-223.423423,,-1160.36036,2.230133,0.531801,,2.761933,
