Date,Cash From Operating Activities,Net Income,Depreciation Expense,Amortization - Nuclear Fuel,AFC - Debts & Equity,Deferred Income Taxes,Investment Tax Credits,Other Non-Cash Adjustments,Changes In Restricted Bond Proceeds,Accts Receivable & Unbilled Revenue,Changes in Fossil Fuel,Change In Inventories,Prepayments & Others,Accounts Payable & Accruals,Accrued Taxes,Change in Other Working Capital,Cash From Investing Activities,Additions to Utility Plant Less AFC,Changes in Decommissioning Funds,Non-Utility Cap Expenditure,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
03/31/1990,80.471001,91.801003,54.48,5.588,-5.315,32.206001,0,25.823,0,-16.278,,6.922,,-121.384003,41.422001,-34.793999,,,,,,0.0,,,,,,,,,,0.0,,,,
06/30/1990,217.738998,35.756001,54.897999,8.24,-5.586,4.386,0,29.271999,0,75.591003,,-9.148,,8.458,12.281,3.591,,,,,,0.0,,,,,,,,,,0.0,,,,
09/30/1990,120.980003,60.127998,55.495998,7.436,-5.609,12.768,0,-74.914001,0,8.42,,-10.571,,42.450001,-21.079,46.455002,,,,,,0.0,,,,,,,,,,0.0,,,,
12/31/1990,71.380997,-104.806999,55.983002,6.614,-4.904,-74.240997,0,130.733994,0,-29.799999,,-26.233999,,34.354,-12.201,95.883003,,,,,,0.0,,,,,,,,,,0.0,,,,
03/31/1991,115.975998,109.783997,62.673,6.502,-3.642,38.137001,0,14.482,0,-93.655998,,18.955,,-29.416,68.949997,-76.792999,,,,,,0.0,,,,,,,,,,0.0,,,,
06/30/1991,234.572006,57.691002,65.209999,12.113,-4.672,24.743999,0,-16.709,0,92.5,,3.207,,-54.737999,3.875,51.351002,,,,,,0.0,,,,,,,,,,0.0,,,,
09/30/1991,167.115005,40.783001,65.057999,9.086,-4.738,4.43,0,5.302,0,19.75,,-13.152,,20.049999,9.343,11.203,,,,,,0.0,,,,,,,,,,0.0,,,,
12/31/1991,70.375,35.111,65.875,10.986,-5.879,0.827,0,12.215,0,-44.493999,,-1.988,,68.324997,-81.721001,11.118,,,,,,0.0,,,,,,,,,,0.0,,,,
03/31/1992,172.197006,102.461998,66.477997,7.081,-5.833,17.292999,0,29.096001,0,-56.948002,,46.678001,,-64.352997,80.513,-50.27,,,,,,0.0,,,,,,,,,,0.0,,,,
06/30/1992,163.039001,71.734001,70.217003,1.011,-5.357,22.24,0,-9.463,0,26.82,,-26.552,,4.449,-11.547,19.487,,,,,,0.0,,,,,,,,,,0.0,,,,
