Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Net Cash From Disc Ops,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,34.25,18.677,23.268999,-0.899,,,-0.899,-6.797,,,-6.797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,17.573999,39.664001,24.351999,-1.214,,,-1.214,-45.228001,,,-45.228001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,70.040001,42.127998,25.096001,-5.426,,,-5.426,8.242,,,8.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,76.666,19.809,27.444,5.742,,,5.742,23.671,,,23.671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.666,,,
03/31/1991,28.02,-2.219,27.197001,1.827,,,1.827,1.215,,,1.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,13.083,25.879,27.466999,-4.644,,,-4.644,-35.618999,,,-35.618999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,66.706001,30.226,27.531,1.356,,,1.356,7.593,,,7.593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,74.497002,-1.306,27.530001,7.021,,,7.021,41.251999,,,41.251999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1992,30.006001,7.637,25.714001,-2.436,,,-2.436,-0.909,,,-0.909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,26.836,30.237,25.761999,-1.55,,,-1.55,-27.613001,,,-27.613001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,61.219002,35.755001,25.26,10.746,,,10.746,-10.542,,,-10.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,82.321999,20.356001,26.608999,2.323,,,2.323,33.034,,,33.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1993,22.84,-0.526,24.958,0.438,,,0.438,-2.03,,,-2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,7.473,31.641001,25.288,-2.3,,,-2.3,-47.155998,,,-47.155998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,69.086998,36.563999,25.308001,5.151,,,5.151,2.064,,,2.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,93.617996,20.549999,27.226,-7.97,,,-7.97,53.812,,,53.812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1994,15.946,-5.226,26.834,0.8,,,0.8,-6.462,,,-6.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,21.827999,33.734001,25.802,0.529,,,0.529,-38.237,,,-38.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,75.945999,37.599998,27.055,1.843,,,1.843,9.448,,,9.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,94.539001,31.868,27.004,5.386,,,5.386,30.281,,,30.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1995,37.049999,15.962,26.848,-3.237,,,-3.237,-2.523,,,-2.523,,-24.204,,,,-24.204,,,,,,,,,,24.204,,,,,,,,,,,,,,,,
06/30/1995,31.000999,47.730999,27.27,-1.541,,,-1.541,-42.459,,,-42.459,,-38.844002,,,,-38.844002,,,,,,,,,,38.844002,,,,,,,,,,,,,,,,
09/30/1995,79.710999,59.147999,28.184,2.473,,,2.473,-10.094,,,-10.094,,-14.451,,,,-14.451,,,,,,,,,,14.451,,,,,,,,,,,,,,,,
12/31/1995,118.694,43.398998,28.375,-3.769,,,-3.769,50.688999,,,50.688999,,-31.674999,,,,-31.674999,,,,,,,,,,31.674999,,,,,,,,,,,,,,,,
03/31/1996,54.416,20.131001,26.165001,14.369,,,14.369,-6.249,,,-6.249,,-32.390999,,,,-32.390999,,,,,,,,,,32.390999,,,,,,,,,,,,,,,,
06/30/1996,62.159,58.551998,27.472,-1.441,,,-1.441,-22.424,,,-22.424,,-41.605999,,,,-41.605999,,,,,,,,,,41.605999,,,,,,,,,,,,,,,,
