Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2004,6562.0,,,,,,,-5608.0,938.0,,4670.0,954.0,-203.0,137.0,137.0,0.0,0.0,,66.0,751.0,-276.0,475.0,0.0,,,475.0,-89.0,386.0,0.0,0.0,386.0,386.0,,2917.0,0.13,0.13,0.13,2992.0,0.13,0.13,0.13,
03/31/2005,6043.0,,,,,,,-5154.0,,,,889.0,-114.0,143.0,201.0,-58.0,0.0,,-29.0,775.0,-317.0,458.0,0.0,,,458.0,-58.0,400.0,0.0,0.0,400.0,400.0,,2938.0,0.14,0.14,0.14,3011.0,0.13,0.13,0.13,
09/30/2005,5682.0,,,,,,,-4773.0,959.0,,3814.0,909.0,69.0,128.0,194.0,-66.0,0.0,,-197.0,978.0,-382.0,596.0,1013.0,,,-417.0,-16.0,-433.0,0.0,0.0,-433.0,-433.0,,3267.0,-0.13,0.18,0.18,3318.0,-0.13,0.18,0.18,
12/31/2005,6665.0,,,,,,,-5745.0,978.0,,4767.0,920.0,81.0,149.0,204.0,-55.0,0.0,,-230.0,1001.0,-292.0,709.0,-381.0,,,1090.0,-15.0,1075.0,0.0,0.0,1075.0,1075.0,,3231.0,0.35,0.23,0.23,3280.0,0.35,0.22,0.22,
03/31/2006,6198.0,,,,,,,-5187.0,989.0,,4198.0,1011.0,293.0,151.0,217.0,-66.0,0.0,,-444.0,1304.0,-471.0,833.0,0.0,,,833.0,-13.0,820.0,0.0,0.0,820.0,820.0,,3189.0,0.257134,0.257134,0.26,3207.0,0.255691,0.255691,0.26,
06/30/2006,6782.0,,,,,,,-5757.0,,,,1025.0,97.0,145.0,204.0,-59.0,0.0,,-242.0,1122.0,-381.0,741.0,-134.0,,,875.0,-23.0,852.0,0.0,0.0,852.0,852.0,,3238.5,0.26,0.23,0.23,3288.5,0.26,0.23,0.23,
09/30/2006,5914.0,,,,,,,-5063.0,1102.0,,3961.0,851.0,546.0,129.0,204.0,-75.0,0.0,,-675.0,1397.0,-538.0,859.0,0.0,,,859.0,-16.0,843.0,0.0,0.0,843.0,843.0,,3159.0,0.28,0.28,0.23,3178.0,0.28,0.28,0.23,
12/31/2006,7844.0,,,,,,,-6700.0,1153.0,,5547.0,1144.0,127.0,145.0,217.0,-72.0,0.0,,-272.0,1271.0,-431.0,840.0,0.0,,,840.0,-18.0,822.0,0.0,0.0,822.0,822.0,,3165.0,0.27,0.27,0.27,3187.0,0.27,0.27,0.27,
03/31/2007,7530.0,,,,,,,-6291.0,1145.0,,5146.0,1239.0,161.0,147.0,226.0,-79.0,0.0,,-308.0,1400.0,-517.0,883.0,0.0,,,883.0,-12.0,871.0,0.0,0.0,871.0,871.0,,3163.0,0.28,0.28,0.28,3185.0,0.28,0.28,0.28,
06/30/2007,7367.0,,,,,,,-6149.0,1255.0,,4894.0,1218.0,20.0,206.0,299.0,-93.0,0.0,,-226.0,1238.0,-328.0,910.0,0.0,,,910.0,-20.0,890.0,0.0,0.0,890.0,890.0,,3164.0,0.28,0.28,0.23,3164.0,0.28,0.28,0.23,
09/30/2007,7067.0,,,,,,,-6020.0,,,,1047.0,133.0,113.0,213.0,-100.0,0.0,,-246.0,1180.0,-414.0,766.0,0.0,,,766.0,-34.0,732.0,0.0,0.0,732.0,732.0,,3127.0,0.23,0.23,0.23,3139.0,0.23,0.23,0.23,
12/31/2007,8590.0,,,,,,,-7172.0,,,,1418.0,-30.0,167.0,245.0,-78.0,0.0,,-137.0,1388.0,-520.0,868.0,0.0,,,868.0,-36.0,832.0,0.0,0.0,832.0,832.0,,3126.0,0.27,0.27,0.27,3139.0,0.27,0.27,0.27,
03/31/2008,8750.0,,,,,,,-7312.0,,,,1438.0,1575.0,207.0,244.0,-37.0,0.0,,-1782.0,3013.0,-300.0,2713.0,0.0,,,2713.0,-19.0,2694.0,0.0,0.0,2694.0,2694.0,,2942.0,0.92,0.92,0.34,2959.0,0.91,0.91,0.34,
06/30/2008,8589.0,,,,,,,-7111.0,,,,1478.0,262.0,438.0,224.0,-31.0,0.0,,-455.0,1740.0,-569.0,1171.0,0.0,,,1171.0,-42.0,1129.0,0.0,0.0,1129.0,1129.0,,2631.0,0.43,0.43,0.43,2631.0,0.43,0.43,0.43,
09/30/2008,7509.0,7509.0,,-4571.0,4571.0,2938.0,0.0,-1985.0,1681.0,296.0,8.0,953.0,-236.0,181.0,221.0,-40.0,,359.0,-304.0,717.0,-181.0,536.0,0.0,0.0,0.0,536.0,-21.0,515.0,,0.0,515.0,659.95,144.95,2611.0,0.2,0.2,0.252758,2613.0,0.2,0.2,0.252758,
12/31/2008,7871.0,7871.0,,-5161.0,5161.0,2710.0,0.0,-10336.0,1588.0,283.0,8465.0,-7626.0,-279.0,211.0,231.0,-20.0,,-30.0,98.0,-7905.0,1514.0,-6391.0,0.0,0.0,0.0,-6391.0,-26.0,-6417.0,0.0,0.0,-6417.0,385.0,6802.0,2614.0,-2.45,-2.45,0.147284,2614.0,-2.45,-2.45,0.147284,
03/31/2009,7373.0,7373.0,,-4848.0,4848.0,2525.0,0.0,-1770.0,1441.0,274.0,55.0,755.0,870.0,222.0,238.0,-16.0,,40.0,-1132.0,1625.0,1103.0,2728.0,0.0,0.0,0.0,2728.0,-1.0,2727.0,0.0,0.0,2727.0,364.45,-2362.55,2614.0,1.04,1.04,0.139422,2620.0,1.04,1.04,0.138263,
06/30/2009,7670.0,7670.0,,-5211.0,5211.0,2459.0,0.0,-2191.0,1454.0,285.0,452.0,268.0,-244.0,222.0,237.0,-15.0,,-60.0,82.0,24.0,-207.0,-183.0,0.0,0.0,0.0,-183.0,-20.0,-203.0,0.0,0.0,-203.0,222.75,425.75,2614.0,-0.08,-0.08,0.085214,2614.0,-0.08,-0.08,0.082873,
09/30/2009,7199.0,7199.0,,-4405.0,4405.0,2794.0,0.0,-1752.0,1435.0,297.0,20.0,1042.0,-200.0,220.0,245.0,-25.0,,-32.0,12.0,842.0,-245.0,597.0,0.0,0.0,0.0,597.0,-26.0,571.0,0.0,0.0,571.0,584.0,13.0,2616.0,0.22,0.22,0.223242,2617.0,0.22,0.22,0.223242,
12/31/2009,8684.0,8684.0,,-5630.0,5630.0,3054.0,0.0,-2352.0,2043.0,299.0,10.0,702.0,-281.0,253.0,269.0,-16.0,,-58.0,86.0,421.0,-137.0,284.0,0.0,0.0,0.0,284.0,-30.0,254.0,0.0,0.0,254.0,607.2,353.2,2620.0,0.1,0.1,0.231756,2622.0,0.1,0.1,0.231756,
03/31/2010,8785.0,8785.0,,-5777.0,5777.0,3008.0,0.0,-1761.0,1461.0,294.0,6.0,1247.0,-91.0,227.0,247.0,-20.0,,-181.0,45.0,1156.0,-295.0,861.0,0.0,0.0,0.0,861.0,-22.0,839.0,0.0,0.0,839.0,870.85,31.85,2620.0,0.32,0.32,0.332385,2627.0,0.32,0.32,0.332124,
06/30/2010,8110.0,8110.0,,-5203.0,5203.0,2907.0,0.0,-2192.0,1680.0,295.0,217.0,715.0,189.0,200.0,230.0,-30.0,,-177.0,-212.0,904.0,-2.0,902.0,0.0,0.0,0.0,902.0,-27.0,875.0,0.0,0.0,875.0,913.2,38.2,2621.0,0.33,0.33,0.348417,2631.0,0.33,0.33,0.344519,
09/30/2010,7426.0,7426.0,,-4543.0,4543.0,2883.0,0.0,-1742.0,1461.0,274.0,7.0,1141.0,-122.0,206.0,232.0,-26.0,,-94.0,10.0,1019.0,-210.0,809.0,0.0,0.0,0.0,809.0,-34.0,775.0,0.0,0.0,775.0,779.55,4.55,2623.0,0.3,0.3,0.297198,2626.0,0.3,0.3,0.297198,
12/31/2010,8761.0,8761.0,,-5605.0,5605.0,3156.0,0.0,-2144.0,1589.0,280.0,275.0,1012.0,-147.0,202.0,230.0,-28.0,,-67.0,12.0,865.0,-190.0,675.0,0.0,0.0,0.0,675.0,-33.0,642.0,,0.0,642.0,1029.15,387.15,2625.0,0.24,0.24,0.392057,2628.0,0.24,0.24,0.387317,
03/31/2011,8256.0,8256.0,,-5322.0,5322.0,2934.0,0.0,-1874.0,1588.0,283.0,3.0,1060.0,-121.0,213.0,244.0,-31.0,,-111.0,19.0,939.0,-257.0,682.0,0.0,0.0,0.0,682.0,-43.0,639.0,,0.0,639.0,744.4,105.4,2626.0,0.24,0.24,0.283473,2631.0,0.24,0.24,0.280061,
06/30/2011,8962.0,8962.0,,-5588.0,5588.0,3374.0,0.0,-2050.0,1668.0,354.0,28.0,1324.0,30.0,219.0,260.0,-41.0,,-190.0,-59.0,1354.0,-372.0,982.0,254.0,254.0,0.0,728.0,-45.0,683.0,0.0,0.0,683.0,1000.5,63.5,2636.0,0.26,0.35,0.379552,2636.0,0.26,0.35,0.37409,
09/30/2011,7959.0,7959.0,,-4753.0,4753.0,3206.0,0.0,-1912.0,1527.0,294.0,91.0,1294.0,-231.0,222.0,258.0,-36.0,,-121.0,130.0,1063.0,-277.0,786.0,0.0,0.0,0.0,786.0,-48.0,738.0,0.0,0.0,738.0,802.0,64.0,2607.0,0.28,0.28,0.307633,2612.0,0.28,0.28,0.304502,
12/31/2011,8975.0,8975.0,,-5583.0,5583.0,3392.0,0.0,-1931.0,1614.0,281.0,36.0,1461.0,39.0,228.0,257.0,-29.0,,-142.0,-125.0,1500.0,-373.0,1127.0,0.0,0.0,0.0,1127.0,-70.0,1057.0,,0.0,1057.0,1021.7,-35.3,2508.0,0.42,0.42,0.407376,2515.0,0.42,0.42,0.405964,
03/31/2012,8402.0,8402.0,,-5216.0,5216.0,3186.0,0.0,-1901.0,1580.0,294.0,27.0,1285.0,-1.0,232.0,258.0,-26.0,,-204.0,-27.0,1284.0,-281.0,1003.0,0.0,0.0,0.0,1003.0,-66.0,937.0,,0.0,937.0,916.9,-20.1,2468.0,0.38,0.38,0.371515,2475.0,0.38,0.38,0.371515,
06/30/2012,8370.0,8370.0,,-5233.0,5233.0,3137.0,0.0,-4803.0,1642.0,310.0,2851.0,-1666.0,31.0,217.0,261.0,-44.0,,-263.0,15.0,-1635.0,126.0,-1509.0,0.0,0.0,0.0,-1509.0,-44.0,-1553.0,0.0,0.0,-1553.0,823.55,2376.55,2420.0,-0.64,-0.64,0.34031,2420.0,-0.64,-0.64,0.34031,
09/30/2012,6003.0,6003.0,,-3515.0,3515.0,2488.0,0.0,-1129.0,920.0,174.0,35.0,1359.0,1252.0,246.0,261.0,-15.0,,-129.0,-1369.0,2611.0,-304.0,2307.0,20.0,20.0,0.0,2287.0,-54.0,2233.0,0.0,0.0,2233.0,-431.2,-2684.2,2366.0,0.94,0.95,-0.182249,2370.0,0.94,0.95,-0.182574,
12/31/2012,7107.0,7107.0,,-4518.0,4518.0,2589.0,0.0,-1179.0,998.0,181.0,0.0,1410.0,117.0,248.0,264.0,-16.0,,-171.0,-194.0,1527.0,-405.0,1122.0,-1324.0,-1324.0,0.0,2446.0,-65.0,2381.0,0.0,0.0,2381.0,819.0,-238.0,2341.0,1.02,0.451516,0.34985,2346.0,1.01,0.445635,0.344186,
03/31/2013,7353.0,7353.0,,-4826.0,4826.0,2527.0,0.0,-1194.0,980.0,214.0,0.0,1333.0,1972.0,269.0,277.0,-8.0,,-132.0,-2109.0,3305.0,-728.0,2577.0,-321.0,-321.0,0.0,2898.0,-44.0,2854.0,0.0,0.0,2854.0,740.0,-1793.0,2324.0,1.23,1.09,0.318417,2330.0,1.22,1.09,0.318417,
06/30/2013,7212.0,7212.0,,-4705.0,4705.0,2507.0,0.0,-1275.0,1041.0,228.0,6.0,1232.0,61.0,243.0,261.0,-18.0,,-223.0,-81.0,1293.0,-253.0,1040.0,1348.0,1348.0,0.0,-308.0,-63.0,-371.0,0.0,0.0,-371.0,726.0,-251.0,2321.0,-0.16,0.42,0.312796,2321.0,-0.16,0.42,0.311857,
09/30/2013,7061.0,7061.0,,-4447.0,4447.0,2614.0,0.0,-1331.0,1018.0,313.0,0.0,1283.0,-207.0,264.0,272.0,-8.0,,-92.0,35.0,1076.0,-300.0,776.0,-487.0,-487.0,0.0,1263.0,-8.0,1255.0,0.0,0.0,1255.0,769.0,1.0,2306.0,0.54,0.33,0.333478,2309.0,0.54,0.33,0.330433,
12/31/2013,8163.0,8163.0,,-5551.0,5551.0,2612.0,0.0,-1346.0,1086.0,260.0,0.0,1266.0,92.0,267.0,274.0,-7.0,,-168.0,-191.0,1358.0,-360.0,998.0,-225.0,-225.0,0.0,1223.0,-16.0,1207.0,0.0,0.0,1207.0,756.0,-226.0,2279.0,0.53,0.43,0.331724,2283.0,0.53,0.43,0.331007,
03/31/2014,8219.0,8219.0,,-5475.0,5475.0,2744.0,0.0,-1245.0,978.0,267.0,0.0,1499.0,-141.0,278.0,284.0,-6.0,,-170.0,33.0,1358.0,-269.0,1089.0,16.0,16.0,0.0,1073.0,-20.0,1053.0,0.0,0.0,1053.0,1070.0,1.0,2252.0,0.47,0.47,0.475133,2256.0,0.47,0.47,0.470443,
06/30/2014,8424.0,8424.0,,-5635.0,5635.0,2789.0,0.0,-1349.0,1047.0,302.0,0.0,1440.0,-43.0,286.0,291.0,-5.0,,-192.0,-51.0,1397.0,-343.0,1054.0,-33.0,-33.0,0.0,1087.0,-88.0,999.0,0.0,0.0,999.0,926.0,-40.0,2228.0,0.45,0.43,0.415619,2228.0,0.45,0.43,0.412047,
