Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1998,13.173,20.837,11.124,-32.074001,,,,-32.074001,13.286,,,,,-0.894,,-0.894,,,,,,,,,,,,,,,,,,0.894,,,,,,,,,,,,,
06/30/1998,5.355,21.072001,15.46,-33.474998,,,,-33.474998,2.298,,,,,-0.709,,-0.709,,,,,,,,,,,,,,,,,,0.709,,,,,,,,,,,,,
09/30/1998,23.986,23.610001,14.455,-28.434999,,,,-28.434999,14.356,,,,,-2.015,,-2.015,,,,,,,,,,,,,,,,,,2.015,,,,,,,,,,,,,
12/31/1998,17.549,26.85,14.708,-21.929001,,,,-21.929001,-2.08,,,,,-3.908,,-3.908,,,,,,,,,,,,,,,,,,3.908,,,,,,,,,,,,,
03/31/1999,19.469999,26.721001,15.693,-17.125999,,,,-17.125999,-5.818,,,,,-1.176,,-1.176,,,,,,,,,,,,,,,,,,1.176,,,,,,,,,,,,,
06/30/1999,18.375,30.517,16.690001,-25.469999,,,,-25.469999,-3.362,,,,,-12.86,,-12.86,,,,,,,,,,,,,,,,,,12.86,,,,,,,,,,,,,
09/30/1999,44.928001,31.164,15.831,-14.327,,,,-14.327,12.26,,,,,-1.567,,-1.567,,,,,,,,,,,,,,,,,,1.567,,,,,,,,,,,,,
12/31/1999,49.372002,35.618,18.177999,-15.166,,,,-15.166,10.742,,,,,-1.848,,-1.848,,,,,,,,,,,,,,,,,,1.848,,,,,,,,,,,,,
03/31/2000,36.574001,37.647999,18.545,-30.613001,,,,-30.613001,10.994,,,,,-1.677,,-1.677,,,,,,,,,,,,,,,,,,1.677,,,,,,,,,,,20.495001,19.667999,
06/30/2000,17.346001,36.630001,18.476999,-17.48,,,,-17.48,-20.281,,,,,-2.432,,-2.432,,,,,,,,,,,,,,,,,,2.432,,,,,,,,,,,,,
09/30/2000,49.272999,40.012001,19.646999,-12.168,,,,-12.168,1.782,,,,,-4.129,,-4.129,,,,,,,,,,,,,,,,,,4.129,,,,,,,,,,,,,
12/31/2000,66.648003,41.07,18.167999,4.587,,,,4.587,2.823,,,,,-4.076,,-4.076,,,,,,,,,,,,,,,,,,4.076,,,,,,,,,,,,,
03/31/2001,68.233002,41.644001,16.922001,8.844,,,,8.844,0.823,,,,50.053001,-1.759,0.025,-1.784,51.85,52.354,,,,-0.504,,,,0.0,,,,,,,,-0.037999,-45.173999,-4.328,-18.925999,-18.824999,0.367,-19.191999,0.0,-3.095,,73.112,,,
06/30/2001,47.361,42.874001,17.802,7.429,,,,7.429,-20.743999,,,,-172.796005,-1.512,0.0,-1.512,0.492,0.492,,,,0.0,,,,0.0,,,,,,,,-171.776005,-38.214001,-5.383,-28.285001,-1.859,0.72,-2.579,0.0,-2.687,,-163.649002,,,
09/30/2001,106.051003,43.191002,18.625,11.946,,,,11.946,32.289001,,,,-27.247,-1.906,0.018,-1.924,-24.549,0.451,,,,-25.0,,,,0.0,,,,,,,,-0.792,-49.195999,-5.397,-14.393,-26.757999,0.0,-26.757999,0.0,-2.648,,29.608,,,
12/31/2001,59.000999,40.737999,16.490999,-12.762,,,,-12.762,14.534,,,,46.384998,-1.869,0.0,-1.869,49.022998,49.023998,,,,-0.001,,,,0.0,,,,,,,,-0.769,-120.865998,-5.348,-82.913998,-29.979,0.0,-29.979,0.0,-2.625,,-15.48,,,
03/31/2002,38.036999,52.323002,8.607,0.223,,,,0.223,-23.115999,,,,2.527,-0.694,0.0,-0.694,3.586,3.596,,,,-0.01,,,,0.0,,,,,,,,-0.365,-29.451,-5.279,0.213,-21.27,0.161,-21.431,0.0,-3.115,,11.113,,,
06/30/2002,46.049999,52.611,8.605,-2.582,,,,-2.582,-12.584,,,,-33.480999,-1.184,0.018,-1.202,0.832,0.933,,,,-0.101,,,,0.0,,,,,,,,-33.128999,-20.919,-6.519,1.062,-13.219,0.057,-13.276,0.0,-2.243,,-8.35,,,
09/30/2002,69.580002,49.926998,8.212,-12.312,,,,-12.312,23.753,,,,-3.281,-3.117,0.0,-3.117,-0.001,0.001,,,,-0.002,,,,0.0,,,,,,,,-0.163,-19.835,-6.51,0.482,-10.983,0.0,-10.983,0.0,-2.824,,46.464001,,,
12/31/2002,62.13,48.899,8.318,19.643,,,,19.643,-14.73,,,,-2.217,-2.212,0.098,-2.31,-0.175,0.126,,,,-0.301,,,,0.0,,,,,,,,0.17,-32.742,-6.481,0.434,-24.242,,-24.242,0.0,-2.453,,27.171,133.27,2.279,
03/31/2003,54.57,48.710999,8.2,2.456,,,,2.456,-4.797,,,,-0.802,-0.839,0.0,-0.839,0.048,0.049,,,,-0.001,,,,0.0,,,,,,,,-0.011,-85.643002,-6.383,1.102,-77.483002,0.0,-77.483002,0.0,-2.879,,-31.875,,,
06/30/2003,38.084,49.060001,8.242,-5.051,,,,-5.051,-14.167,,,,-0.76,-0.746,0.0,-0.746,-0.002,0.008,,,,-0.01,,,,0.0,,,,,,,,-0.012,-37.764,-7.636,1.19,-28.934,0.0,-28.934,0.0,-2.384,,-0.44,,,
09/30/2003,82.839996,50.939999,9.467,3.74,,,,3.74,18.693001,,,,-5.572,-3.561,0.0,-3.561,-0.795,0.017,,,,-0.812,,,,0.0,,,,,,,,-1.216,-22.487,-9.238,2.844,-13.62,0.0,-13.62,0.0,-2.473,,54.780998,,,
12/31/2003,73.323,42.774,9.634,6.266,,,,6.266,14.649,,,,-0.782,-1.124,0.018,-1.142,0.366,0.377,,,,-0.011,,,,0.0,,,,,,,,-0.024,-12.452,-9.236,-0.724,0.0,0.0,0.0,0.0,-2.492,,60.089,,,
03/31/2004,-4.032,51.733002,18.858,19.111,,,,19.111,-23.143,,,,-1.418,-1.388,0.0,-1.388,-0.002,0.004,,,,-0.006,,,,0.0,,,,,,,,-0.028,-28.339999,-9.232,-6.246999,-12.37,0.0,-12.37,0.0,-0.491,,-33.790001,,,
06/30/2004,-18.851999,50.648998,18.900999,-21.301001,,,,-21.301001,2.449,,,,-68.299004,-1.855,0.0,-1.855,-0.002,0.001,,,,-0.003,,,,0.0,,,,,,,,-66.442004,-61.912001,-11.017,-8.267,-39.832001,0.0,-39.832001,0.0,-2.796,,-149.063004,,,
09/30/2004,19.142,47.050999,18.179001,8.36,,,,8.36,10.782,,,,-1.116,-1.574,0.042,-1.616,-0.003,0.024,,,,-0.027,,,,0.0,,,,,,,,0.461,-65.721999,-11.054,-9.518001,-45.981998,0.0,-45.981998,0.0,0.832,,-47.695999,,,
12/31/2004,300.787,31.746,18.773,18.583,,,,18.583,26.314,,,,-0.98,-0.65,0.018,-0.668,0.039,0.044,,,,-0.005,,,,,,,,,,,,-0.369,-45.509,-13.4,-8.597,-15.828,5.546,-21.374,,-7.684,,254.298,,,
03/31/2005,62.495,7.028,17.681,10.469,,-3.312,0.592,13.189,27.317,,,,-1.481,-0.845,0.212,-1.057,0.49,0.694,,,,-0.204,,,,,,,,,,,,-1.126,-43.515,-13.349,-9.153,-18.377,0.042,-18.419,,-2.636,,17.499,,0.0,
06/30/2005,53.444,37.761,19.009,-19.984,,,,-19.984,16.658,,,,-57.351,0.482,1.206,-0.724,-0.003,0.001,,,,-0.004,,,,0.0,,,,,,,,-57.83,-31.224,-15.979,-9.764,-2.845,0.0,-2.845,0.0,-2.636,,-35.131,,,
09/30/2005,92.77,63.667,17.294,17.842,,,,17.842,-6.033,,,,-8.659,0.217,0.584,-0.367,-5.003,0.0,,,,-5.003,,,,0.0,,,,,,,,-3.873,-27.685,-16.068,-10.737,2.15,2.188,-0.038,0.0,-3.03,,56.426,,0.0,
12/31/2005,-22.703,51.827,17.502,7.721,,,,7.721,-99.753,,,,6.137,-0.193,0.0,-0.193,4.996,4.996,,,,0.0,,,,0.0,,,,,,,,1.334,-32.595,-16.069,-11.28,-4.01,0.42,-4.43,0.0,-1.236,,-49.161,,,
03/31/2006,71.034,48.921,18.892,-2.662,,-2.032,2.992,-3.622,5.883,,,,-9.03,0.112,0.494,-0.382,-0.103,0.001,,,,-0.104,,,,,,,,,,,,-9.039,-50.187,-15.999,-12.11,-20.496,3.972,-24.468,,-1.582,,11.817,,0.0,
06/30/2006,27.912,49.921,18.375,-9.527,,,,-9.527,-30.857,,,,-40.478,3.261,5.897,-2.636,0.408,0.712,,,,-0.304,,,,0.0,,,,,,,,-44.147,-96.117,-19.22,-10.584,-64.83,2.62,-67.45,0.0,-1.483,,-108.683,,0.0,
09/30/2006,74.565,45.609,19.478,-7.69,,,,-7.69,17.168,,,,-97.249,-0.634,0.273,-0.907,5.712,5.818,,,,-0.106,,,,0.0,,,,,,,,-102.327,-50.602,-18.938,-10.596,-19.283,12.897,-32.18,0.0,-1.785,,-73.286,,0.0,
12/31/2006,120.207,53.278,19.186,13.115,,,,13.115,34.628,,,,-2.393,-0.815,0.0,-0.815,-1.5,0.002,,,,-1.502,,,,0.0,,,,,,,,-0.078,-74.787,-18.889,-11.811,-43.3,2.255,-45.555,0.0,-0.787,,43.027,107.051,0.046,
03/31/2007,71.856,51.763,19.165,6.354,,0.428,3.673,2.253,-5.426,,,,-9.711,-1.35,0.0,-1.35,-0.007,0.996,,,,-1.003,,,,0.0,,,,,,,,-8.354,-69.475,-18.675,-10.804,-40.755,2.228,-42.983,0.0,0.759,,-7.33,0.0,0.0,
06/30/2007,63.207,55.277,17.696,0.141,,,,0.141,-9.907,,,,-24.841,-0.816,0.0,-0.816,-1.004,0.001,,,,-1.005,,,,0.0,,,,,,,,-23.021,-44.29,-21.61,-13.452,-7.752,2.754,-10.506,0.0,-1.476,,-5.924,0.0,0.0,
09/30/2007,93.062,57.727,17.899,3.362,,,,3.362,14.074,,,,-51.094,-1.357,0.0,-1.357,-0.104,0.0,,,,-0.104,,,,0.0,,,,,,,,-49.633,-90.372,-21.481,-13.31,-55.186,5.969,-61.155,0.0,-0.395,,-48.404,,,
12/31/2007,98.874,52.704,17.187,-1.438,,,,-1.438,30.421,,,,-4.578,-4.166,0.0,-4.166,-0.002,0.101,,,,-0.103,,,,0.0,,,,,,,,-0.41,-31.009,-21.374,-11.838,-0.149,2.497,-2.646,0.0,2.352,,63.287,130.524,0.065,
03/31/2008,75.611,55.819,15.461,6.277,,0.808,3.693,1.776,-1.946,,,,8.8,-2.23,,-2.23,11.03,11.034,,,,-0.004,,,,,,,,,,,,0.0,-34.308,-21.371,-10.636,-0.997,1.045,-2.042,,-1.304,,50.103,,,
06/30/2008,60.167,58.024,14.863,-6.508,,1.515,3.616,-11.639,-6.212,,,,-18.772,-2.104,,-2.104,-0.002,0.001,,,,-0.003,,,,,,,,,,,,-16.666,-70.821,-24.45,-9.505,-35.746,1.499,-37.245,,-1.12,,-29.426,,,
09/30/2008,78.92,56.212,13.715,9.257,,0.916,6.261,2.08,-0.264,,,,-38.687,-2.162,,-2.162,-0.004,0.0,,,,-0.004,,,,,,,,,,,,-36.521,-136.379,-305.396,151.224,21.035,21.879,-0.844,,-3.242,,-96.146,,,
12/31/2008,96.257,54.263,11.846,17.2,,,,17.2,12.948,,,,-79.691,-3.811,0.0,-3.811,-0.004,0.001,,,,-0.005,,,,,,,,,,,,-75.876,-16.009,-24.434,10.018,-0.112,1.903,-2.015,,-1.481,,0.557,,,
03/31/2009,55.714,35.135,11.423,18.131,,-9.203,4.488,22.846,-8.975,-4.889,-4.086,0.0,-7.773,-5.74,0.0,-5.74,-1.271,0.001,0.0,0.001,0.0,-1.272,0.0,-1.272,0.0,0.0,0.0,0.0,0.0,-0.762,0.0,-0.762,0.0,0.0,-41.758,-24.553,-17.54,0.283,1.126,-0.843,0.0,0.052,0.0,6.183,,,
06/30/2009,0.112656,53.274,0.022049,-53.158944,,-0.007057,0.008866,-53.160753,-0.024449,-0.005328,-0.019121,0.0,-0.029872,-0.007668,0.0,-0.007668,-0.001277,0.0,0.0,0.0,0.0,-0.001277,0.0,-0.001277,0.0,0.0,0.0,,,-0.020927,0.0,-0.020927,0.0,0.0,-0.085098,-0.049233,-0.03207,-0.001422,0.00492,-0.006342,,-0.002373,,-0.002314,,,
09/30/2009,200.732,56.986,32.883,119.456,,-9.793,12.939,116.31,-8.593,-8.793,0.2,0.0,-35.325,-9.964,0.0,-9.964,-1.282,0.001,0.0,0.001,0.0,-1.283,0.0,-1.283,0.0,0.0,0.0,,,-24.079,0.0,-24.079,0.0,0.0,-149.844,-73.912,-62.31,-13.155,5.651,-18.806,,-0.467,,15.563,,,
12/31/2009,73.857,51.898,9.33,21.287,,15.043,4.536,1.708,-8.658,-4.836,-3.822,0.0,-16.242,-16.246,0.0,-16.246,0.257,0.362,0.0,0.362,0.0,-0.105,0.0,-0.105,0.0,0.0,0.0,0.0,0.0,-0.253,0.0,-0.253,0.0,0.0,-28.164,-24.587,-7.959,0.721,2.017,-1.296,0.0,3.661,0.0,29.451,,,
03/31/2010,33.419,42.007,8.642,7.779,,0.946,5.074,1.759,-25.009,-2.774,-22.235,0.0,-3.305,2.169,3.298,-1.129,-0.317,0.105,0.0,0.105,0.0,-0.422,0.0,-0.422,0.0,,,,,-5.157,0.0,-5.157,0.0,0.0,-78.993,-154.454,72.462,2.084,2.642,-0.558,,0.915,,-48.879,,,
06/30/2010,99.732,92.47,17.234,24.742,,10.879,9.572,4.291,-34.714,-2.809,-31.905,0.0,-91.54,-0.268,3.298,-3.566,-50.426,0.337,0.0,0.337,0.0,-50.763,0.0,-50.763,0.0,-2.914,-2.914,,,-37.932,0.0,-37.932,0.0,0.0,107.298,-179.224,294.137,-3.19,2.93,-6.12,,-4.425,,115.49,,,
09/30/2010,170.991,43.056,25.348,126.199,,14.003,13.537,98.659,-23.612,-3.448,-20.164,0.0,-105.098,-1.828,3.298,-5.126,-12.8,45.402,,,,-58.202,,,,-44.343,-44.343,,,-46.127,0.0,-46.127,0.0,0.0,66.339,-203.951,281.263,-5.904,3.385,-9.289,,-5.069,,132.232,,,
