Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/1989,21.059,,,-12.922,,8.137,,-4.383,,,,3.754,1.065,,0.003,,0.0,-1.068,4.819,-1.06,3.759,0.0,,,3.759,0.0,3.759,0.0,,3.759,3.759,,244.302755,0.014815,0.014815,,244.302755,0.014815,0.014815,0.014815,
09/30/1989,23.153,,,-14.837,,8.316,,-4.391,,,,3.925,1.952,,0.003,,0.0,-1.955,5.877,-1.293,4.584,0.0,,,4.584,0.0,4.584,0.0,,4.584,4.584,,244.485008,0.019259,0.019259,,244.485008,0.019259,0.019259,0.019259,
12/31/1989,24.101,,,-14.67,,9.431,,-4.226,,,,5.205,6.476,,0.003,,0.0,-6.479,11.681,-3.489,8.192,0.0,,,8.192,0.0,8.192,0.0,,8.192,8.192,,244.991238,0.034074,0.034074,,244.991238,0.034074,0.034074,0.034074,
03/31/1990,27.101999,,,-16.031,,11.070999,,-3.656,,,,7.415,2.372,,0.003,,0.0,-2.375,9.787,-0.112,9.675,0.0,,,9.675,0.0,9.675,0.0,,9.675,9.675,,244.322993,0.038519,0.038519,0.038519,244.322993,0.038519,0.038519,0.038519,
06/30/1990,26.464001,,,,,,,,,,,,,,,,,,,,,,,,,,7.617,,,7.617,7.617,,245.099256,0.02963,0.02963,,245.099256,0.02963,0.02963,0.02963,
09/30/1990,24.254,,,,,,,,,,,,,,,,,,,,,,,,,,7.761,,,7.761,7.761,,245.112748,0.02963,0.02963,,245.112748,0.02963,0.02963,0.02963,
12/31/1990,26.516001,,,-14.877,,11.639001,,-7.149,,,,4.49,5.35,,0.101,,,-5.451,9.84,-1.557,8.283,,,,8.283,,8.283,,,8.283,8.283,,257.951251,0.032593,0.032593,,257.951251,0.032593,0.032593,0.032593,
03/31/1991,27.290001,,,,,,,,,,,27.290001,,,,,,,,,27.290001,,,,,,9.290999,,,9.290999,9.290999,,244.45125,0.035556,0.035556,0.035556,244.45125,0.035556,0.035556,0.035556,
06/30/1991,27.872999,,,-15.133,,12.739999,,-7.553,,,,5.187,5.752,,0.099,,,-5.851,10.939,-2.056,8.883,,,,8.883,,8.883,,,8.883,8.883,,257.762252,0.034074,0.034074,,257.762252,0.034074,0.034074,0.034074,
09/30/1991,30.378,,,-16.506001,,13.872,,-8.593,,,,5.279,5.379,,0.185,,,-5.564,10.658,-2.017,8.641,,,,8.641,,8.641,,,8.641,8.641,,257.782491,0.032593,0.032593,,257.782491,0.032593,0.032593,0.032593,
12/31/1991,34.883999,,,-19.237,,15.646999,,-9.678,,,,5.969,6.529,,0.062,,,-6.591,12.498,-2.236,10.262,,,,10.262,,10.262,,,10.262,10.262,,258.1875,0.039852,0.039852,,258.1875,0.039852,0.039852,0.039852,
03/31/1992,38.800999,,,-19.000999,,19.8,,-9.893,,,,9.907,6.14,,0.008,,,-6.148,16.047,-3.719,12.328,,,,12.328,,12.328,,,12.328,12.328,,258.808493,0.048741,0.048741,0.048741,258.808493,0.048741,0.048741,0.048741,
06/30/1992,38.839001,,,-19.266001,,19.573,,-10.218,,,,9.355,4.854,,0.009,,,-4.863,14.208999,-2.856,11.353,,,,11.353,,11.353,,,11.353,11.353,,259.314749,0.044444,0.044444,,259.314749,0.044444,0.044444,0.044444,
