Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1996,422.445007,0.469,0.469,0.0,85.887001,,,117.095001,,,,,7.674,,,,,211.125,178.584,210.104996,-31.521,0.0,,,32.736,,,,,,32.736,211.32,,55.646999,55.646999,,,,85.852997,,,,,41.006001,,,,41.006001,182.505997,52.59,,,,46.359001,,,46.359001,98.949001,281.454998,0.0,214.376999,,,0.0,,-73.387001,140.989998,0.0,140.989998,422.444996,
06/30/1996,443.056,7.179,7.179,0.0,93.141998,,,116.994003,,,,,11.208,,,,,228.522995,179.399994,214.830994,-35.431,0.0,,,35.132999,,,,,,35.132999,214.532993,,49.438999,49.438999,,,,4.204,,,,,47.956,,,,47.956,101.598999,11.035,,,,47.271999,,,47.271999,58.306999,159.905998,0.0,346.777008,,,0.0,,-63.626999,283.150009,0.0,283.150009,443.056007,
09/30/1996,476.257996,2.22,2.22,0.0,99.247002,,,140.651993,,,,,10.333,,,,,252.451996,181.352997,220.565002,-39.212002,0.0,,,42.452999,,,,,,42.452999,223.805996,,66.103996,66.103996,,,,2.636,,,,,50.784006,,,,50.784006,119.524002,11.268,,,,46.249001,,,46.249001,57.517,177.041002,0.0,346.085999,,,0.0,,-50.137001,295.948997,3.268,299.216997,476.258,
12/31/1996,703.018005,86.526001,86.526001,0.0,114.099998,,,155.488007,,,,,14.904,,,,,371.018005,219.569,263.617004,-44.048,0.0,,,112.431,,,,,,112.431,332.0,,49.627998,49.627998,,,,10.038,,,,,53.158998,,,,53.158998,112.824997,12.72,,,,45.799999,,,45.799999,58.52,171.344996,0.0,346.447998,,,0.0,,-20.232,326.215998,205.457001,531.672998,703.017995,
03/31/1997,720.758972,78.496002,78.496002,0.0,135.442001,,,161.802994,,,,,11.849,,,,,387.589996,227.645004,277.127014,-49.481998,0.0,,,105.524002,,,,,,105.524002,333.169006,,55.604,55.604,,,,6.541,,,,,58.439,,,,58.439,120.584,12.082,,,,43.442001,,,43.442001,55.524001,176.108001,0.0,346.652008,,,0.0,,-7.837,338.815008,205.835999,544.651007,720.759007,
06/30/1997,748.271973,83.703003,83.703003,0.0,136.514008,,,166.397003,,,,,10.795,,,,,397.408997,242.151993,296.235992,-54.084,0.0,,,108.710999,,,,,,108.710999,350.862991,,50.195999,50.195999,,,,4.424,,,,,70.681004,,,,70.681004,125.301003,12.592,,,,43.182999,,,43.182999,55.774999,181.076001,0.0,346.696991,,,0.0,,13.883,360.579991,206.615997,567.195989,748.27199,
09/30/1997,754.705994,68.789001,68.789001,0.0,136.671005,,,168.850006,,,,,26.327,,,,,400.636993,234.606995,285.444,-50.837002,0.0,,,119.461998,,,,,,119.461998,354.068993,,52.426998,52.426998,,,,6.223,,,,,58.630001,,,,58.630001,117.279999,12.141,,,,38.828999,,,38.828999,50.969998,168.249997,0.0,346.872009,,,0.0,,32.506001,379.37801,207.078003,586.456013,754.70601,
12/31/1997,793.059021,68.957001,68.957001,0.0,155.677994,,,153.817993,,,,,35.316002,,,,,413.769012,262.425995,314.953003,-52.527,0.0,,,116.863998,,,,,,116.863998,379.289993,,59.500999,59.500999,,,,6.024,,,,,58.291002,,,,58.291002,123.816002,11.447,,,,40.936001,,,40.936001,52.383,176.199002,0.0,347.037994,,,0.0,,61.909,408.946995,207.912994,616.859989,793.058991,
03/31/1998,852.218994,117.377998,117.377998,0.0,145.214005,,,163.233002,,,,,30.285999,,,,,456.110992,278.743011,336.748993,-58.006001,0.0,,,117.364998,,,,,,117.364998,396.108009,,54.562,54.562,,,,2.638,,,,,63.874997,,,,63.874997,121.074997,51.438,,,,42.881001,,,42.881001,94.319,215.393997,0.0,347.726013,,,0.0,,80.255997,427.98201,208.843002,636.825012,852.219009,
06/30/1998,879.18103,80.325996,80.325996,0.0,149.507004,,,195.552994,,,,,28.129999,,,,,453.515991,297.838989,362.959015,-65.120003,0.0,,,127.825996,,,,,,127.825996,425.664986,,74.319,74.319,,,,5.776,,,,,68.841996,,,,68.841996,148.936996,39.412998,,,,42.118,,,42.118,81.530998,230.467995,0.0,347.726013,,,0.0,,91.716003,439.442017,209.270996,648.713013,879.181007,
