Date,Revenue,Net Premiums Earned,Net Premiums Earned (NL),Net Premiums Earned (L),Other Premiums Earned (NL & L),Investment Income,Other Operating Income,Policy Charges & Fees,Other Income,Claims & Losses,Claims & Losses (NL),Claims & Losses (L),LT Charges (L),Underwriting Expense & Acq Cost,Underwriting & Acq Cost (NL),Underwriting Cost (NL),Other Cost (NL),Underwriting & Acq Cost (L),Underwriting Cost (L),Other Cost (L),Other Cost (NL & L),Other Operating Expense,Operating Income (Loss),(Income) Loss from Affiliates,Interest Expense,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
02/28/1991,162.651001,95.205002,,,,67.446001,0.0,,,-73.043999,73.043999,0.0,0.0,-14.898,,,,,,,,,74.709,,,0.0,74.709,-0.369,74.339996,0.0,,,74.34,0.0,74.339996,0.0,,74.339996,74.339996,,108.061996,0.69,0.69,,108.061996,0.69,0.69,0.69,
05/31/1991,155.128998,98.306999,,,,56.822,0.0,,,-76.228996,76.228996,0.0,0.0,-16.603001,,,,,,,,,62.297001,,,0.0,62.297001,-0.608,61.688999,0.0,,,61.689001,0.0,61.688999,0.0,,61.688999,61.688999,,108.225998,0.57,0.57,,108.225998,0.57,0.57,0.57,
08/31/1991,144.694,97.524002,,,,47.170002,0.0,,,-74.763,74.763,0.0,0.0,-15.837,,,,,,,,,54.094002,,,0.0,54.094002,0.158,54.251999,0.0,,,54.252002,0.0,54.251999,0.0,,54.251999,54.251999,,111.501999,0.485,0.485,,111.501999,0.485,0.485,0.485,
11/30/1991,168.852005,97.224998,,,,71.626999,0.0,,,-76.292999,76.292999,0.0,0.0,-15.692,,,,,,,,,76.866997,,,0.0,76.866997,-0.182,76.684998,0.0,,,76.684997,0.0,76.684998,0.0,,76.684998,76.684998,,114.433998,0.675,0.675,,114.433998,0.675,0.675,0.675,
02/29/1992,161.813004,95.921997,,,,65.891001,0.0,,,-73.525002,73.525002,0.0,0.0,-15.81,,,,,,,,,72.477997,,,0.0,72.477997,-0.351,72.126999,0.0,,,72.126997,0.0,72.126999,0.0,,72.126999,72.126999,,115.222,0.625,0.625,,115.222,0.625,0.625,0.625,
05/31/1992,154.587997,101.651001,,,,52.936998,0.0,,,-78.456001,78.456001,0.0,0.0,-15.339,,,,,,,,,60.792999,,,0.0,60.792999,-0.143,60.650002,0.0,,,60.649999,0.0,60.650002,0.0,,60.650002,60.650002,,113.431999,0.535,0.535,,113.431999,0.535,0.535,0.535,
08/31/1992,178.289001,105.257004,,,,73.032,0.0,,,-80.413002,80.413002,0.0,0.0,-15.645,,,,,,,,,82.231003,,,0.0,82.231003,-0.367,81.863998,0.0,,,81.864003,0.0,81.863998,0.0,,81.863998,81.863998,,112.505997,0.73,0.73,,112.505997,0.73,0.73,0.73,
11/30/1992,171.705002,106.226997,,,,65.477998,0.0,,,-83.931,83.931,0.0,0.0,-16.195999,,,,,,,,,71.578003,,,0.0,71.578003,-0.095,71.483002,0.0,,,71.483003,0.0,71.483002,0.0,,71.483002,71.483002,,115.472,0.615,0.615,0.615,115.472,0.615,0.615,0.615,
02/28/1993,187.806,107.014999,,,,80.791,0.0,,,-82.907997,82.907997,0.0,0.0,-15.206,,,,,,,,,89.692001,,0.0,1.178,90.870001,-0.358,90.512001,0.0,,,90.512001,0.0,90.512001,0.0,,90.512001,90.512001,,112.428001,0.805,0.805,,112.428001,0.805,0.805,0.805,
05/31/1993,201.477997,113.184998,,,,88.292999,0.0,,,-87.815002,87.815002,0.0,0.0,-16.117001,,,,,,,,,97.545998,,0.0,3.587,101.132998,-0.158,100.974998,0.0,,,100.974998,0.0,100.974998,0.0,,100.974998,100.974998,,111.202003,0.91,0.91,,111.202003,0.91,0.91,0.91,
08/31/1993,199.712006,119.209999,,,,80.501999,0.0,,,-91.946999,91.946999,0.0,0.0,-16.487,,,,,,,,,91.278,,0.0,8.02,99.298,-0.141,99.156998,0.0,,,99.157,0.0,99.156998,0.0,,99.156998,99.156998,,110.832001,0.895,0.895,,110.832001,0.895,0.895,0.895,
11/30/1993,192.520004,117.404999,,,,75.115002,0.0,,,-90.585999,90.585999,0.0,0.0,-18.586,,,,,,,,,83.348,,0.0,5.436,88.784,-0.212,88.571999,0.0,,,88.572,0.0,88.571999,0.0,,88.571999,88.571999,,110.442002,0.8,0.8,0.8,110.442002,0.8,0.8,0.8,
02/28/1994,201.227005,137.798996,,,,63.428001,0.0,,,-106.116997,106.116997,0.0,0.0,-19.454,,,,,,,,,75.655998,,0.0,4.315,79.970998,-0.396,79.574997,0.0,,,79.574998,0.0,79.574997,0.0,,79.574997,79.574997,,108.947998,0.73,0.73,,108.947998,0.73,0.73,0.73,
05/31/1994,138.244003,127.976997,,,,10.266998,0.0,,,-102.712997,102.712997,0.0,0.0,-19.871,,,,,,,,,15.66,,0.0,3.588,19.248,-0.339,18.909,0.0,,,18.909,0.0,18.909,0.0,,18.909,18.909,,108.734001,0.175,0.175,,108.734001,0.175,0.175,0.175,
08/31/1994,162.923004,129.164001,,,,33.758999,0.0,,,-100.198997,100.198997,0.0,0.0,-19.275,,,,,,,,,43.449001,,0.0,5.74,49.189001,-0.196,48.993,0.0,,,48.993001,0.0,48.993,0.0,,48.993,48.993,,108.718002,0.45,0.45,,108.718002,0.45,0.45,0.45,
11/30/1994,105.848,126.237,,,,-20.389,0.0,,,-98.142998,98.142998,0.0,0.0,-22.618999,,,,,,,,,-14.914,,0.0,11.385,-3.529,0.006,-3.523,0.0,,,-3.523,0.0,-3.523,0.0,,-3.523,-3.523,,108.372002,-0.035,-0.035,-0.035,108.372002,-0.035,-0.035,-0.035,
