Date,Revenue From Electric,Revenue from Gas,Revenue from Water,Other Revenue,Revenue,Electric Production Fuel Cost,Purchased Power Cost,Purchased Gas/Water Cost,Fuel Expense & Purchased Power,Maintenance Expenses,Depreciation Expense,Taxes Other Than Income Taxes,Other Operating Expense,"Depreciation, Operating & Maintenance",Operating Income or Losses,AFUDC - Equity,Net Non-Operating Losses (Gains),Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Total Interest Expense,Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Income Available to Shareholders,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,254.813004,0,0,0,254.813004,-99.607002,20.556,0,-79.051003,-18.981001,-23.855,-10.099,-42.16,-95.095001,80.667,1.021,-1.301,-14.57,0.666,-0.153,-14.057,66.33,-25.488001,40.841999,0,0,40.841999,-2.724,38.117999,38.117999,0.7,0.7,0.7,54.227001,,,,,
06/30/1990,236.395996,0,0,0,236.395996,-94.704002,13.165,0,-81.539001,-22.236,-25.466999,-9.006,-42.792,-99.500999,55.355999,1.213,0.854,-14.706,0.835,-0.402,-14.273,43.149999,-16.834999,26.315001,0,0,26.315001,-2.626,23.689001,23.689,0.44,0.44,0.44,54.297001,,,,,
09/30/1990,257.442993,0,0,0,257.442993,-100.513,12.701,0,-87.811996,-21.707001,-26.476,-7.999,-43.835999,-100.017998,69.612999,1.344,-2.991,-14.475,0.961,-0.246,-13.76,54.205999,-21.496,32.709999,0,0,32.709999,-0.246,32.463999,32.463998,0.61,0.61,0.61,54.352001,,,,,
01/01/1991,249.164993,0,0,0,249.164993,-97.057999,,0,-97.057999,-26.702999,-26.948,-6.997,-40.690999,-110.469002,50.768002,1.624,1.653,-14.297,0.659,-0.33,-13.968,40.077002,-12.822,27.254999,0,0,27.254999,-2.133,25.121999,25.122002,0.45,0.45,0.45,54.411999,,,,,
03/31/1991,283.997986,0,0,0,283.997986,-100.959,-14.117,0,-115.075996,-18.599001,-27.368,-10.455,-44.257999,-100.68,68.241997,1.398,-0.172,-14.312,0.894,-0.592,-14.01,55.457997,-19.857,35.601002,0,0,35.601002,-2.592,33.009002,33.008996,0.61,0.61,0.61,54.494999,,,,,
06/30/1991,277.617004,0,0,0,277.617004,-100.219002,-14.512,0,-114.731003,-20.426001,-27.625999,-10.086,-47.264999,-105.403,57.483002,0.861,0.101,-14.313,0.53,-0.365,-14.148,44.297002,-15.806,28.490999,0,0,28.490999,-2.525,25.965999,25.966002,0.47,0.47,0.47,54.564999,,,,,
09/30/1991,294.924988,0,0,0,294.924988,-103.859001,-13.507,0,-117.365997,-23.073999,-28.093,-11.368,-51.557999,-114.093002,63.466,1.119,0.899,-14.31,0.715,-0.411,-14.006,51.478,-20.473,31.004999,0,0,31.004999,-2.526,28.478999,28.479,0.52,0.52,0.52,54.629002,,,,,
12/31/1991,265.731995,0,0,0,265.731995,-96.860001,-11.686,0,-108.545998,-24.893999,-28.341,-9.694,-54.008999,-116.938004,40.248001,3.04,-135.432007,-14.837,1.504,-0.653,-13.986,-106.130006,40.320999,-65.808998,0,0,-65.808998,-2.526,-68.334998,-68.335007,-1.25,-1.25,-1.25,54.699001,,,,,
03/31/1992,272.903015,0,0,0,272.903015,-97.807999,-5.899,0,-103.707001,-20.08,-28.622,-11.4,-50.59,-110.692001,58.504002,1.899,-0.378,-15.034,1.222,-3.029,-16.841,43.184002,-16.049,27.135,0,0,27.135,-2.244,24.891,24.891002,0.45,0.45,0.45,54.804001,,,,,
06/30/1992,257.820007,0,0,0,257.820007,-94.163002,-4.264,0,-98.427002,-21.525,-28.936001,-11.368,-50.994999,-112.823997,46.569,2.243,-0.277,-14.78,1.467,-3.583,-16.896,31.639,-11.611,20.028,0,0,20.028,-1.681,18.347,18.347,0.34,0.34,0.34,54.922001,,,,,
09/30/1992,273.794006,0,0,0,273.794006,-98.93,-1.778,0,-100.708,-22.187,-29.497999,-11.251,-49.005001,-111.941002,61.145,-0.696,0.485,-16.018999,1.061,-1.6,-16.558001,44.376,-18.674999,25.701,0,0,25.701,-1.68,24.021,24.021001,0.43,0.43,0.43,55.112999,,,,,
12/31/1992,276.53299,0,0,0,276.53299,-101.387001,-1.788,0,-103.175003,-22.254,-30.035999,-8.509,-48.997002,-109.795998,63.562,1.387,0.116,-16.627001,1.922,-1.739,-16.444,48.621,-18.045,30.576,0,0,30.576,-1.681,28.895,28.895,0.52,0.52,0.52,55.261002,0.52,0.52,0.52,55.261002,
03/31/1993,289.95401,0,0,0,289.95401,-104.619003,-2.719,0,-107.337997,-20.052999,-30.280001,-11.582,-49.966999,-111.882004,70.734001,2.092,-1.288,-16.775,2.11,-1.825,-16.49,55.048001,-20.146,34.902,0,0,34.902,-2.301,32.601,32.601001,0.59,0.59,0.59,55.416,,,,,
06/30/1993,223.003006,0,0,0,223.003006,-89.862999,-4.575,0,-94.438004,-20.924999,-30.937,-10.996,-50.02,-112.877998,15.687,2.322,19.409,-17.797001,2.85,-0.973,-15.92,21.498001,-7.847,13.651,0,0,13.651,-3.116,10.535,10.535001,0.19,0.19,0.19,55.566002,,,,,
09/30/1993,294.653992,0,0,0,294.653992,-101.424004,-7.896,0,-109.32,-22.402,-32.556,-11.572,-63.619999,-130.149994,55.183998,1.862,2.915,-17.988001,2.113,-1.194,-17.069,42.891998,-16.173,26.719,0,0,26.719,-3.541,23.178,23.177998,0.41,0.41,0.41,55.660999,,,,,
12/31/1993,280.756012,0,0,0,280.756012,-90.021004,-9.083,0,-99.103996,-20.639999,-33.048,-11.631,-52.755001,-118.073997,63.577999,4.897,-7.641,-16.386,2.081,-1.482,-15.787,45.046999,-11.063,33.984001,0,0,33.984001,-3.867,30.117001,30.117,0.54,0.54,0.54,55.805,,,,,
03/31/1994,303.375,0,0,0,303.375,-107.537003,-14.66,0,-122.196999,-20.059999,-33.431999,-12.825,-49.105,-115.421997,65.755997,3.072,-0.398,-16.524,2.534,-2.463,-16.452999,51.976998,-19.228001,32.749001,0,0,32.749001,-3.296,29.453001,29.452997,0.52,0.52,0.52,56.105999,,,,,
06/30/1994,281.554993,0,0,0,281.554993,-96.167,-13.566,0,-109.733002,-22.316,-33.771,-12.778,-55.067001,-123.931999,47.889999,0.367,0.264,-17.098,2.243,-3.694,-18.549,29.972,-11.868,18.104,0,0,18.104,-3.295,14.809,14.809,0.27,0.27,0.27,56.285,,,,,
09/30/1994,283.13501,0,0,0,283.13501,-102.137001,-8.052,0,-110.189003,-25.413,-34.209,-12.984,-53.374001,-125.980003,46.966,1.813,0.897,-17.283001,2.539,-5.457,-20.201,29.474999,-10.873,18.601999,0,0,18.601999,-3.296,15.305999,15.305999,0.27,0.27,0.27,56.398998,,,,0.31,
