Date,Revenue,Net Premiums Earned,Net Premiums Earned (NL),Net Premiums Earned (L),Other Premiums Earned (NL & L),Investment Income,Other Operating Income,Policy Charges & Fees,Other Income,Claims & Losses,Claims & Losses (NL),Claims & Losses (L),LT Charges (L),Underwriting Expense & Acq Cost,Underwriting & Acq Cost (L),Underwriting Cost (L),Amort Def Acq Cost (L),Operating Income (Loss),(Income) Loss from Affiliates,Interest Expense,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2001,6747.0,2602.0,,,,2618.0,1527.0,,,-3767.0,275.0,3076.0,416.0,-1017.0,,,,876.0,,-108.0,-45.0,723.0,-286.0,437.0,0.0,,,437.0,0.0,437.0,0.0,0.0,437.0,437.0,,583.599976,0.69,0.69,0.51,583.599976,0.69,0.69,0.51,
06/30/2001,7168.0,3170.0,,,,2346.0,1652.0,,,-4432.0,329.0,3647.0,456.0,-1488.0,,,,373.0,,-100.0,-117.0,156.0,39.0,195.0,0.0,,,195.0,0.0,195.0,0.0,0.0,195.0,195.0,,583.599976,0.43,0.43,0.45,583.599976,0.43,0.43,0.45,
09/30/2001,6356.0,3193.0,,,,1678.0,1485.0,,,-4546.0,361.0,3719.0,466.0,-1143.0,,,,-346.0,,-70.0,-77.0,-493.0,216.0,-277.0,3.0,,,-280.0,0.0,-280.0,0.0,0.0,-280.0,-280.0,,583.599976,0.09,0.09,0.18,583.599976,0.09,0.09,0.18,
12/31/2001,6810.0,3365.0,,,,2526.0,1624.0,,,-4158.0,730.0,-226.0,3654.0,-1754.0,,,,-689.0,,-82.0,162.0,-609.0,87.0,-522.0,-16.0,,,-506.0,0.0,-506.0,0.0,0.0,-506.0,-506.0,,583.7,-0.87,-0.87,0.18,583.7,-0.87,-0.87,0.18,
03/31/2002,6714.0,3222.0,493.0,,2729.0,1972.0,1520.0,,,-4324.0,368.0,3508.0,448.0,-1135.0,,,,300.0,,-56.0,0.0,244.0,-91.0,153.0,0.0,,,153.0,0.0,153.0,0.0,0.0,153.0,153.0,69.0,586.315048,0.260952,0.260952,0.38,587.10936,0.260599,0.260599,0.38,
06/30/2002,6564.0,3350.0,,3350.0,0.0,1771.0,1443.0,,,-4532.0,,3392.0,1140.0,-2135.0,,,,-103.0,,,0.0,-103.0,38.0,-65.0,3.0,,,-68.0,0.0,-68.0,0.0,0.0,-68.0,-68.0,313.3,585.92541,-0.116056,-0.110936,0.423774,587.238339,-0.116056,-0.110947,0.422567,
09/30/2002,6597.0,3232.0,516.0,3232.0,-516.0,2232.0,1378.0,,,-3681.0,0.0,3213.0,468.0,-2099.0,,,,129.0,,-50.0,0.0,79.0,159.0,288.0,-14.0,,,252.0,0.0,302.0,0.0,0.0,302.0,302.0,101.4,575.108,0.525119,0.500776,0.68,576.792,0.523586,0.499313,0.68,
12/31/2002,6428.0,3249.0,,6471.0,-3222.0,1479.0,1455.0,,,-5331.0,,2897.0,2434.0,-1343.0,,,,-246.0,,,0.0,-140.0,83.0,-107.0,86.0,,,-143.0,0.0,-193.0,0.0,0.0,-193.0,-193.0,-483.7,562.921508,-0.334704,-0.18585,-1e-06,564.796276,-0.334704,-0.18585,-1e-06,
03/31/2003,6785.0,3311.0,453.0,3311.0,-453.0,2188.0,1353.0,,,-4531.0,0.0,3434.0,1097.0,-1898.0,,,,356.0,,-42.0,0.0,314.0,-102.0,212.0,16.0,,,196.0,0.0,196.0,0.0,0.0,196.0,196.0,43.5,554.42,0.353523,0.382382,0.462382,556.525,0.352185,0.380935,0.460935,
06/30/2003,7324.0,3469.0,,3469.0,0.0,2331.0,1524.0,,,-4489.0,,3373.0,1116.0,-2154.0,,,,681.0,,,-455.0,226.0,-43.0,183.0,-13.0,,,196.0,0.0,196.0,0.0,0.0,196.0,196.0,173.75,549.4,0.356753,0.333091,0.649345,549.4,0.356753,0.333091,0.625403,
