Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1991,19.489,7.135,6.889,0.246,4.353,,,4.518,,,,,0.522,,,,,,16.528,2.415,6.143,-3.728,0.0,,0.546,,,,0.546,2.961,,1.663,1.663,,,,0.055,,,,,,3.233,,,3.233,4.951,0.012,,,,,0.0,,,,,,0.0,0.012,4.963,3.298,18.589001,,,0.0,,-7.361,14.526001,0.0,14.526001,19.489001,
06/30/1991,35.522999,20.996,20.75,0.246,4.633,,,4.682,,,,,0.658,,,,,,30.969,3.989,7.803,-3.814,0.0,,0.565,,,,0.565,4.554,,1.116,1.116,,,,0.041,,,,,,5.685,,,5.685,6.842,0.0,,,,,0.0,,,,,,0.0,0.0,6.842,0.0,35.431999,,,0.0,,-6.751,28.680999,0.0,28.680999,35.522999,
09/30/1991,36.151001,19.063,10.302,8.761,4.536,,,4.576,,,,,0.643,,,,,,28.818001,6.821,10.757,-3.936,0.0,,0.512,,,,0.512,7.333,,2.581,2.581,,,,0.027,,,,,,3.894,,,3.894,6.502,0.0,,,,,0.0,,,,,,0.0,0.0,6.502,0.0,35.397999,,,0.0,,-5.749,29.648999,0.0,29.648999,36.150999,
12/31/1991,38.088001,14.771,9.33,5.441,5.102,,,5.125,,,,,1.397,,,,,,26.395,10.974,14.851,-3.877,0.0,,0.719,,,,0.719,11.693,,3.106,3.106,,,,0.011,,,,,,3.495,,,3.495,6.612,0.01,,,,,0.0,,,,,,0.0,0.01,6.622,0.0,36.179001,,,0.0,,-4.713,31.466001,0.0,31.466001,38.088001,
03/31/1992,46.511002,4.708,2.164,2.544,7.747,,,10.261,,,,,1.387,,,,,,24.103001,11.435,15.77,-4.335,0.0,,10.973,,,,10.973,22.408,,5.372,5.372,,,,0.009,,,,,,4.001,,,4.001,9.382,0.008,,,,,0.0,,,,,,0.0,0.008,9.39,0.0,41.355,,,0.0,,-4.234,37.120999,0.0,37.120999,46.510999,
06/30/1992,77.149002,31.748,11.502,20.246,9.999,,,11.637,,,,,1.516,,,,,,54.900002,11.364,16.158001,-4.794,0.0,,10.885,,,,10.885,22.249001,,4.9,4.9,,,,0.004,,,,,,4.94,,,4.94,9.844,0.008,,,,,0.0,,,,,,0.0,0.008,9.852,0.0,70.289001,,,0.0,,-2.992,67.297001,0.0,67.297001,77.149001,
09/30/1992,77.856003,31.616001,13.225,18.391001,10.466,,,12.396,,,,,1.288,,,,,,55.765999,11.423,16.715,-5.292,0.0,,10.667,,,,10.667,22.09,,4.318,4.318,,,,0.005,,,,,,4.755,,,4.755,9.078,0.007,,,,,0.0,,,,,,0.0,0.007,9.085,0.0,70.356003,,,0.0,,-1.585,68.771003,0.0,68.771003,77.856003,
12/31/1992,81.818001,31.931999,17.976999,13.955,12.612,,,13.059,,,,,1.563,,,,,,59.166,11.973,17.908001,-5.935,0.0,,10.679,,,,10.679,22.651999,,4.439,4.439,,,,0.0,,,,,,5.703,,,5.703,10.142,0.0,,,,,0.0,,,,,,0.0,0.0,10.142,0.0,71.615997,,,0.0,,0.061,71.676997,0.0,71.676997,81.818998,
03/31/1993,85.059998,33.948,20.004,13.944,14.05,,,13.239,,,,,1.45,,,,,,62.687,11.979,18.556,-6.577,0.0,,10.394,,,,10.394,22.373,,4.95,4.95,,,,0.005,,,,,,6.265,,,6.265,11.22,0.004,,,,,0.0,,,,,,0.0,0.004,11.224,0.0,72.321999,,,0.0,,1.514,73.835999,0.0,73.835999,85.059999,
06/30/1993,88.299385,35.852089,21.517145,14.334944,16.146858,,,12.73456,,,,,1.513997,,,,,,66.247505,12.166869,19.099899,-6.93303,0.0,,9.885014,,,,9.885014,22.051883,,5.902995,5.902995,,,,0.004515,,,,,,6.474734,,,6.474734,12.382244,0.003027,,,,,0.0,,,,,,0.0,0.003027,12.385271,0.0,72.510437,,,0.0,,3.403679,75.914116,0.0,75.914116,88.299387,
09/30/1993,92.985687,37.071918,21.604191,15.467727,18.234812,,,13.94198,,,,,2.159632,,,,,,71.40834,12.046245,19.598783,-7.552538,0.0,,9.531104,,,,9.531104,21.577349,,5.470912,5.470912,,,,0.0,,,,,,8.48813,,,8.48813,13.959042,0.0,,,,,0.0,,,,,,0.0,0.0,13.959042,0.0,73.553467,,,0.0,,5.473181,79.026648,0.0,79.026648,92.985689,
12/31/1993,97.967003,39.400999,18.941999,20.459,21.389,,,14.619,,,,,1.41,,,,,,76.818001,11.953,20.038,-8.085,0.0,,9.196,,,,9.196,21.149,,7.182,7.182,,,,0.0,,,,,,7.154,,,7.154,14.336,0.0,,,,,0.0,,,,,,0.0,0.0,14.336,0.0,73.970001,,,0.0,,9.661,83.631001,0.0,83.631001,97.967002,
03/31/1994,106.154999,41.518,22.083,19.434999,24.416,,,18.250999,,,,,1.274,,,,,,85.458,12.008,20.704,-8.696,0.0,,8.689,,,,8.689,20.697001,,9.015,9.015,,,,0.0,,,,,,10.029,,,10.029,19.044001,0.0,,,,,0.0,,,,,,0.0,0.0,19.044001,0.0,74.425003,,,0.0,,12.686,87.111003,0.0,87.111003,106.155004,
06/30/1994,113.033997,46.433001,22.424,24.009001,23.591,,,20.013,,,,,1.354,,,,,,91.390999,12.559,21.9,-9.341,0.0,,9.084,,,,9.084,21.643,,10.192,10.192,,,,0.0,,,,,,12.398,,,12.398,22.59,0.0,,,,,0.0,,,,,,0.0,0.0,22.59,0.0,75.032997,,,0.0,,15.41,90.442997,0.0,90.442997,113.032997,
09/30/1994,116.684998,48.316,20.597,27.719,23.073999,,,20.846001,,,,,1.462,,,,,,93.697998,13.003,23.041,-10.038,0.0,,9.984,,,,9.984,22.987,,8.321,8.321,,,,0.0,,,,,,14.162,,,14.162,22.483,0.0,,,,,0.0,,,,,,0.0,0.0,22.483,0.0,75.358002,,,0.0,,18.844999,94.203001,0.0,94.203001,116.686001,
12/31/1994,121.740997,50.413,25.179001,25.233999,25.754,,,20.789,,,,,1.574,,,,,,98.529999,13.398,24.48,-11.082,0.0,,9.813,,,,9.813,23.210999,,9.182,9.182,,,,0.0,,,,,,12.773,,,12.773,21.955,0.0,,,,,0.0,,,,,,0.0,0.0,21.955,0.0,76.417,,,0.0,,23.368999,99.785999,0.0,99.785999,121.740999,
03/31/1995,135.917999,53.792999,34.674,19.118999,29.65,,,24.731001,,,,,1.819,,,,,,109.992996,16.190001,28.160999,-11.971,0.0,,9.735,,,,9.735,25.925,,13.234,13.234,,,,0.0,,,,,,17.202001,,,17.202001,30.436001,0.0,,,,,0.0,,,,,,0.0,0.0,30.436001,0.0,77.309998,,,0.0,,28.172001,105.481998,0.0,105.481998,135.917999,
06/30/1995,145.057007,48.225,31.455,16.77,34.154999,,,27.417,,,,,2.688,,,,,,112.485001,20.076,33.103001,-13.027,0.0,,12.496,,,,12.496,32.572001,,9.963,9.963,,,,1.687,,,,,,21.405999,,,21.405999,33.056,0.0,,,,,0.0,,,,,,0.0,0.0,33.056,0.0,78.955002,,,0.0,,33.046001,112.001003,0.0,112.001003,145.057003,
09/30/1995,302.841003,202.319,185.806,16.513,37.119999,,,25.413,,,,,2.105,,,,,,266.957001,23.91,38.000999,-14.091,0.0,,11.974,,,,11.974,35.884,,8.496,8.496,,,,1.687,,,,,,21.775,,,21.775,31.958,0.0,,,,,0.0,,,,,,0.0,0.0,31.958,0.0,233.121002,,,0.0,,37.762001,270.883003,0.0,270.883003,302.841003,
12/31/1995,312.540009,183.662006,149.253006,34.409,47.320999,,,28.193001,,,,,2.804,,,,,,261.980011,25.496,40.34,-14.844,13.626,,11.438,,,,11.438,50.56,,10.807,10.807,,,,1.687,,,,,,20.921001,,,20.921001,33.415001,0.0,,,,,0.0,,,,,,0.0,0.0,33.415001,0.0,234.460999,,,0.0,,44.664001,279.125,0.0,279.125,312.540001,
03/31/1996,324.494995,178.941006,128.684006,50.257,55.799999,,,33.431,,,,,8.066,,,,,,276.238007,25.877001,43.199001,-17.322001,11.382,,10.998,,,,10.998,48.257001,,14.021,14.021,,,,0.0,,,,,,21.763,,,21.763,35.784,0.0,,,,,0.0,,,,,,0.0,0.0,35.784,0.0,237.362,,,0.0,,51.348999,288.710999,0.0,288.710999,324.494999,
