Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1989,164.237,32.259001,16.749001,15.51,53.915001,,,41.688999,,,,,3.623,,,,,,131.485992,19.85,40.478001,-20.628,2.0,,10.901,,,,10.901,32.751,,8.442,8.442,,,,5.381,,,,,,29.553998,,,29.553998,43.376999,0.0,,,,,7.428,,,,7.428,7.428,50.804999,0,52.806,,,0.0,,60.625999,113.431999,0.0,113.431999,164.236998,
12/31/1989,164.414993,37.153,26.028,11.125,49.245998,,,44.146,,,,,3.868,,,,,,134.412994,20.024,42.323002,-22.299,,,9.978,,,,9.978,30.002,,6.376,6.376,,,,4.783,,,,,,28.982998,,,28.982998,40.141998,0.0,,,,,7.428,,,,7.428,7.428,47.569998,0,52.905998,,,0.0,,63.938999,116.844997,0.0,116.844997,164.414996,
03/31/1990,170.123993,35.671,15.4,20.271,54.209999,,,45.606998,,,,,3.259,,,,,,138.746994,19.538,43.5,-23.962,1.5,,10.339,,,,10.339,31.377,,6.743,6.743,,,,4.018,,,,,,32.663999,,,32.663999,43.424999,0.0,,,,,7.386,,,,7.386,7.386,50.810999,0,53.303001,,,0.0,,66.010002,119.313004,0.0,119.313004,170.124003,
06/30/1990,179.276001,42.099,32.263,9.836,52.056,,,44.611,,,,,6.083,,,,,,144.848999,24.334999,48.337002,-24.002001,,,10.092,,,,10.092,34.426999,,8.245,8.245,,,,3.58,,,,,,33.873002,,,33.873002,45.698002,0.0,,,,,11.442,,,,11.442,11.442,57.140002,0,53.778,,,0.0,,68.358002,122.136002,0.0,122.136002,179.276004,
10/01/1990,200.143997,32.702,15.021,17.681,53.458,,,48.047001,,,,,6.314,,,,,,140.520996,49.522999,75.657997,-26.135,,,10.1,,,,10.1,59.622999,,7.255,7.255,,,,4.501,,,,,,30.688,,,30.688,42.444,24.0,,,,,10.594,,,,10.594,34.594,77.038,0,54.144001,,,0.0,,68.961998,123.105999,0.0,123.105999,200.143999,
12/31/1990,189.401993,29.464001,26.464001,3.0,41.603001,,,47.07,,,,,10.142,,,,,,128.279007,48.365002,76.427002,-28.062,3.5,,9.258,,,,9.258,61.123002,,4.896,4.896,,,,5.798,,,,,,32.493001,,,32.493001,43.187,24.0,,,,,10.424,,,,10.424,34.424,77.611,0,54.213001,,,0.0,,57.577999,111.791,0.0,111.791,189.402,
03/31/1991,189.160004,22.674999,20.552999,2.122,47.492001,,,47.694,,,,,11.166,,,,,,129.026993,48.544998,76.032997,-27.488001,2.15,,9.438,,,,9.438,60.132998,,5.924,5.924,,,,4.52,,,,,,33.039002,,,33.039002,43.483002,24.0,,,,,9.691,,,,9.691,33.691,77.174002,0,54.771999,,,0.0,,57.214001,111.986,0.0,111.986,189.160002,
06/30/1991,198.022995,31.254,31.254,0.0,46.087002,,,47.942001,,,,,15.448,,,,,,140.731003,48.127998,72.920998,-24.792999,,,9.164,,,,9.164,57.291998,,7.433,7.433,,,,4.36,,,,,,37.822002,,,37.822002,49.615002,24.0,,,,,11.247,,,,11.247,35.247,84.862002,0,56.094002,,,-0.581,,57.648001,113.161003,0.0,113.161003,198.023005,
09/30/1991,198.820007,28.785,28.785,0.0,52.853001,,,49.868999,,,,,10.864,,,,,,142.371002,47.332001,74.887001,-27.555,,,9.117,,,,9.117,56.449,,7.126,7.126,,,,4.404,,,,,,37.978,,,37.978,49.507999,24.0,,,,,11.247,,,,11.247,35.247,84.754999,0,56.157001,,,-0.581,,58.489001,114.065002,0.0,114.065002,198.820002,
12/31/1991,198.878006,26.049999,26.049999,0.0,53.701,,,52.157001,,,,,10.894,,,,,,142.802002,47.292999,74.647003,-27.354,,,8.783,,,,8.783,56.075999,,9.627,9.627,,,,5.005,,,,,,32.997002,,,32.997002,47.629002,24.0,,,,,11.247,,,,11.247,35.247,82.876001,0,56.910999,,,-0.581,,59.672,116.001999,0.0,116.001999,198.878,
