Date,Level 1 Assets,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 1 Liabilities,Level 2 Liabilities,Level 3 Liabilities,Total FV Liabilities,Level 2 Assets/Total Equity,Total FV Assets/Total Equity,Level 2 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
03/31/2008,,,,,,51.512,,51.512,,,,,
06/30/2008,,0.283,,0.283,,27.715,,27.715,,,,,
09/30/2008,,0.182,,0.182,,27.159,,27.159,,,,,
12/31/2008,,0.002,,0.002,,56.434,,56.434,,,,,
03/31/2009,,,,,0.0,23.44,0.0,23.44,,,,,
06/30/2009,0.0,62.45,,62.45,0.0,38.944,0.0,38.944,,,,,
09/30/2009,0.0,0.107,0.0,0.107,0.0,35.998,0.0,35.998,,,,,
12/31/2009,0.0,0.08,0.0,0.08,0.0,28.206,0.0,28.206,,,,,
03/31/2010,0.0,0.008,0.0,0.008,0.0,20.175,0.0,20.175,,,,,
06/30/2010,0.0,0.002,0.0,0.002,0.0,14.967,0.0,14.967,,,,,
09/30/2010,0.0,0.0,0.0,0.0,0.0,10.928,0.0,10.928,,,,,
12/31/2010,0.0,0.0,0.0,0.0,0.0,6.061,0.0,6.061,,,,,
03/31/2011,0.0,0.0,0.0,0.0,0.0,1.228,0.0,1.228,,,,,
12/31/2012,,,,,,,,,0.0,0.0,0.0,0.0,
06/30/2013,,,,,,,,,,0.0,,0.0,
09/30/2013,,,,,,,,,,0.0,,0.0,
