Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Sales,EV/EBITDA,EV/EBIT,EV/Cash Flow to Firm,Diluted Market Cap,Diluted Enterprise Value,EV per Share,Trailing 12 Month Values for Ratios,Source: Bloomberg
04/01/1990,,,,,,,,,,,,,,,,,,
07/01/1990,,,,,,,,,,,,,,,,,,
09/30/1990,,,,,,,,,,,,,,,,,,
12/29/1990,,-11.663,41.498001,0.0,26.903999,,27.092998,99.302406,,,,,,,,,,
03/31/1991,,-12.082,41.513,0.0,26.111001,,28.024003,93.173701,,,,,,,,,,
06/30/1991,138.739998,-43.577,1.704,0.0,25.607001,122.473999,59.033005,43.377431,0.209081,1.750204,8.280306,13.300825,9.731759,140.811995,124.545996,1.544828,,
09/29/1991,223.189753,-41.796,1.719,0.0,22.901,206.013753,61.355001,37.325402,0.111162,2.653107,11.830352,17.22235,13.379083,236.762245,219.586245,2.567214,,
12/29/1991,164.58,-44.367001,1.735,0.0,22.305,144.252999,64.822999,34.409084,0.154624,1.678668,7.195022,9.872228,8.308965,163.791875,143.464874,1.780374,,
03/29/1992,164.528,-41.536001,1.75,0.0,17.344,142.085999,64.697998,26.80763,0.122067,1.530456,6.333794,8.399007,7.92919,172.591995,150.149994,1.727195,,
06/28/1992,144.443752,-46.618999,1.765,0.0,16.182,115.771752,70.596,22.921978,0.139775,1.20676,4.947934,6.472035,5.947811,148.761253,120.089254,1.377579,,
09/27/1992,104.230628,-36.136001,1.78,0.0,15.582,85.456628,72.542002,21.47997,0.182338,0.907,4.01714,5.40591,4.068025,107.548623,88.774623,1.01204,,
12/31/1992,143.2755,-34.842998,1.795,0.0,14.575,124.802502,74.288999,19.619325,0.116785,1.352462,6.560611,9.220724,6.622217,142.884,124.411002,1.469925,,
