Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Cash from Financing Activities,Direct Method Cashflow,Source: Bloomberg
03/31/1990,1153.199951,91.599998,0,4.4,1057.199951,,,,
06/30/1990,-245.100006,101.699997,0,82.300003,-429.100006,,,,
09/30/1990,107.300003,-499.299988,0,593.5,13.1,,,,
12/31/1990,-595.400024,128.0,0,-348.200012,-375.200012,,,,
03/31/1991,1250.699951,93.099998,0,169.300003,988.299988,,,,
06/30/1991,-373.299988,90.699997,0,215.300003,-679.299988,,,,
09/30/1991,970.700012,65.0,0,-20.4,926.099976,,,,
12/31/1991,-2594.100098,69.199997,0,-68.199997,-2595.100098,,,,
03/31/1992,-415.0,224.0,0,130.0,-769.0,,,,
06/30/1992,94.0,66.0,0,35.0,-7.0,,,,
09/30/1992,-230.0,-358.299988,0,274.299988,-146.0,,,,
12/31/1992,-38.0,-440.5,0,275.5,127.0,,,,
03/31/1993,-403.0,194.5,0,-270.5,-327.0,,,,
06/30/1993,-137.0,92.699997,0,-159.699997,-70.0,,,,
09/30/1993,-13.0,-35.5,0,-10.5,33.0,,,,
