Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Other ST Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1999,231.841003,2.278,2.278,0.0,14.164,,0.0,0.0,0.0,0.0,0.0,7.965,24.407,184.824997,194.710007,-9.886,0,22.610001,6.798,,,15.812001,207.434998,,12.116,12.116,0.0,,,,6.334001,6.334001,18.450001,210.445007,,,,3.816,3.816,214.261007,232.711008,34.271,0.83,0,,-35.971001,-0.870001,0,-0.870001,231.841007,
06/30/1999,292.497986,5.037,5.037,0.0,18.379,,1.589,,,,,6.14,31.145,232.526993,246.852997,-14.324,0,28.823999,16.396,,,12.427999,261.350992,,24.153,24.153,0.05,,,,10.159,10.159,34.362,210.709,,,,3.857,3.857,214.566,248.927999,0.0,86.829002,0,,-43.258999,43.570004,0,43.570004,292.498003,
09/30/1999,347.18399,2.705,2.705,0.0,20.598,,2.523,,,,,6.519,32.345001,284.509003,302.932007,-18.424,0,30.33,16.153999,,,14.176001,314.839003,,28.841999,28.841999,0.05,,,,11.774001,11.774001,40.666,255.862,,,,3.884,3.884,259.746,300.412,0.0,98.015999,0,,-51.243999,46.771999,0,46.771999,347.183999,
12/31/1999,429.822998,3.131,3.131,0.0,22.645,,0.0,,,,,7.836,33.612,338.890991,362.502991,-23.612,0,57.32,34.387001,,,22.932999,396.210991,,40.655998,40.655998,0.05,0.05,0.0,0.0,13.850002,13.850002,54.556,318.21701,318.21701,0.0,0.0,8.467,8.467,326.684011,381.24001,0.0,109.342003,0,,-60.758999,48.583004,0,48.583004,429.823014,
03/31/2000,602.504028,111.696999,111.696999,0.0,25.84,,0.0,,,,,11.49,149.026993,397.248993,427.143005,-29.893,0,56.228001,33.956001,,,22.271999,453.476994,,36.367001,36.367001,0.05,,,,16.191001,16.191001,52.608002,266.679993,,,,8.501,8.501,275.180993,327.788995,0.0,345.199005,0,,-70.483002,274.716003,0,274.716003,602.504998,
06/30/2000,640.494019,27.198999,27.198999,0.0,32.874001,,7.87,,,,,7.918,75.861,507.035004,543.870972,-36.835999,0,57.598,34.657001,,,22.940998,564.633003,,58.575001,58.575001,1.3,,,,17.475997,17.475997,77.350998,271.106995,,,,8.529,8.529,279.635995,356.986993,0.0,361.897003,0,,-78.389999,283.507004,0,283.507004,640.493997,
09/30/2000,875.642029,124.839996,124.839996,0.0,40.375,,0.0,0.0,0.0,0.0,0.0,18.75,183.964996,617.322998,662.892029,-45.569,0,74.353996,51.587002,,,22.766994,691.676994,,60.403,60.403,0.05,,,,23.042003,23.042003,83.495003,253.147995,,,,9.18,9.18,262.327995,345.822998,0.0,614.114014,0,,-84.295998,529.818016,0,529.818016,875.641014,
12/31/2000,948.818115,14.98005,14.98005,0.0,47.70425,,0.0,0.0,0.0,0.0,0.0,19.551991,82.23629,765.814819,820.508484,-54.69368,0,100.766998,83.386963,,,17.380035,866.581817,,76.944229,76.944229,2.606222,2.606222,0.0,0.0,30.160448,30.160448,109.710899,281.666992,281.666992,0.0,0.0,19.27984,19.27984,300.946832,410.657731,0.0,627.834778,0,,-89.674507,538.160271,0,538.160271,948.818002,
03/31/2001,1349.67395,250.365005,250.365005,0.0,58.617001,,0.0,0.0,0.0,0.0,0.0,14.297,323.278992,910.471008,978.567993,-68.097,0,115.924004,102.308998,,,13.615005,1026.395012,,46.841999,46.841999,0.05,0.05,0.0,0.0,37.574004,37.574004,84.466003,715.309998,715.309998,0.0,0.0,21.497,21.497,736.806997,821.273001,0.0,641.072021,0,,-112.670998,528.401024,0,528.401024,1349.674025,
06/30/2001,1414.182007,150.875,150.875,0.0,65.031998,,0.0,0.0,0.0,0.0,0.0,14.639,230.546005,1056.166016,1141.496948,-85.331001,0,127.470001,116.870003,,,10.599998,1183.636017,,54.745998,54.745998,0.713,0.713,0.0,0.0,52.480005,52.480005,107.939003,771.968018,771.968018,0.0,0.0,19.790001,19.790001,791.758018,899.697021,0.0,650.47699,0,,-135.992004,514.484985,0,514.484985,1414.182007,
