Date,Level 1 Assets,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 1 Liabilities,Level 2 Liabilities,Total FV Liabilities,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
01/31/2009,,24.1,,24.1,,480.5,480.5,,1.497173,,1.497173,,0.815871,,0.815871,
05/02/2009,,,,13.4,,,355.7,,,,0.817322,,,,0.475262,
08/01/2009,,,,9.0,,,306.0,,,,0.531695,,,,0.32908,
10/31/2009,,,,7.6,,,319.3,,,,0.476698,,,,0.264596,
01/30/2010,,3.0,,3.0,,373.3,373.3,,0.176098,,0.176098,,0.098525,,0.098525,
05/01/2010,,,,8.2,,307.6,307.6,,,,0.468598,,,,0.270181,
07/31/2010,,3.6,,3.6,,275.9,275.9,,0.20096,,0.20096,,0.11752,,0.11752,
10/30/2010,,7.2,,7.2,,313.3,313.3,,0.39801,,0.39801,,0.228746,,0.228746,
01/29/2011,206.9,,9.8,,,,,10.670449,,0.505415,,6.696226,,0.317173,,
04/30/2011,,15.3,,15.3,,2.8,2.8,,0.748349,,0.748349,,0.478185,,0.478185,
07/30/2011,,22.8,,22.8,,1.8,1.8,,1.075878,,1.075878,,0.702079,,0.702079,
10/29/2011,,25.5,,25.5,,2.6,2.6,,1.18704,,1.18704,,0.758004,,0.758004,
01/28/2012,8.5,9.0,,17.5,13.3,,13.3,0.372954,0.394893,,0.767847,0.235366,0.249211,,0.484577,
04/28/2012,,4.0,,4.0,,4.5,4.5,,0.177171,,0.177171,,0.114771,,0.114771,
07/28/2012,,4.4,,4.4,,7.8,7.8,,0.208432,,0.208432,,0.13257,,0.13257,
10/27/2012,,5.7,,5.7,,4.0,4.0,,0.265104,,0.265104,,0.165837,,0.165837,
02/02/2013,,3.8,,3.8,,,4.6,,0.163097,,0.163097,,0.102178,,0.102178,
05/04/2013,,4.1,,4.1,,0.5,0.5,,0.174877,,0.174877,,0.110982,,0.110982,
08/03/2013,,1.7,,1.7,,0.0,0.0,,0.071651,,0.071651,,0.046699,,0.046699,
11/02/2013,,,,,,1.5,1.5,,0.104769,,0.104769,,0.066394,,0.066394,
02/01/2014,,1.0,,1.0,,,2.9,,0.039015,,0.039015,,0.024819,,0.024819,
05/03/2014,,1.4,,1.4,0.0,3.0,3.0,,0.052954,,0.052954,,0.034812,,0.034812,
08/02/2014,12.4,10.9,,23.3,,2.0,2.0,0.462014,0.406125,,0.86814,0.206849,0.181827,,0.388677,
11/01/2014,12.9,11.4,,24.3,0.0,3.9,3.9,0.488211,0.431442,,0.919653,0.208789,0.184511,,0.393299,
01/31/2015,20.8,9.0,,29.8,,,0.0,0.740108,0.320239,,1.060347,0.334712,0.144827,,0.479539,
05/02/2015,12.4,11.2,,23.6,0.0,2.4,2.4,0.428784,0.387289,,0.816072,0.202933,0.183294,,0.386227,
08/01/2015,12.4,10.9,,23.3,0.0,8.1,8.1,0.431725,0.3795,,0.811225,0.20424,0.179533,,0.383773,
10/31/2015,12.2,13.3,,25.5,0.0,3.3,3.3,0.428822,0.467487,,0.896309,0.192858,0.210247,,0.403105,
01/30/2016,12.0,16.2,,28.2,0.0,4.4,4.4,0.392067,0.529291,,0.921358,0.185618,0.250584,,0.436202,
04/30/2016,12.2,20.5,,32.7,,3.8,3.8,0.393777,0.661675,,1.055452,0.189804,0.318932,,0.508736,
07/30/2016,11.9,21.9,,33.8,0.0,3.9,3.9,0.413209,0.760443,,1.173652,0.188949,0.347729,,0.536678,
10/29/2016,11.9,19.7,,31.6,0.0,3.1,3.1,0.418587,0.692954,,1.111541,0.18343,0.303661,,0.487091,
01/28/2017,11.9,18.9,,30.8,0.0,3.6,3.6,0.383611,0.609265,,0.992876,0.180363,0.286459,,0.466822,
04/29/2017,11.9,19.2,,31.1,0.0,1.3,1.3,0.377095,0.608423,,0.985518,0.184062,0.296975,,0.481037,
07/29/2017,12.0,19.1,,31.1,0.0,1.1,1.1,0.430215,0.68476,,1.114975,0.19006,0.302512,,0.492572,
10/28/2017,11.8,19.1,,30.9,0.0,1.3,1.3,0.428763,0.694015,,1.122779,0.203424,0.329271,,0.532694,
02/03/2018,12.0,18.1,,30.1,0.0,2.4,2.4,0.385431,0.581358,,0.966789,0.205494,0.309953,,0.515446,
05/05/2018,11.6,18.1,,29.7,0.0,1.2,1.2,0.462778,0.722094,,1.184872,0.219993,0.343265,,0.563257,
08/04/2018,7.6,11.3,,18.9,0.0,5.8,5.8,0.377265,0.560933,,0.938198,0.16031,0.238356,,0.398667,
11/03/2018,7.4,11.1,,18.5,0.0,1.3,1.3,0.37682,0.565231,,0.942051,0.15079,0.226184,,0.376974,
02/02/2019,7.1,14.9,,22.0,0.0,0.2,0.2,0.390775,0.820078,,1.210854,0.16063,0.337096,,0.497726,
05/04/2019,10.3,12.5,,22.8,,,,0.579596,0.703393,,1.282989,0.166309,0.201831,,0.36814,
08/03/2019,11.0,26.2,,37.2,0.0,1.1,1.1,0.645426,1.537288,,2.182714,0.184391,0.439185,,0.623575,
11/02/2019,7.2,24.2,,31.4,0.0,1.1,1.1,0.431862,1.451536,,1.883397,0.118002,0.396617,,0.514619,
02/01/2020,7.2,25.6,,32.8,0.0,0.9,0.9,0.391389,1.391607,,1.782996,0.114302,0.406407,,0.520709,
05/02/2020,7.4,12.1,,19.5,0.0,0.3,0.3,0.462153,0.755683,,1.217837,0.107594,0.175931,,0.283525,
08/01/2020,6.4,13.6,,20.0,0.0,0.0,0.0,0.415045,0.881971,,1.297017,0.097293,0.206747,,0.304039,
