Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,408.542999,,-298.552002,,109.990997,,-66.061996,,,,43.929001,-9.399,,6.028,,3.371,34.530001,-15.471,19.059,0.0,,,19.059001,0.0,19.059,0.0,,19.059,19.059,,60.650002,0.315,0.315,,60.650002,0.315,0.315,0.315,
06/30/1990,435.862,,-318.554993,,117.307007,,-69.054001,,,,48.252998,-4.773,,5.517,,-0.744,43.479998,-18.058001,25.422001,0.0,,,25.421998,0.0,25.422001,0.0,,25.422001,25.422001,,59.995998,0.425,0.425,,59.995998,0.425,0.425,0.425,
09/30/1990,421.540985,,-321.384003,,100.156982,,-73.623001,,,,26.534,-9.165,,6.772,,2.393,17.369001,-8.825,8.544,0.0,,,8.544001,0.0,8.544,0.0,,8.544,8.544,,59.742001,0.145,0.145,,59.742001,0.145,0.145,0.145,
12/31/1990,435.065002,,-345.740997,,89.324005,,-77.688004,,,,11.636,-8.199,,8.022,,0.177,3.437,-1.22,2.217,0.0,,,2.217,0.0,2.217,0.0,,2.217,2.217,,58.929,0.04,0.04,0.04,58.929,0.04,0.04,0.04,
03/31/1991,436.217987,,-341.210999,,95.006989,,-76.023003,,,,18.983999,-10.223,,7.453,,2.77,8.760999,-5.005,3.756,0.0,,,3.755999,0.0,3.756,0.0,,3.756,3.756,,58.810001,0.065,0.065,,58.810001,0.065,0.065,0.065,
06/30/1991,436.450989,,-353.164001,,83.286987,,-73.953003,,,,9.334,-7.498,,5.897,,1.601,1.836,-1.097,0.739,0.0,,,0.739,0.0,0.739,0.0,,0.739,0.739,,58.956001,0.015,0.015,,58.956001,0.015,0.015,0.015,
09/30/1991,386.652008,,-310.014008,,76.638,,-75.436996,,,,1.201,-9.825,,5.917,,3.908,-8.624,4.652,-3.972,0.0,,,-3.972,0.0,-3.972,0.0,,-3.972,-3.972,,59.080002,-0.065,-0.065,,59.080002,-0.065,-0.065,-0.065,
12/31/1991,388.104004,,-305.503998,,82.600006,,-72.247002,,,,10.353,-54.275999,,7.406,,46.869999,-43.922999,7.713,-36.209999,0.0,,,-36.21,0.0,-36.209999,0.0,,-36.209999,-36.209999,,59.623001,-0.61,-0.61,,59.623001,-0.61,-0.61,-0.61,
03/31/1992,420.936005,,-330.165985,,90.77002,,-73.280998,,,,17.489,-8.486,,6.923,,1.563,9.003,-4.096,4.907,0.0,,,4.907,0.0,4.907,0.0,,4.907,4.907,,59.900002,0.08,0.08,,59.900002,0.08,0.08,0.08,
06/30/1992,419.181,,-328.675995,,90.505005,,-77.176003,,,,13.329,-7.139,,6.675,,0.464,6.19,-2.817,3.373,0.0,,,3.373,0.0,3.373,0.0,,3.373,3.373,,60.256001,0.055,0.055,,60.256001,0.055,0.055,0.055,
