Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,567.461975,,-128.143997,,,439.317978,,-413.154999,,,26.163,-5.144,,4.171,,0.0,0.973,21.019,-7.588,13.431,0.0,,,13.431,0.0,13.431,0.0,,13.431,13.431,,0.003809,3525.000344,3525.000344,,0.003809,3525.000344,3525.000344,3525.000344,
06/30/1990,570.044006,,-121.445,,,448.599007,,-417.819,,,30.780001,-4.972,,4.4,,0.0,0.572,25.808001,-9.359,16.448999,0.0,,,16.449,0.0,16.448999,0.0,,16.448999,16.448999,,0.003795,4350.00031,4350.00031,,0.003795,4350.00031,4350.00031,4350.00031,
09/30/1990,587.10498,,-128.649994,,,458.454987,,-419.570007,,,38.884998,-3.978,,3.835,,0.0,0.143,34.906998,-12.609,22.298,0.0,,,22.297998,0.0,22.298,0.0,,22.298,22.298,,0.00376,5925.000753,5925.000753,,0.00376,5925.000753,5925.000753,5925.000753,
12/31/1990,577.809998,,-135.856995,,,441.953003,,-418.006989,,,23.945999,-3.775,,3.357,,0.0,0.418,20.170999,-7.03,13.141,0.0,,,13.140999,0.0,13.141,0.0,,13.141,13.141,,0.003745,3525.000344,3525.000344,,0.003745,3525.000344,3525.000344,3525.000344,
03/31/1991,560.757019,,-133.449997,,,427.307022,,-415.552002,,,11.755,-3.673,,3.45,,0.0,0.223,8.082,-2.501,5.581,0.0,,,5.581,0.0,5.581,0.0,,5.581,5.581,,0.003745,1500.000172,1500.000172,,0.003745,1500.000172,1500.000172,1500.000172,
06/30/1991,600.200012,,-132.492996,,,467.707016,,-446.105011,,,21.601999,-4.141,,3.563,,0.0,0.578,17.460999,-6.206,11.255,0.0,,,11.254999,0.0,11.255,0.0,,11.255,11.255,,0.003745,3000.000345,3000.000345,,0.003745,3000.000345,3000.000345,3000.000345,
09/30/1991,608.088989,,-133.432007,,,474.656982,,-456.987,,,17.67,-5.047,,3.569,,0.0,1.478,12.623,-4.224,8.399,0.0,,,8.399,0.0,8.399,0.0,,8.399,8.399,,0.003745,2250.000314,2250.000314,,0.003745,2250.000314,2250.000314,2250.000314,
12/31/1991,575.096985,,-131.192993,,,443.903992,,-438.023987,,,5.88,-3.698,,3.577,,0.0,0.121,2.182,-0.763,1.419,0.0,,,1.419,0.0,1.419,0.0,,1.419,1.419,,0.003745,375.000038,375.000038,375.000038,0.003745,375.000038,375.000038,375.000038,
03/31/1992,566.036011,,-120.893997,,,445.142014,,-419.869995,,,25.271999,-4.859,,3.117,,0.0,1.742,20.412999,-7.35,13.063,11.5,,,1.562999,0.0,1.563,0.0,,1.563,1.563,,0.003745,450.000045,3525.000353,3525.000353,0.003745,450.000045,3525.000353,3525.000353,
06/30/1992,566.177002,,-122.202003,,,443.974999,,-423.481995,,,20.493,-4.424,,3.075,,0.0,1.349,16.069,-6.113,9.956,0.0,,,9.956,0.0,9.956,0.0,,9.956,9.956,,0.003745,2625.000263,2625.000263,2625.000263,0.003745,2625.000263,2625.000263,2625.000263,
09/30/1992,571.286987,,-123.910004,,,447.376983,,-425.556,,,21.820999,-3.876,,3.012,,0.0,0.864,17.944999,-6.387,11.558,0.0,,,11.557999,0.0,11.558,0.0,,11.558,11.558,,0.003746,3075.000308,3075.000308,3075.000308,0.003746,3075.000308,3075.000308,3075.000308,
12/31/1992,559.176025,,-122.171997,,,437.004028,,-421.776001,,,15.228,-4.262,,2.946,,0.0,1.316,10.966,-4.503,6.463,0.0,,,6.463,0.0,6.463,0.0,,6.463,6.463,,0.003746,1725.000173,1725.000173,1725.000173,0.003746,1725.000173,1725.000173,1725.000173,
03/31/1993,602.219971,,-136.436005,,,465.783966,,-464.027008,,,1.757,-4.172,,3.646,,0.0,0.526,-2.415,0.666,-1.749,0.0,,,-1.749,0.0,-1.749,0.0,,-1.749,-1.749,,0.003747,-450.000045,-450.000045,-450.000045,0.003747,-450.000045,-450.000045,-450.000045,
06/30/1993,732.901001,,-157.942993,,,574.958008,,-554.070984,,,20.886999,-23.348,,4.796,,0.0,18.552,-2.461001,0.575,-1.886,0.0,,,-1.886001,0.0,-1.886,0.0,,-1.886,-1.886,,0.003747,-525.000053,-525.000053,-525.000053,0.003747,-525.000053,-525.000053,-525.000053,
09/30/1993,761.705994,,-160.541,,,601.164994,,-575.531006,,,25.634001,-5.206,,4.593,,0.0,0.613,20.428001,-9.96,10.468,0.0,,,10.468001,0.0,10.468,0.0,,10.468,10.468,,0.003747,2775.000278,2775.000278,2775.000278,0.003747,2775.000278,2775.000278,2775.000278,
