Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1999,67.125,49.448999,48.946999,0.502,8.618,,,0.0,0.0,0.0,0.0,0.0,0.845,,,,58.911999,8.078,,,0.0,,,0.135,,,,0.135,8.213,,5.378,5.378,,,,1.183,,,,,,10.595,,,10.595,17.156,2.786,,,,,0.048,,,,,,0.048,2.834,19.99,0.0,102.305,,,0.0,,-55.169998,47.135002,0.0,47.135002,67.125002,
06/30/1999,143.130997,107.801001,92.429001,15.372,17.312,,,0.0,,,,,0.881,,,,125.994003,9.098,14.315,-5.217,,,,8.039,,,,8.039,17.136999,,6.38,6.38,,,,1.201,,,,,,19.055,,,19.055,26.636,,,,,,2.521,,,,,,2.521,2.521,29.157,0.0,172.106003,,,0.0,,-58.132,113.974003,0.0,113.974003,143.131002,
09/30/1999,147.621002,84.598999,36.474998,48.124001,13.623,,,0.0,,,,,3.471,,,,101.693001,9.352,15.978,-6.626,,,,36.576,,,,36.576,45.928,,8.375,8.375,,,,0.0,,,,,,26.018002,,,26.018002,34.393002,0.0,,,,,0.048,,,,,,0.048,0.048,34.441002,0.0,172.097,,,0.0,,-58.917,113.18,0.0,113.18,147.621002,
12/31/1999,513.377991,345.957993,158.042999,187.914993,23.950001,,,0.0,0.0,0.0,0.0,0.0,7.925,,,,377.833008,12.416,20.587999,-8.172,97.200996,,,25.927999,25.927999,0.0,25.927999,0.0,135.544996,,15.368,15.368,,,,0.0,0.0,0.0,0.0,,,40.294998,,,40.294998,55.662998,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,55.662998,0.0,513.697998,,,0.0,,-55.983002,457.714996,0.0,457.714996,513.377995,
03/31/2000,1694.88501,1350.004059,1068.529053,281.475006,29.964001,,,0.0,0.0,0.0,0.0,0.0,11.844,,,,1391.812012,16.694,26.898001,-10.204,214.544998,,,71.834,,,,71.834,303.072998,,55.001999,55.001999,,,,0.0,,,,,,19.447998,,,19.447998,74.449997,1150.0,,,,,0.0,,,,,,0.0,1150.0,1224.449997,0.0,517.921997,,,0.0,,-47.487,470.434998,0.0,470.434998,1694.884995,
06/30/2000,1830.352,1181.889,797.125,384.764,60.733,60.733,,0.0,0.0,0.0,0.0,0.0,15.792,,,,1258.414,28.397,41.452,-13.055,412.374,,,131.167,0.0,,,131.167,571.938,,37.914,37.914,,,,0.0,,,,,,97.916,,,97.916,135.83,1165.725,,,,,0.0,,,,,,0.0,1165.725,1301.555,0.0,530.157,,,0.0,-24.479,23.119,528.797,0.0,528.797,1830.352,
09/30/2000,1945.425,1138.932,571.201,567.731,116.319,116.319,,0.0,0.0,0.0,0.0,0.0,20.775,,,,1276.026,33.039,48.252998,-15.214,508.63,,,127.73,,,,127.73,669.399,,48.431,48.431,,,,0.0,,,,,,142.875,,,142.875,191.306,1161.08,,,,,0.0,,,,,,0.0,1161.08,1352.386,0.0,540.315,,,0.0,33.592,19.132,593.039,0.0,593.039,1945.425,
12/31/2000,2103.128906,1144.742981,563.005005,581.737976,176.535004,,,0.0,0.0,0.0,0.0,0.0,27.268999,,,,1348.546997,36.439999,55.588001,-19.148001,450.567993,,,267.574005,136.046997,136.046997,0.0,131.527008,754.581997,,72.347,72.347,,,,0.0,0.0,0.0,0.0,,,144.061005,,,144.061005,216.408005,1156.718994,1156.718994,0.0,0.0,,0.0,,,,,,0.0,1156.718994,1373.126999,0.0,735.103027,,,0.0,,-5.101,730.002028,0.0,730.002028,2103.129026,
03/31/2001,2228.971924,1062.614014,557.742004,504.872009,193.169006,,,0.0,0.0,0.0,0.0,0.0,26.131001,,,,1281.91394,250.701996,274.955994,-24.254,447.756012,,,248.600006,,,,248.600006,947.058014,,86.073997,86.073997,,,,0.0,0.0,0.0,0.0,,,159.778008,,,159.778008,245.852005,1152.355957,1152.355957,0.0,0.0,,0.0,,,,,,0.0,1152.355957,1398.207962,0.0,756.005981,,,0.0,,74.758003,830.763985,0.0,830.763985,2228.971947,
06/30/2001,2251.739014,1007.367981,512.414978,494.953003,137.121002,,,0.0,0.0,0.0,0.0,0.0,31.486,,,,1175.974976,252.214996,281.320007,-29.105,618.76001,,,204.789001,,,,204.789001,1075.764008,,62.946999,62.946999,,,,0.0,0.0,0.0,0.0,,,196.796013,,,196.796013,259.743011,1150.0,1150.0,0.0,0.0,,0.0,,,,,,0.0,1150.0,1409.743011,0.0,777.531006,,,0.0,,64.464996,841.996002,0.0,841.996002,2251.739014,
