Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
09/30/1997,2010.21106,1527.803955,547.044006,120.869003,,120.869003,-185.505997,-120.782997,-64.723,0.0,,-921.991028,-732.388,,,,-732.388,,,,,,,,,,-189.603028,-1069.025024,-602.723022,,,,,-732.687012,,-732.687012,266.38501,,19.195,,,
12/31/1997,618.55603,566.65802,180.710007,24.135,,24.135,-152.947006,,,-152.947006,,-275.679993,-274.90799,0.0,,,-274.90799,,,-7.206,17.909,-25.115,,,,,6.433997,-242.25601,-206.830994,143.957001,,,,-184.343017,137.481995,-321.825012,4.961,,100.620003,,,
03/31/1998,881.383,589.593,190.585,136.95,,136.95,-35.745,50.467,-86.212,0.0,,-217.281,-238.447,0.0,,,-238.447,,,0.0,0.0,0.0,,,,,21.166,-668.582,-206.343,0.0,,,,-171.709,0.0,-171.709,-290.53,,-4.48,,,
06/30/1998,816.26001,585.900024,202.716,120.372986,,120.372986,-92.729,,,-92.729,,-654.833984,-262.169006,0.0,,,-262.169006,,,0.0,0.0,0.0,,,,,-392.664978,-135.201992,-229.035995,287.862,,,,-194.033997,0.0,-194.033997,0.006,,26.224001,,,
09/30/1998,570.469971,532.5,197.731,-167.889029,,-167.889029,8.128,,,8.128,,-199.132004,-203.061005,0.0,,,-203.061005,,,0.0,0.0,0.0,,,,,3.929001,-399.636002,-228.445007,46.153,,,,-215.675995,0.0,-215.675995,-1.668,,-28.298,,,
12/31/1998,464.788,628.042,,,,,,,,,,-349.619,-286.9375,0.0,,,-286.9375,,,0.0,0.0,0.0,,,,,-62.6815,263.579,-227.837,335.249,,,,150.881,150.881,,5.286,,84.76,,,
03/31/1999,820.14,668.703,212.211,26.84,,26.84,-87.614,-86.703,-0.911,0.0,,-114.019,-211.908,,,,-211.908,,,,,,,,,,97.889,-666.695,-227.519,-491.0,,,,35.748,35.748,,16.076,,39.426,,,
06/30/1999,792.92,644.975,205.306,-44.045,,-44.045,-13.316,-33.373,-67.557,87.614,,-265.499,-253.201,0.0,,,-253.201,,,0.0,0.0,0.0,,,,,-12.298,-534.513,-258.42,-292.18,,,,34.519,34.519,0.0,-18.432,,-7.092,0.0,0.0,
09/30/1999,995.983,468.079,216.515,287.237,,287.237,24.152,21.218,2.934,0.0,,-396.273,-265.112,0.0,,,-265.112,,,,,,,,,,-131.161,-414.218,-258.605,-114.0,,,,-39.796,0.0,-39.796,-1.817,,185.492,,,
12/31/1999,426.039,664.002,193.974,-176.309,,-176.309,-255.628,,,-255.628,,-457.561,-256.877,0.0,,,-256.877,,,-41.441,169.356,-210.797,,,,,-159.243,49.597,-258.751,16.286,,,,301.458,301.458,,-9.396,,57.871,0.0,0.0,
