Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
07/03/2004,1461,,-900,,561,,-467,,,,,94,-40,,0.0,,0.0,40,54,-11,43,0.0,,,43,0.0,43,0.0,0.0,43,43.0,,,,,,,,,,
10/02/2004,1430,,-872,,558,,-459,,,,,99,-28,,0.0,-8.0,0.0,36,71,-14,57,0.0,,,57,0.0,57,0.0,0.0,57,57.0,,384.0,0.15,0.15,0.19,390.0,0.15,0.15,0.19,
12/31/2004,1428,,-914,,514,0.0,-453,204.0,,,249.0,61,-55,5.0,,,,50,6,-1,5,,,,5,,5,0.0,0.0,5,5.0,29.9,400.0,0.01,0.01,0.08,412.0,0.01,0.01,0.08,
04/01/2005,1442,,-862,,580,,-455,,,,,125,-31,-8.0,6.0,-14.0,-1.0,40,94,-9,85,,,,85,,85,,,85,85.0,16.0,401.0,0.21,0.21,0.25,416.0,0.2,0.2,0.24,
07/01/2005,1472,,-860,,612,,-468,,,,,144,-8,-17.0,1.0,-18.0,,25,136,-14,122,,,,122,,122,,,122,122.0,,403.0,0.3,0.3,0.31,420.0,0.29,0.29,0.3,
09/30/2005,1450,,-828,,622,,-470,,,,,152,26,-1.0,22.0,-23.0,,-25,178,-14,164,,,,164,,164,,,164,164.0,-15.0,408.0,0.4,0.4,0.36,428.0,0.38,0.38,0.35,
12/31/2005,1479,,-833,,646,,-449,,,,,197,8,,56.0,-36.0,2.0,-30,205,-13,192,0.0,,,192,0.0,192,0.0,0.0,192,192.0,,409.0,0.47,0.47,0.47,429.0,0.45,0.45,0.45,
03/31/2006,1526,,-835,,691,,-484,,,,,207,11,-12.0,24.0,-36.0,,1,218,-13,205,-7.0,,,212,,212,,,212,212.0,,408.0,0.52,0.5,0.5,425.0,0.5,0.48,0.48,
06/30/2006,1599,,-864,,735,,-484,,,,,251,6,17.0,25.0,-8.0,0.0,-23,257,3,260,0.0,,,260,0.0,260,0.0,0.0,260,260.0,-15.0,406.0,0.64,0.64,0.6,424.0,0.61,0.61,0.57,
09/29/2006,1619,,-873,,746,,-481,,,,,265,2,-7.0,33.0,-40.0,,5,267,-10,257,,,,257,,257,,,257,257.0,14.3,409.0,0.63,0.63,0.66,424.0,0.61,0.61,0.64,
12/31/2006,1615,,-1053,,562,,-601,,,,,-39,-2812,22.0,82.0,-60.0,0.0,2790,-2851,128,-2723,0.0,,,-2723,0.0,-2723,0.0,0.0,-2723,-2723.0,,,,,,,,,,
03/30/2007,1361,,-1562,,-201,,-450,,,,,-651,-201,198.0,210.0,-12.0,0.0,3,-852,313,-539,0.0,,,-539,0.0,-539,0.0,0.0,-539,-539.0,3.0,,,,,,,,,
06/29/2007,1376,,-809,,567,,-835,,,,,-268,-188,190.0,204.0,-14.0,0.0,-2,-456,168,-288,0.0,,,-288,0.0,-288,0.0,0.0,-288,-288.0,,,,,,,,,,
09/28/2007,1446,,-869,,577,,-779,,,,,-202,-194,196.0,207.0,-11.0,0.0,-2,-396,135,-261,0.0,,,-261,0.0,-261,0.0,0.0,-261,-261.0,,,,,,,,,,
12/31/2007,1539,,-581,,958,,-1096,,,,,-138,-651,,213.0,-13.0,0.0,451,-789,270,-519,0.0,,,-519,0.0,-519,0.0,0.0,-519,-519.0,,,,,,,,,,
06/27/2008,1472,,-840,,632,,-766,,,,,-134,-149,157.0,169.0,-12.0,0.0,-8,-283,99,-184,0.0,,,-184,0.0,-184,0.0,0.0,-184,-184.0,234.65,,,,,,,,,
09/26/2008,1409,,-821,,588,,-592,,,,,-4,-3543,169.0,177.0,-8.0,0.0,3374,-3547,66,-3481,0.0,,,-3481,-16.0,-3497,0.0,0.0,-3497,-3497.0,2276.95,,,,,,,,,
12/31/2008,940,,-680,,260,,-801,,,,,-541,-3742,,129.0,-9.0,0.0,3622,-4283,281,-4002,0.0,,,-4002,15.0,-3987,0.0,0.0,-3987,-3987.0,,,,,,,,,,
04/03/2009,840,840.0,-664,664.0,176,0.0,-527,137.0,244.0,122.0,24.0,-351,2096,167.0,173.0,-6.0,,-2263,1745,11,1756,0.0,0.0,0.0,1756,0.0,1756,0.0,0.0,1756,299.35,-1456.65,,,,,,,,,
07/03/2009,824,824.0,-631,631.0,193,0.0,-538,123.0,211.0,122.0,82.0,-345,-114,131.0,135.0,-4.0,,-17,-459,-25,-484,0.0,0.0,0.0,-484,0.0,-484,0.0,0.0,-484,-443.7,40.3,,,,,,,,,
10/02/2009,893,893.0,-626,626.0,267,0.0,-528,122.0,193.0,122.0,91.0,-261,-138,130.0,133.0,-3.0,,8,-399,-11,-410,0.0,0.0,0.0,-410,0.0,-410,0.0,0.0,-410,-350.85,59.15,,,,,,,,,
12/31/2009,951,951.0,-642,642.0,309,0.0,-570,117.0,185.0,120.0,148.0,-261,-124,128.0,130.0,-2.0,,-4,-385,271,-114,0.0,0.0,0.0,-114,0.0,-114,0.0,0.0,-114,-22.35,91.65,,,,,,,,,
04/02/2010,1020,1020.0,-651,651.0,369,0.0,-429,116.0,191.0,121.0,1.0,-60,-200,145.0,148.0,-3.0,,55,-260,4,-256,0.0,0.0,0.0,-256,0.0,-256,0.0,0.0,-256,-220.9,35.1,,,,,,,,,
07/02/2010,1108,1108.0,-693,693.0,415,0.0,-433,128.0,190.0,121.0,-6.0,-18,-515,146.0,,,,369,-533,-5,-538,0.0,0.0,0.0,-538,0.0,-538,0.0,0.0,-538,-230.55,307.45,197.0,-2.73,-2.73,-1.170305,197.0,-2.73,-2.73,-1.170305,
09/30/2010,1148,1148.0,-706,706.0,442,0.0,-441,126.0,201.0,121.0,-7.0,1,-157,144.0,146.0,-2.0,,13,-156,0,-156,0.0,0.0,0.0,-156,0.0,-156,0.0,0.0,-156,-153.4,2.6,,,,,,,,,
12/31/2010,1182,1182.0,-718,718.0,464,0.0,-448,132.0,200.0,104.0,12.0,16,-145,147.0,148.0,-1.0,,-2,-129,26,-103,0.0,0.0,0.0,-103,0.0,-103,0.0,0.0,-103,-16.55,86.45,,,,,,,,,
04/01/2011,1194,1194.0,-710,710.0,484,0.0,-487,131.0,202.0,63.0,91.0,-3,-148,149.0,,,,-1,-151,3,-148,0.0,0.0,0.0,-148,0.0,-148,0.0,0.0,-148,4.1,152.1,,,,,,,,,
