Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2004,261.399994,,,-258.600006,,,2.799988,,-19.9,,,-17.1,29.800001,,18.1,-0.8,0.0,-47.100002,12.700001,-8.5,,4.2,0.0,,,4.200001,0,4.2,0,0,4.2,4.2,,26.700001,0.16,0.16,-1.01,27.700001,0.15,0.15,-1.01,
03/31/2005,305.506012,,,-270.029999,,,35.476013,,-13.648,,,21.827999,9.348,14.031,14.253,-0.222,0.0,-23.379,31.175999,-12.241,,18.934999,0.0,,,18.934999,0,18.934999,0,0,18.934999,18.934999,,44.624645,0.42,0.42,0.1,46.079987,0.41,0.41,0.1,
06/30/2005,329.477997,,,-293.962006,,,35.515991,,-11.217,,,24.299,8.893,14.244,14.424,-0.18,0.0,-23.136999,33.191999,-13.025,,20.167,0.0,,,20.167,0,20.167,0,0,20.167,20.167,,44.624645,0.45,0.45,0.13,46.112801,0.44,0.44,0.13,
09/30/2005,341.309998,,,-241.238007,,,100.071991,,-49.308998,,,50.763,-14.857,14.857,15.092,-0.235,0.0,0.0,35.906,-14.683,,21.223,0.0,,,21.223001,0,21.223,0,0,21.223,21.223,,44.624645,0.47,0.47,0.47,46.321598,0.46,0.46,0.46,
12/31/2005,340.63501,,,-226.893997,,,113.741013,,-15.4,,,98.341003,-63.251001,,15.726,-0.624,0.0,48.149002,35.090002,-6.512,,28.577999,0.0,,,28.578002,0,28.577999,0,0,28.577999,28.577999,,44.630077,0.64,0.64,0.4,46.40678,0.61,0.61,0.38,
03/31/2006,395.325012,,,-328.341003,,,66.984009,,-14.489,,,52.494999,-13.306,13.306,13.674,-0.368,0.0,0.0,39.188999,-7.881,,31.308001,0.0,,,31.307999,0,31.308001,0,0,31.308001,31.308001,,45.132206,0.69,0.69,0.59,46.6745,0.67,0.67,0.57,
06/30/2006,367.087006,,,-313.140015,,,53.946991,,-16.297001,,,37.650002,-13.116,,13.974,-0.858,0.0,0.0,24.534002,-2.499,,22.035,0.0,,,22.035001,0,22.035,0,0,22.035,22.035,,45.560741,0.49,0.49,0.43,47.099636,0.46,0.46,0.4,
09/30/2006,354.12,,,-320.314,,,33.806,,-13.566,,,20.24,-22.212,22.1,23.058,-0.958,0.0,0.112,-1.972,1.963,,-0.009,0.0,,,-0.009,0,-0.009,0,0,-0.009,-0.009,,45.507284,-0.000198,-0.000198,0.16,46.773741,-0.000198,-0.000198,0.16,
12/31/2006,353.8,,,-320.5,,,33.3,,-17.3,,,16.0,-42.5,13.0,13.8,-0.8,0.0,29.5,-26.5,4.6,,-21.9,0.0,,,-21.9,0,-21.9,0,0,-21.9,-21.9,,45.724,-0.48,-0.48,0.02,45.724,-0.48,-0.48,0.02,
03/31/2007,394.921997,,,-334.196014,,,60.725983,,-16.198999,,,44.527,-14.64,12.388,13.02,-0.632,0.0,2.252,29.887,-5.333,,24.554001,0.0,,,24.554,0,24.554001,0,0,24.554001,24.554001,,45.121902,0.54,0.54,0.55,46.387016,0.53,0.53,0.54,
06/30/2007,368.480988,,,-337.11499,,,31.365997,,-26.694,,,4.672,-14.838,12.353,13.239,-0.886,0.0,2.485,-10.166,6.381,,-3.785,0.0,,,-3.785,0,-3.785,0,0,-3.785,-3.785,,45.23687,-0.08,-0.08,0.06,45.23687,-0.08,-0.08,0.06,
09/30/2007,359.058014,,,-331.820007,,,27.238007,,-19.212,,,8.026,-12.333,12.333,13.389,-1.056,0.0,0.0,-4.307,6.212,,1.905,0.0,,,1.905,0,1.905,0,0,1.905,1.905,,45.221191,0.04,0.04,0.07,46.412804,0.04,0.04,0.07,
12/31/2007,367.202,,,-326.99,,,40.212,,-22.809,,,17.403,-8.324,,14.018,-0.957,0.0,-4.737,9.079,0.854,,9.933,0.0,,,9.933,0,9.933,0,0,9.933,9.933,,45.047,0.22,0.22,0.22,46.29,0.21,0.21,0.21,
03/31/2008,412.303986,,,-368.863007,,,43.440979,,-19.791,,,23.65,-15.213,12.471,12.914,-0.443,0.0,2.742,8.437,-2.267,,6.17,0.0,,,6.17,0,6.17,0,0,6.17,6.17,,45.009727,0.14,0.14,0.14,46.259335,0.13,0.13,0.13,
06/30/2008,411.937012,,,-382.928009,,,29.009003,,-17.423,,,11.586,-14.898,11.118,11.366,-0.248,0.0,3.78,-3.312,-1.115,,-4.427,0.0,,,-4.427,0,-4.427,0,0,-4.427,-4.427,,45.397449,-0.1,-0.1,-0.07,45.397449,-0.1,-0.1,-0.07,
09/30/2008,409.367004,,,-401.877991,,,7.489014,,-16.003,,,-8.514,-26.501,10.898,11.151,-0.253,0.0,15.603,-35.015,2.79,,-32.224998,0.0,,,-32.225,0,-32.224998,0,0,-32.224998,-32.224998,,45.345402,-0.71,-0.71,-0.71,45.345402,-0.71,-0.71,-0.71,
12/31/2008,456.5,,,-380.1,,,76.4,,-15.9,,,60.5,-12.3,9.4,9.5,-0.1,0.0,2.9,48.2,-6.1,,42.1,0.0,,,42.1,0,42.1,0,0,42.1,42.1,,44.544,0.94,0.94,0.94,45.274,0.93,0.93,0.93,
