Date,Last Price,Period-over-Period % Change,Open Price,High Price,Low Price,Market Capitalization,Current Shares Outstanding,Equity Float,Market Cap (Listed Shares),Listed Shares Outstanding,Source: Bloomberg
12/31/1982,3.189841,42.5,2.182522,3.469651,2.154541,,,,,,
03/31/1983,3.077916,-3.508772,3.161859,3.861386,2.630219,,,,,,
06/30/1983,4.001291,30.0,3.077916,4.197159,2.993973,,,,,,
09/30/1983,4.253121,6.293706,4.029272,4.644855,3.6935,,,,,,
12/31/1983,3.749462,-11.842105,4.253121,4.309083,3.077916,,,,,,
03/31/1984,4.001291,6.716418,3.749462,4.197159,3.357727,,,,,,
06/30/1984,3.525613,-11.888112,4.001291,4.253121,3.245803,,,,,,
09/30/1984,3.777443,7.142857,3.553594,4.029272,2.798106,,,,,,
12/31/1984,2.965992,-21.481481,3.6935,3.861386,2.91003,,,,,,
03/31/1985,3.525613,18.867925,2.965992,3.609556,2.91003,,,,,,
06/30/1985,3.329746,-5.555556,3.553594,3.6935,3.245803,,,,,,
09/30/1985,2.91003,-12.605042,3.329746,3.357727,2.91003,,,,,,
12/31/1985,3.021954,3.846154,2.965992,3.497632,2.882049,,,,,,
03/31/1986,2.266466,-25.0,3.021954,3.133878,2.182522,,,,,,
06/30/1986,2.182522,-3.703704,2.322428,2.686181,2.070598,,,,,,
09/30/1986,2.294447,5.128205,2.182522,2.686181,1.762807,,,,,,
12/31/1986,2.490314,8.536585,2.322428,2.714163,2.042617,,,,,,
03/31/1987,3.861386,55.05618,2.518295,4.029272,2.518295,,,,,,
06/30/1987,4.15625,7.636225,3.861386,4.75,3.301765,,,,,,
09/30/1987,3.75,-9.774436,4.25,4.625,3.5,,,,,,
12/31/1987,3.1875,-15.0,3.75,3.90625,2.5,,,,,,
03/31/1988,3.09375,-2.941176,3.25,3.625,3.09375,,,,,,
06/30/1988,2.90625,-6.060606,3.125,3.5625,2.78125,,174.828003,,,,
09/30/1988,3.1875,9.677419,2.90625,3.375,2.78125,,174.828003,,,,
12/31/1988,3.09375,-2.941176,3.21875,3.21875,2.84375,,174.828003,,,,
03/31/1989,2.9375,-5.050505,3.09375,3.125,2.65625,,174.828003,,,,
06/30/1989,3.46875,18.085106,2.9375,3.5625,2.84375,,174.843994,,,,
09/30/1989,3.4375,-0.900901,3.4375,3.78125,3.40625,,174.843994,,,,
12/31/1989,4.1875,21.818182,3.46875,4.25,3.0625,,174.843994,,,,
03/31/1990,3.96875,-5.223881,4.15625,4.375,3.625,697.674532,175.483994,,,,
06/30/1990,3.96875,0.0,3.90625,4.25,3.46875,697.769727,175.792007,,,,
09/30/1990,4.53125,14.173228,3.9375,4.78125,3.6875,798.895619,175.815994,,,,
12/31/1990,3.53125,-22.068966,4.46875,4.65625,3.40625,622.813611,176.307999,,,,
04/01/1991,3.4375,-2.654867,3.5625,4.0625,3.28125,606.71875,176.307999,,,,
07/01/1991,3.375,-1.818182,3.46875,3.75,3.21875,595.6875,176.5,,,,
10/01/1991,3.90625,15.740741,3.34375,3.9375,3.125,690.265596,176.5,,,,
12/31/1991,3.40625,-12.8,3.90625,4.4375,3.1875,602.156875,176.707993,,,,
03/31/1992,3.375,-0.917431,3.375,3.625,2.90625,596.700013,176.779999,,,,
06/30/1992,3.71875,10.185185,3.34375,4.15625,3.3125,680.48665,176.800003,,,,
09/30/1992,4.875,31.092437,3.6875,5.0625,3.6875,869.328335,182.988007,,,,
12/31/1992,4.40625,-9.615385,4.8125,4.90625,3.78125,786.19834,178.323593,,,,
03/31/1993,5.53125,25.531915,4.40625,5.71875,3.9375,1018.126087,178.427994,,,,
06/30/1993,6.03125,9.039548,5.5,6.3125,5.125,1201.473205,184.067993,,,,
09/30/1993,7.25,20.207254,6.03125,7.75,5.53125,1448.027977,199.207993,,,,
12/31/1993,6.625,-8.62069,7.25,7.53125,5.75,1323.304026,199.727997,,,,
03/31/1994,5.9375,-10.377358,6.59375,7.1875,5.84375,1186.21748,199.727997,,,,
06/30/1994,7.5625,27.368421,5.875,8.0625,5.625,1511.92522,199.783997,,,,
09/30/1994,6.6875,-11.570248,7.53125,7.71875,6.3125,1337.098766,199.923996,,,,
12/31/1994,6.1875,-7.476636,6.6875,7.59375,5.625,1237.797025,199.940002,,,,
03/31/1995,6.84375,10.606061,6.15625,6.875,5.3125,1369.543857,199.940002,,,,
