Date,Revenue,Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Uncon Real Estate,D&A from Disc Ops,Impairment of Assets,Income from Uncon JVs,Disposal of Con Assets,Disposal of Uncon Assets,Disposal of Assets from Disc Ops,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Straight-Line Rent,Stock-Based Compensation,Recurring Capital Expenditure,Accounting Adjustments,Tenant Improv & Leasing Com,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
03/31/1998,824.496,823.316,,,,1.18,-743.279,556.416,,35.47,,,151.393,81.217,-44.859,37.195,,7.664,36.358,-17.477,,0.0,,,18.881,,18.881,0.0,,18.881,18.881,,67.448,0.28,0.28,0.28,67.857,0.28,0.28,0.28,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1998,37.355999,37.355999,,0.0,0.0,0.0,-13.779,0.0,1.619,7.135,5.025,,0.0,23.577,-15.379,15.379,0.0,0.0,8.198,,,7.97,,,,,0.228,0.0,,0.228,0.228,,67.772003,0.0,0.12,0.12,68.021004,0.0,0.12,0.12,,,,,,,,,,15.333,,15.333,,,,,,15.333,0.225416,0.225416,0.0,0.0,0.0,0.0,
09/30/1998,56.167999,56.167999,,0.0,0.0,0.0,-20.561,0.0,1.889,10.729,7.943,,0.0,35.607,-22.649,22.649,0.0,0.0,12.958,,,0.081,,,,,12.877,0.0,,12.877,12.877,,67.821999,0.19,0.19,0.19,67.582001,0.191,0.19,0.19,,,,,,,,,,23.687,,23.687,,,,,,23.687,0.350493,0.350493,0.0,0.0,0.0,0.0,
12/31/1998,56.409,56.409,,0.0,0.0,0.0,-21.557,0.0,2.538,10.836,8.183,,0.0,34.851999,-21.198999,21.198999,0.0,0.0,13.653,,,0.0,,,,,13.653,0.0,,13.653,13.653,,67.848,0.201,0.2,0.2,67.883003,0.2,0.2,0.2,,,,,,,,,,24.628,,24.628,,,,,,24.628,0.362801,0.362801,0.0,0.0,0.0,0.0,
03/31/1999,56.633,56.436,,0.0,0.0,0.197,-14.147,0.0,2.551,11.596,0.0,,0.0,42.486,-22.148,20.876,0.0,1.272,20.338,,,,,,,,20.338,0.0,,20.338,20.338,,67.691,0.3,0.3,0.3,67.956,0.3,0.3,0.3,,,,,,,,,,31.282,,31.282,,,,,,31.282,0.460327,0.460327,0.39,84.722332,84.722332,84.67809,
06/30/1999,57.909,57.175,,0.0,0.0,0.734,-15.721,0.0,4.562,11.159,0.0,,0.0,42.188,-22.022,22.022,0.0,0.0,20.166,,,,,,,,20.166,0.0,,20.166,20.166,,67.811,0.3,0.3,0.3,68.008,0.3,0.3,0.3,,,,,,,,,,31.11,,31.11,,,,,,31.11,0.457446,0.457446,0.0,0.0,0.0,0.0,
09/30/1999,59.057,57.544,,0.0,0.0,1.513,-23.886,0.0,5.226,11.16,7.5,,0.0,35.171,-22.144,22.398,0.0,-0.254,13.027,,,,,,,,13.027,0.0,,13.027,13.027,,67.773,0.19,0.19,0.19,68.002,0.19,0.19,0.19,,,,,,,,,,23.717,,23.717,,,,,,23.717,0.348769,0.348769,0.0,0.0,0.0,0.0,
12/31/1999,59.645508,57.445,0.0,0.0,0.0,2.201,-42.985,0.0,7.955,11.214,0.0,,23.816,16.661,-27.657,27.403,0.0,0.254,-10.996,0.0,,0.0,,,-10.996,,-10.996,0.0,,-10.996,-10.996,,68.75,-0.16,-0.16,-0.16,68.75,-0.16,-0.16,-0.16,,,,,,,,,,-1.086,,-1.086,,,,,,-1.086,-0.015796,-0.015796,0.0,0.0,0.0,,
03/31/2000,59.1,57.483,0.0,0.0,0.0,1.617,-16.649,3.322,2.288,11.039,0.0,,0.0,42.451,-35.511,23.849,0.0,11.662,6.94,0.0,,4.207,,,2.733,,2.733,0.0,,2.733,2.733,,67.898,0.04,0.1,0.1,67.912,0.04,0.1,0.1,,,,,,,,,,17.574,,17.574,,,,,,17.574,0.258776,0.258776,0.0,0.0,0.0,0.0,
06/30/2000,59.974,58.238,0.0,0.0,0.0,1.736,-28.685,3.271,2.497,10.856,0.0,,12.061,31.289,-23.777,23.777,0.0,0.0,7.512,0.0,,0.0,,,7.512,,7.512,0.0,,7.512,7.512,,68.027,0.11,0.11,0.11,68.101,0.11,0.11,0.11,,,,,,,,,,18.038,,18.038,,,,,,18.038,0.264871,0.264871,0.0,0.0,0.0,0.0,
