Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
01/31/2014,1932,0,0,0,289,289,0.0,514,0,0,217,297,122,,65,58,925,458,,,40,40,,509,428,410,18,,16,1007,,334,130,44,160,0,0,,,,,202,85,,,0,536,0,0,,,,197,,,112,197,733,0,1182,,,0,,17,1199,0,1199,1932,
04/30/2014,2010,0,0,0,335,335,0.0,518,0,0,219,299,144,,58,82,997,462,,,50,50,,501,427,411,16,,16,1013,,415,157,67,191,0,0,,,,,195,80,,,0,610,0,0,,,,191,,,111,191,801,0,1189,,,0,,20,1209,0,1209,2010,
07/31/2014,1999,0,0,0,319,319,,516,0,0,229,287,154,,51,93,989,462,,,60,60,,488,419,405,14,,18,1010,,366,112,80,174,0,0,0.0,0.0,,,185,76,,,0,551,0,0,0.0,0.0,,187,,,111,187,738,0,0,0.0,,0,,1261,1261,0,1261,1999,
01/31/2015,3029,887,887,0,309,309,0.0,477,0,0,225,252,219,,135,137,1892,455,,,59,59,,623,397,381,16,,91,1137,,524,158,60,306,0,0,,,,,176,66,,,0,700,1099,1099,,,,312,,187.0,59,1411,2111,0,1116,2.0,1114.0,0,171.0,-369,918,0,918,3029,
04/30/2015,3061,894,894,0,353,353,0.0,476,0,0,224,252,204,,126,131,1927,460,,,67,67,,607,392,378,14,,89,1134,,402,178,51,173,0,0,,,,,229,64,,,65,631,1099,1099,,,,295,,173.0,58,1394,2025,0,1126,2.0,1124.0,0,-90.0,0,1036,0,1036,3061,
07/31/2015,3097,1000,1000,0,313,313,0.0,478,0,0,224,254,192,,112,119,1983,462,,,70,70,,582,384,372,12,,86,1114,,371,171,56,144,0,0,,,,,249,61,,,88,620,1099,1099,,,,273,,160.0,52,1372,1992,0,1144,2.0,1142.0,0,337.0,-376,1105,0,1105,3097,
10/31/2015,3508,483,483,0,398,398,0.0,487,0,0,235,252,211,0.0,295,137,1579,518,1629.0,-1111.0,70,70,,1341,946,700,246,,100,1929,,427,209,50,168,0,0,0.0,0.0,,,259,61,0.0,15.0,82,686,1099,1099,0.0,0.0,,421,0.0,280.0,65,1520,2206,0,1167,2.0,1165.0,0,614.0,-479,1302,0,1302,3508,
01/31/2016,3481,572,572,0,361,361,0.0,481,0,0,237,244,212,,256,138,1626,514,,,56,56,,1285,929,696,233,,100,1855,,338,175,28,135,0,0,,,,,264,62,,,79,602,1099,1099,,,,398,,255.0,81,1497,2099,0,1201,2.0,1199.0,0,678.0,-497,1382,0,1382,3481,
04/30/2016,3655,620,620,0,408,408,0.0,475,0,0,226,249,234,,264,152,1737,531,,,58,58,,1329,957,731,226,,108,1918,,371,168,39,164,0,0,,,,,281,69,,,73,652,1100,1100,,,,403,,250.0,84,1503,2155,0,1213,2.0,1211.0,-42,766.0,-437,1500,0,1500,3655,
07/31/2016,3675,664,664,0,415,415,0.0,479,0,0,232,247,153,,317,150,1711,522,,,56,56,,1386,955,738,217,,114,1964,,339,156,33,150,0,0,,,,,262,73,,,62,601,1100,1100,,,,377,,235.0,69,1477,2078,0,1235,2.0,1233.0,-62,857.0,-433,1597,0,1597,3675,
