Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
01/27/1990,620.471008,,-495.145996,,125.325012,,-102.893997,,,22.431,-0.097,,1.404,,0.0,-1.307,22.334,-7.957,,14.377,0.0,,,14.377,0.0,14.377,0.0,,14.377,14.377,,605.343994,0.02375,0.02375,,605.343994,0.02375,0.02375,0.02375,
04/28/1990,633.143982,,-505.721008,,127.422974,,-105.601997,,,21.820999,0.221,,0.596,,0.0,-0.817,22.041999,-8.239,,13.803,0.0,,,13.802999,0.0,13.803,0.0,,13.803,13.803,,613.463989,0.0225,0.0225,,613.463989,0.0225,0.0225,0.0225,
07/28/1990,654.742981,,-539.088013,,115.654968,,-96.181,,,19.474001,0.348,,0.533,,0.0,-0.881,19.822001,-7.194,,12.628,0.0,,,12.628001,0.0,12.628,0.0,,12.628,12.628,,631.400024,0.02,0.02,,631.400024,0.02,0.02,0.02,
10/27/1990,772.822021,,-613.86499,,158.957031,,-102.642998,,,56.313999,0.845,,0.734,,0.0,-1.579,57.158999,-20.843,,36.316002,0.0,,,36.315999,0.0,36.316002,0.0,,36.316002,36.316002,,613.668032,0.05875,0.05875,0.05875,613.668032,0.05875,0.05875,0.05875,
01/26/1991,701.187988,,-559.372986,,141.815002,,-110.066002,,,31.749001,0.945,,0.929,,0.0,-1.874,32.694,-12.318,,20.375999,0.0,,,20.376001,0.0,20.375999,0.0,,20.375999,20.375999,,603.736023,0.03375,0.03375,,603.736023,0.03375,0.03375,0.03375,
04/27/1991,697.020996,,-560.937988,,136.083008,,-110.376999,,,25.705999,1.077,,0.698,,0.0,-1.775,26.782999,-10.199,,16.584,0.0,,,16.583999,0.0,16.584,0.0,,16.584,16.584,,631.768005,0.02625,0.02625,,631.768005,0.02625,0.02625,0.02625,
07/27/1991,677.382019,,-555.34198,,122.040039,,-101.582001,,,20.458,0.51,,0.848,,0.0,-1.358,20.968,-8.136,,12.832,0.0,,,12.832001,0.0,12.832,0.0,,12.832,12.832,,603.856018,0.02125,0.02125,,603.856018,0.02125,0.02125,0.02125,
10/26/1991,760.630981,,-597.370972,,163.260009,,-107.468002,,,55.792,1.622,,0.387,,0.0,-2.009,57.414,-20.813,,36.601002,0.0,,,36.601,0.0,36.601002,0.0,,36.601002,36.601002,,613.567992,0.06,0.06,0.06,613.567992,0.06,0.06,0.06,
01/25/1992,628.494995,,-491.027008,,137.467987,,-111.017998,,,26.450001,1.243,,0.754,,0.0,-1.997,27.693001,-10.675,,17.018,0.0,,,17.018001,0.0,17.018,0.0,,17.018,17.018,,618.840027,0.0275,0.0275,,618.840027,0.0275,0.0275,0.0275,
04/25/1992,672.333984,,-522.580017,,149.753967,,-118.101997,,,31.652,1.524,,0.848,,0.0,-2.372,33.176,-13.162,,20.014,0.0,,,20.014001,0.0,20.014,0.0,,20.014,20.014,,615.815979,0.0325,0.0325,,615.815979,0.0325,0.0325,0.0325,
