Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Discontinued Operations,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
11/30/1989,1811.314941,180.177002,19.082001,161.095001,91.573997,,,888.653015,,,,,24.466,,,1184.869995,607.052979,873.291992,-266.239014,,19.392,0.0,0.0,0.0,,19.392,626.444979,,399.378998,399.378998,,,,,,,,,,253.113007,,,,,253.113007,652.492004,149.791,,,,,169.686005,,,,,169.686005,319.477005,971.969009,0.0,76.896004,,,0.0,,762.450012,839.346016,0.0,839.346016,1811.315025,
02/28/1990,1792.213989,238.211999,4.363,233.848999,100.421997,,,785.515991,,,,,13.56,,,1137.709961,634.362976,915.284973,-280.921997,,20.141001,0.0,0.0,0.0,,20.141001,654.503977,,307.444,307.444,,,,,,,,,,271.006012,,,,,271.006012,578.450012,148.449005,,,,,176.639008,,,,,176.639008,325.088013,903.538025,0.0,76.898003,,,0.0,,811.778015,888.676018,0.0,888.676018,1792.214043,
05/31/1990,1829.55603,243.083997,4.425,238.658997,102.561996,,,773.307007,,,,,13.178,,,1132.130981,670.84198,966.223022,-295.381012,,26.583,0.0,0.0,0.0,,26.583,697.42498,,317.924011,317.924011,,,,,,,,,,260.924011,,,,,260.924011,578.848022,148.363007,,,,,182.664993,,,,,182.664993,331.028,909.876022,0.0,76.901001,,,0.0,,842.778992,919.679993,0.0,919.679993,1829.556015,
08/31/1990,1913.583984,213.866003,4.704,209.162003,97.608002,,,827.997009,,,,,47.574001,,,1187.045044,697.169983,993.031983,-295.862,0.0,29.368999,0.0,0.0,0.0,,29.368999,726.538982,,348.526001,348.526001,,,,3.24,,,,,,280.523,,,,,280.523,632.289001,146.740005,,,,,187.306,,,,,187.306,334.046005,966.335006,0.0,76.904999,,,0.0,,870.343994,947.248993,0.0,947.248993,1913.583999,
11/30/1990,2022.446045,157.559993,15.339,142.220993,107.519997,,,958.041992,,,,,45.252998,,,1268.375,723.604004,1037.446045,-313.84201,,30.466999,0.0,0.0,0.0,,30.466999,754.071003,,421.908997,421.908997,,,,,,,,,,295.973022,,,,,295.973022,717.882019,146.507996,,,,,193.182999,,,,,193.182999,339.690994,1057.573013,0.0,76.914001,,,0.0,,887.958984,964.872986,0.0,964.872986,2022.445999,
02/28/1991,2016.977051,212.287006,4.743,207.544006,125.357002,,,850.547974,,,,,38.692001,,,1226.884033,757.119019,1083.69104,-326.571991,,32.973999,,,,,32.973999,790.093018,,333.979004,333.979004,,,,,,,,,,333.762024,,,,,333.762024,667.741028,134.860992,,,,,197.917007,,,,,197.917007,332.778,1000.519028,0.0,76.917999,,,0.0,,939.539978,1016.457977,0.0,1016.457977,2016.977005,
05/31/1991,2063.062012,200.370001,5.025,195.345001,133.020004,,,864.025024,,,,,36.011002,,,1233.426025,791.718018,1136.397949,-344.679993,,37.917999,0.0,0.0,0.0,,37.917999,829.636017,,347.957001,347.957001,,,,0.0,,,,,,326.84201,,,,,326.84201,674.799011,134.820007,,,,,203.544998,,,,,203.544998,338.365005,1013.164017,0.0,76.918999,,,0.0,,972.979004,1049.898003,0.0,1049.898003,2063.062019,
08/31/1991,2094.636963,135.137001,72.011002,63.125999,132.406998,,,911.994995,,,,,67.884003,,,1247.422974,809.294983,1154.58197,-345.286987,0.0,37.918999,0.0,0.0,0.0,,37.918999,847.213982,,365.540009,365.540009,,,,4.177,,,,,,314.079988,,,,,314.079988,683.796997,122.959999,,,,,206.723007,,,,,206.723007,329.683006,1013.480003,0.0,76.918999,,,0.0,,1004.237976,1081.156975,0.0,1081.156975,2094.636978,
11/30/1991,2199.133057,89.765999,58.731998,31.034,140.600998,,,1062.719971,,,,,48.41,,,1341.496948,818.426025,1182.968018,-364.541992,,39.209999,0.0,0.0,0.0,,39.209999,857.636024,,437.932007,437.932007,,,,0.0,,,,,,326.848022,,,,,326.848022,764.780029,122.652,,,,,212.587006,,,,,212.587006,335.239006,1100.019035,0.0,76.918999,,,0.0,,1022.195007,1099.114006,0.0,1099.114006,2199.133041,
02/29/1992,2239.221924,209.234005,156.992004,52.242001,147.315002,,,964.401978,,,,,50.698002,,,1371.649048,826.908997,1212.050049,-385.140991,,40.664001,0.0,0.0,0.0,,40.664001,867.572998,,397.937012,397.937012,,,,0.0,,,,,,345.261963,,,,,345.261963,743.198975,118.838997,,,,,218.498993,,,,,218.498993,337.33799,1080.536964,0.0,76.918999,,,0.0,,1081.765991,1158.68499,0.0,1158.68499,2239.221954,
