Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1999,118.031998,,,,,,,,,63.305,,,,,,,,2.049,,,,,,2.049,0.0,0.0,2.049,2.049,,327.839996,0.00625,0.00625,0.00625,327.839996,0.00625,0.00625,0.00625,
12/30/1999,194.128006,,,,,,,,,120.486,,,,,,,,28.261999,,,,,,28.261999,0.0,0.0,28.261999,28.261999,,279.127992,0.10125,0.10125,0.10125,279.127992,0.10125,0.10125,0.10125,
04/01/2000,115.071999,,,,,,,,,70.237,,,,,,,,3.034,,,,,,3.034,0.0,0.0,3.034,3.034,,269.687992,0.01125,0.01125,0.01125,269.687992,0.01125,0.01125,0.01125,
07/01/2000,121.685997,,,,,,,,,74.804001,,,,,,,,5.258,,,,,,5.258,0.0,0.0,5.258,5.258,,280.424008,0.01875,0.01875,0.01875,280.424008,0.01875,0.01875,0.01875,
09/30/2000,131.494995,,-49.563999,,81.930996,,-65.189003,,,16.742001,-5.063,,,0.0,5.063,11.679,-4.088,7.591,0.0,,,7.591001,0.0,7.591,0.0,0.0,7.591,7.591,,280.208008,0.0275,0.0275,0.039,280.208008,0.0275,0.0275,0.039,
12/30/2000,211.028,,-74.146004,,136.881996,,-75.169998,,,61.712002,-1.399,,,0.0,1.399,60.313002,-21.108999,39.203999,0.0,,,39.204002,0.0,39.203999,0.0,0.0,39.203999,39.203999,,348.104004,0.1125,0.1125,0.1125,356.104004,0.11,0.11,0.11,
03/31/2001,125.713997,,-45.271999,,80.441998,,-68.079002,,,12.363,-0.067,,,0.0,0.067,12.296,-4.303,7.993,0.0,,,7.993,0.0,7.993,0.0,0.0,7.993,7.993,,348.104004,0.0225,0.0225,0.0225,363.079987,0.0225,0.0225,0.02125,
06/30/2001,132.254,,-49.525,,82.729,,-67.289,,,15.44,-0.298,,,0.0,0.298,0.0,-5.9,9.242,0.0,,,-5.9,0.0,9.242,0.0,0.0,9.242,9.242,,348.84,0.02625,0.02625,0.02625,365.088,0.025,0.025,0.025,
09/29/2001,150.701996,,-54.131001,,96.570995,,-77.100998,,,19.469999,-0.447,,,0.0,0.447,19.022999,-6.753,12.27,0.0,,,12.27,0.268,12.538,0.0,0.0,12.538,12.538,,349.256012,0.035,0.035,0.035,360.799988,0.035,0.035,0.035,
12/29/2001,235.75,,-74.132004,,161.617996,,-91.677002,,,69.941002,-0.221,,,0.0,0.221,69.720002,-24.752001,44.967999,0.0,,,44.968001,-0.802,44.166,0.0,0.0,44.166,44.166,,349.519989,0.1275,0.1275,0.1275,357.656006,0.1225,0.1225,0.1225,
03/30/2002,161.570999,,-50.465,,111.105999,,-87.378998,,,23.726999,-4.338,,,0.0,4.338,19.388999,-6.883,12.506,0.0,,,12.506,-0.689,11.817,0.0,0.0,11.817,11.817,,353.696014,0.0325,0.0325,0.04,366.584015,0.0325,0.0325,0.04,
06/29/2002,171.38,,-57.313,,114.067,,-90.197,,,23.87,1.334,,,0.0,-1.334,25.204,-8.937,16.267,0.0,,,16.267,1.039,17.306,0.0,0.0,17.306,17.306,,369.704,0.0475,0.0475,0.045,369.704,0.0475,0.0475,0.045,
09/28/2002,192.791,,-61.567001,,131.223999,,-93.615997,,,37.608002,0.165,-0.165,,0.0,0.0,37.773002,-13.977,23.796,0.0,,,23.796001,-1.316,22.48,0.0,0.0,22.48,22.48,,354.915985,0.065,0.065,0.065,367.967987,0.06,0.06,0.06,
12/28/2002,308.52301,,-91.681,,216.84201,,-114.241997,,,102.599998,0.11,-0.11,,0.0,0.0,102.709998,-38.002998,64.707001,0.0,,,64.707,-2.276,62.431,0.0,0.0,62.431,62.431,,355.911987,0.175,0.175,0.175,367.723999,0.17,0.17,0.17,
03/29/2003,220.395996,,-60.589001,,159.806995,,-107.059998,,,52.747002,0.344,-0.344,,0.0,0.0,53.091002,-19.643999,33.446999,0.0,,,33.447003,-1.594,31.853001,0.0,0.0,31.853001,31.853001,,360.924011,0.09,0.09,0.09,372.984009,0.085,0.085,0.085,
06/28/2003,231.516,,-61.96,,169.556,,-118.749,,,50.807,0.44,,,0.0,-0.44,51.247,-18.961,32.286,0.0,,,32.286,-2.422,29.864,0.0,0.0,29.864,29.864,,363.744,0.08,0.08,0.08,377.096,0.08,0.08,0.08,
09/27/2003,258.375,,-70.466003,,187.908997,,-116.283997,,,71.625,0.405,-0.405,-0.405,0.0,0.0,72.03,-27.007999,45.021999,0.0,,,45.022001,-2.693,42.328999,0.0,0.0,42.328999,42.328999,,367.175995,0.115,0.115,0.115,381.920013,0.11,0.11,0.11,
