Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2005,3788.9,,,,,,,,,,,,-8826.5,-227.7,186.2,195.9,-9.7,,,41.5,-9054.2,-177.6,-9231.8,-95.6,,,-9136.2,-0.2,-9136.4,0.0,0.0,-9136.4,-9136.4,,380.8,-24.0,-24.24,0.6,380.8,-24.0,-24.24,0.6,
03/31/2006,3575.4,,,-2291.6,,1283.8,,-755.6,,,,,528.2,-132.6,131.7,144.3,-12.6,0.0,,0.9,395.6,-161.2,234.4,7.6,,,226.8,0.1,226.9,0.0,0.0,226.9,226.9,,762.8,0.3,0.31,0.31,766.7,0.3,0.31,0.31,
06/30/2006,3483.1,,,-1910.1,,1573.0,,-822.7,,,,,750.3,-142.5,122.3,140.8,-18.5,0.0,,20.2,607.8,-118.0,489.8,-291.9,,,781.7,0.0,781.7,0.0,0.0,781.7,781.7,,764.6,1.02,0.64,0.67,769.6,1.02,0.64,0.67,
09/30/2006,3378.8,,,-1921.9,,1456.9,,-810.5,,,,,646.4,-114.0,98.7,140.1,-41.4,0.0,,15.3,532.4,-208.4,324.0,6.7,,,317.3,-0.4,316.9,0.0,0.0,316.9,316.9,,766.0,0.41,0.42,0.43,774.2,0.41,0.42,0.43,
12/31/2006,3882.9,,,-2295.8,,1587.1,,-905.6,,,,,681.5,-181.6,100.7,140.3,-39.6,0.0,,80.9,499.9,-164.6,335.3,0.0,,,335.3,-0.3,335.0,0.0,0.0,335.0,335.0,,767.4,0.44,0.44,0.47,776.4,0.44,0.44,0.47,
03/31/2007,3657.8,,,-2395.8,,1262.0,,-740.7,,,,,521.3,-103.9,100.5,139.8,-39.3,0.0,,3.4,417.4,-204.2,213.2,0.0,,,213.2,0.3,213.5,0.0,0.0,213.5,213.5,,756.7,0.28,0.28,0.33,765.1,0.28,0.28,0.33,
06/30/2007,3374.9,,,-1842.0,,1532.9,,-783.0,,,,,749.9,-112.3,111.7,145.5,-33.8,0.0,,0.6,637.6,-233.7,403.9,0.0,,,403.9,0.1,404.0,0.0,0.0,404.0,404.0,,720.8,0.56,0.56,0.52,729.4,0.55,0.55,0.51,
09/30/2007,3281.4,,,-1855.0,,1426.4,,-780.6,,,,,645.8,-133.0,111.7,141.7,-30.0,0.0,,21.3,512.8,-172.5,340.3,-3.1,,,343.4,-0.1,343.3,0.0,0.0,343.3,343.3,,707.1,0.49,0.48,0.48,715.4,0.48,0.48,0.48,
12/31/2007,3758.8,,,-2236.5,,1522.3,,-817.5,,,,,704.8,-220.2,,143.9,-13.0,0.0,,89.3,484.6,-211.1,273.5,-13.1,,,286.6,-0.4,286.2,0.0,0.0,286.2,286.2,,671.7,0.42,0.4,0.55,678.8,0.42,0.39,0.53,
03/31/2008,3654.1,,,-2386.3,,1267.8,0.0,-698.7,580.9,,,117.8,569.1,-173.4,121.1,138.7,-17.6,,,45.1,395.7,-151.3,244.4,,,,244.4,-0.1,244.3,,0.0,244.3,244.3,,667.9,0.37,0.37,0.41,673.8,0.36,0.36,0.4,
06/30/2008,3393.7,,,-1962.3,,1431.4,0.0,-791.8,668.4,,,123.4,639.6,2.0,119.1,134.3,-15.2,,,-122.3,641.6,-232.9,408.7,,,,408.7,-0.3,408.4,,0.0,408.4,408.4,,669.4,0.61,0.61,0.61,674.3,0.61,0.61,0.61,
09/30/2008,3375.7,,,-2050.2,,1325.5,0.0,-820.5,680.8,,,139.7,505.0,-14298.8,128.4,134.8,-6.4,,,14164.4,-13793.8,1332.1,-12461.7,0.0,,,-12461.7,-0.5,-12462.2,0.0,0.0,-12462.2,-12462.2,,670.9,-18.58,-18.58,0.42,670.9,-18.58,-18.58,0.42,
12/31/2008,3526.9,,,-2251.9,,1275.0,0.0,-976.8,,,,,298.2,-133.5,135.8,138.8,-3.0,0.0,,-4.6,164.7,-28.6,136.1,0.0,,,136.1,0.0,136.1,0.0,0.0,136.1,136.1,,670.9,0.2,0.2,0.2,674.7,0.2,0.2,0.2,
