Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2009,,0,,0,,,,0,0,0,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,
12/31/2009,14600.0,514,514.0,0,937.0,937.0,0.0,0,0,0,0,0,195.0,,194.0,1646.0,593.0,1040.0,-447.0,0,12361.0,11813.0,7056.0,4757.0,50.0,81.0,417.0,12954,,754.0,117.0,0.0,97.0,540.0,107.0,0,7.0,7.0,,100.0,763,0.0,69.0,1065.0,198,1624.0,8548.0,8424.0,124.0,124.0,,1616.0,0.0,168.0,314.0,10164.0,11788.0,0,4585.0,22.0,4563.0,,-1739.0,-48.0,2798.0,14.0,2812.0,14600.0,
03/31/2010,14343.0,410,410.0,0,895.0,895.0,0.0,0,0,0,0,0,213.0,,213.0,1518.0,569.0,,,0,12256.0,11720.0,7033.0,4687.0,80.0,,456.0,12825,,787.0,,,,787.0,101.0,0,,,,101.0,575,,71.0,1072.0,0,1463.0,8470.0,8470.0,,,,1591.0,,,448.0,10061.0,11524.0,0,4595.0,22.0,4573.0,,-1697.0,-89.0,2809.0,10.0,2819.0,14343.0,
06/30/2010,14194.0,371,371.0,0,942.0,942.0,0.0,0,0,0,0,0,233.0,,233.0,1546.0,578.0,,,0,12070.0,11586.0,6968.0,4618.0,49.0,,435.0,12648,,840.0,,,,840.0,40.0,0,,,,40.0,568,,73.0,1033.0,0,1448.0,8399.0,8399.0,,,,1542.0,,,436.0,9941.0,11389.0,0,4600.0,22.0,4578.0,,-1623.0,-181.0,2796.0,9.0,2805.0,14194.0,
09/30/2010,14427.0,423,423.0,0,978.0,978.0,0.0,0,0,0,0,0,225.0,,225.0,1626.0,583.0,,,0,12218.0,11717.0,7068.0,4649.0,76.0,,425.0,12801,,899.0,,,,899.0,38.0,0,,,,38.0,513,,74.0,1016.0,0,1450.0,8533.0,8533.0,,,,1547.0,,,457.0,10080.0,11530.0,0,4595.0,22.0,4573.0,,-1612.0,-95.0,2888.0,9.0,2897.0,14427.0,
12/31/2010,14429.0,421,421.0,0,1014.0,1014.0,0.0,0,0,0,0,0,219.0,16.0,219.0,1654.0,599.0,1161.0,-562.0,0,12176.0,11703.0,7096.0,4607.0,61.0,77.0,319.0,12775,,691.0,138.0,0.0,64.0,489.0,94.0,0,9.0,9.0,,85.0,822,0.0,23.0,942.0,234,1607.0,8464.0,8348.0,116.0,116.0,,1462.0,0.0,190.0,307.0,9926.0,11533.0,0,4592.0,22.0,4570.0,,-1609.0,-96.0,2887.0,9.0,2896.0,14429.0,
03/31/2011,14690.0,396,396.0,0,997.0,997.0,0.0,0,0,0,0,0,254.0,19.0,254.0,1647.0,586.0,,,0,12457.0,11852.0,7242.0,4610.0,222.0,,364.0,13043,,861.0,,,,861.0,149.0,0,,,,149.0,580,,20.0,934.0,0,1590.0,7050.0,7050.0,,,,1484.0,,,530.0,8534.0,10124.0,0,6394.0,30.0,6364.0,,-1791.0,-48.0,4555.0,11.0,4566.0,14690.0,
06/30/2011,14870.0,374,374.0,0,1136.0,1136.0,0.0,0,0,0,0,0,254.0,2.0,254.0,1764.0,595.0,,,0,12511.0,11933.0,7300.0,4633.0,226.0,,350.0,13106,,946.0,,,,946.0,225.0,0,,,,225.0,601,,20.0,943.0,0,1772.0,6963.0,6963.0,,,,1484.0,,,521.0,8447.0,10219.0,0,6402.0,30.0,6372.0,,-1722.0,-40.0,4640.0,11.0,4651.0,14870.0,
09/30/2011,14498.0,404,404.0,0,1052.0,1052.0,0.0,0,0,0,0,0,244.0,,244.0,1700.0,557.0,,,0,12241.0,11724.0,7143.0,4581.0,191.0,,326.0,12798,,929.0,,,,929.0,204.0,0,,,,204.0,555,,27.0,916.0,0,1688.0,6807.0,6807.0,,,,1449.0,,,506.0,8256.0,9944.0,0,6421.0,30.0,6391.0,,-1620.0,-258.0,4543.0,11.0,4554.0,14498.0,
12/31/2011,14504.0,319,319.0,0,1080.0,1080.0,0.0,0,0,0,0,0,266.0,14.0,266.0,1665.0,609.0,1290.0,-681.0,0,12230.0,11716.0,7155.0,4561.0,198.0,44.0,258.0,12839,,779.0,180.0,0.0,51.0,548.0,144.0,0,8.0,8.0,,136.0,769,0.0,,996.0,236,1692.0,6619.0,6512.0,107.0,107.0,,1552.0,0.0,211.0,345.0,8171.0,9863.0,0,6457.0,30.0,6427.0,,-1525.0,-299.0,4633.0,8.0,4641.0,14504.0,
