Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1995,267.033997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.903,,,33.903,33.903,,18.251321,1.857564,1.857564,1.857564,18.251321,1.857564,1.857564,1.857564,
06/30/1995,251.677994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.938999,,,41.938999,41.938999,,19.626847,2.136818,2.136818,2.136818,19.626847,2.136818,2.136818,2.136818,
09/30/1995,259.731995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.061001,,,45.061001,45.061001,,18.570971,2.42642,2.42642,2.42642,18.570971,2.42642,2.42642,2.42642,
12/31/1995,290.588013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.632999,,,38.632999,38.632999,,18.609383,2.075994,2.075994,2.075994,18.609383,2.075994,2.075994,2.075994,
03/31/1996,329.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.855999,,,38.855999,38.855999,,19.245656,1.977384,1.977384,1.977384,19.245656,1.977384,1.977384,1.977384,
06/30/1996,318.127991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.250999,,,46.250999,46.250999,,19.184708,2.410827,2.410827,2.410827,19.184708,2.410827,2.410827,2.410827,
09/30/1996,319.959015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.032001,,,46.032001,46.032001,,18.793152,2.4494,2.4494,2.4494,18.793152,2.4494,2.4494,2.4494,
12/31/1996,339.291992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.521,,,47.521,47.521,,18.090556,2.626845,2.626845,2.626845,18.090485,2.626845,2.626845,2.626845,
03/31/1997,375.091,,,-105.99,,269.101,,-206.27,,,,,,62.831,-16.411,28.561,28.561,,,0.0,,-12.15,46.42,-15.836,30.584,0.0,,,30.584,0.0,30.584,-1.552,0.0,29.032,29.032,0.0,18.201916,1.685605,1.685605,1.685605,18.250325,1.685605,1.685605,1.685605,
06/30/1997,308.857,,,-85.681,,223.176,,-380.572,,,,,,-157.396,-23.524,30.236,30.236,0.0,,0.0,,-6.712,-180.92,57.745,-123.175,0.0,,,-123.175,0.0,-123.175,-1.552,0.0,-124.727,-124.727,135.164001,17.986323,-6.850299,-6.850299,0.713573,17.986323,-6.850299,-6.850299,0.713573,
09/30/1997,338.803009,,,-44.185001,,294.618008,,-242.369995,,,,,,52.248001,-16.399001,,25.639999,0.0,,,,-9.240998,35.849,-12.342,23.507,0.0,,,23.507,0.0,23.507,-1.553,-12.333,9.621,9.621,,17.873732,1.297275,1.297275,1.297275,17.879004,1.297275,1.297275,1.297275,
12/31/1997,370.868,,,-84.84,,286.028,,-68.766,,,,,,217.262,-101.128,,27.995,,,0.0,,73.133,116.134,-36.95,79.184,0.0,,,79.184,0.0,79.184,0.0,0.0,79.184,79.184,,17.545441,4.513077,4.513077,1.601414,17.545441,4.513077,4.513077,1.601414,
