Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1997,44.382,11.402,2.041,9.361,9.809,,,7.961,,,,,1.961,,,,,31.132999,12.327,41.740002,-29.413,0.922,,0.0,,,,,0.0,13.249,,4.73,4.73,,,,2.641,,,,4.797,,,4.797,12.168,2.096,,,,0.011,,,,,,0.011,2.107,14.275,0.0,34.719002,,,0,,-4.612,30.107002,0.0,30.107002,44.382002,
12/31/1997,73.857002,36.23,9.923,26.306999,10.529,,,8.002,,,,,2.761,,,,,57.521999,15.427,45.623001,-30.195999,0.908,,0.0,,,,,0.0,16.335,,5.01,5.01,,,,2.215,,,,5.602,,,5.602,12.827,1.675,,,,0.0,,,,,,0.0,1.675,14.502,0.0,59.924,,,0,,-0.569,59.355,0.0,59.355,73.856999,
03/31/1998,112.834,67.896001,6.46,61.436001,12.179,,,8.185,,,,,6.266,,,,,94.526001,17.218,46.678001,-29.459999,1.09,,0.0,,,,,0.0,18.308,,5.215,5.215,,,,2.62,,,,9.273999,,,9.273999,17.108999,4.091,,,,0.0,,,,,,0.0,4.091,21.199999,0.0,86.885002,,,0,,4.749,91.634002,0.0,91.634002,112.834001,
06/30/1998,115.161003,68.634999,7.126,61.508999,12.026,,,8.845,1.281,5.641,1.923,,6.635,,,,,96.140999,18.834,,,0.186,,0.0,0.0,0.0,0.0,,0.0,19.02,,3.773,3.773,,,,1.929,0.671,1.258,1.258,8.195,,,8.195,13.897,4.165,3.026,1.139,1.139,0.0,,,,,,0.0,4.165,18.062,0.0,88.248001,,,0,,8.851,97.099001,0.0,97.099001,115.161001,
09/30/1998,123.249001,66.761002,6.431,60.330002,17.582001,,,9.45,1.273,6.3,1.877,,6.254,,,,,100.046997,21.141001,24.452,-3.311,0.0,,2.061,0.0,0.0,0.0,,2.061,23.202001,,4.282,4.282,,,,1.8,0.681,1.119,1.119,8.89,,,8.89,14.972,3.805,2.853,0.952,0.952,0.0,,,,,,0.0,3.805,18.777,0.0,90.655998,,,0,,13.816,104.471998,0.0,104.471998,123.248998,
12/31/1998,134.046997,77.721,9.428,68.292999,16.888,,,9.692,1.435,6.842,1.415,,5.772,,,,,110.072998,21.98,26.917,-4.937,0.0,,1.994,0.0,0.0,0.0,,1.994,23.974,,3.407,3.407,,,,2.161,1.277,0.884,0.884,10.12,,,10.12,15.688,6.092,5.327,0.765,0.765,0.0,,,,,,0.0,6.092,21.78,0.0,92.776001,,,0,,19.490999,112.267,0.0,112.267,134.047,
03/31/1999,150.654999,86.540002,13.53,73.010002,19.275,,,9.813,1.15,7.688,0.975,,9.392,,,,,125.019997,23.128,58.708,-35.580002,0.0,,2.507,0.0,0.0,0.0,,2.507,25.635,,5.131,5.131,,,,2.937,1.862,1.075,1.075,13.335,,,13.335,21.403,7.558,4.995,2.563,2.563,0.0,,,,,,0.0,7.558,28.961,0.0,102.791,,,0,,18.903,121.694,0.0,121.694,150.655,
06/30/1999,157.772003,88.675003,13.834,74.841003,21.25,,,10.409,0.917,8.045,1.447,,9.058,,,,,129.391998,26.271,62.988998,-36.717999,0.0,,2.109,0.0,0.0,0.0,,2.109,28.38,,6.069,6.069,,,,2.284,1.323,0.961,0.961,11.696,,,11.696,20.049,7.03,4.654,2.376,2.376,0.0,,,,,,0.0,7.03,27.079,0.0,105.024002,,,0,,25.669001,130.693003,0.0,130.693003,157.772003,
09/30/1999,171.528,105.071001,26.836,78.235001,18.861,,,10.475,1.198,6.805,2.472,,7.683,,,,,142.089996,27.27,65.608002,-38.338001,0.0,,2.168,0.0,0.0,0.0,,2.168,29.438,,6.82,6.82,,,,2.218,1.346,0.872,0.872,12.364,,,12.364,21.402,6.497,4.309,2.188,2.188,0.0,,,,,,0.0,6.497,27.899001,0.0,108.709,,,0,,34.919998,143.628998,0.0,143.628998,171.527998,
12/31/1999,192.382996,115.268003,22.774,92.494003,20.854,,,10.522,1.146,6.486,2.89,,8.383,,,,,155.026993,33.999001,74.197998,-40.199001,0.0,,3.357,0.0,0.0,0.0,,3.357,37.356001,,8.239,8.239,,,,2.146,1.37,0.776,0.776,15.694,,,15.694,26.079,5.83,3.957,1.873,1.873,0.0,,,,,,0.0,5.83,31.909,0.0,113.355003,,,0,,47.118999,160.474003,0.0,160.474003,192.383003,
