Date,Level 1 Assets,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 3 Total Gains,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
04/30/2008,0.0,183.125,59.525,242.65,-0.21,0.0,20.159248,6.552788,26.712036,0.0,15.193502,4.938666,20.132168,
07/31/2008,0.0,215.934,52.1,268.034,-0.54,0.0,22.304052,5.381464,27.685516,0.0,17.024273,4.107573,21.131845,
10/31/2008,0.0,296.624,56.075,352.699,-2.34,0.0,29.04101,5.49003,34.531039,0.0,22.328982,4.221161,26.550143,
01/31/2009,69.747,96.685,38.742,205.174,-5.283,6.618775,9.175109,3.676496,19.47038,5.248046,7.27497,2.915104,15.43812,
04/30/2009,194.193,102.126,38.742,335.061,0.0,17.835622,9.379744,3.558252,30.773618,13.960064,7.34159,2.785068,24.086722,
07/31/2009,275.581,116.929,37.884,430.394,0.117,24.000819,10.183546,3.299382,37.483747,19.068433,8.090735,2.621329,29.780497,
10/31/2009,308.624,104.68,36.3,449.604,0.216,25.395718,8.613795,2.987015,36.996527,20.025604,6.792344,2.355389,29.173336,
01/31/2010,395.35,157.102,33.505,585.957,0.83,30.48717,12.114823,2.583717,45.185711,24.164274,9.602266,2.047866,35.814407,
04/30/2010,328.292,151.58,33.505,513.377,0.0,24.136527,11.144392,2.463338,37.744257,19.21884,8.873782,1.961447,30.054069,
07/31/2010,266.048,206.209,31.457,503.714,0.252,19.373081,15.015725,2.290636,36.679441,15.404614,11.939838,1.821412,29.165863,
10/31/2010,157.031,249.106,30.143,436.28,0.161,11.897198,18.873111,2.283735,33.054044,9.119259,14.46633,1.750494,25.336083,
01/31/2011,250.642,188.304,29.462,468.408,0.332,17.756534,13.340248,2.087212,33.183994,13.968627,10.494443,1.641958,26.105028,
04/30/2011,240.68,135.238,26.716,402.634,0.354,18.337803,10.304005,2.035536,30.677344,14.20562,7.982133,1.576855,23.764607,
07/31/2011,231.501,127.244,23.504,382.249,0.413,17.748789,9.755581,1.802012,29.306382,13.574396,7.461136,1.378191,22.413722,
10/31/2011,90.377,64.462,20.956,175.795,0.327,8.742162,6.235406,2.027073,17.004641,6.114383,4.361125,1.417761,11.893269,
